"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,1854197,1940.0,114293.0,99.0,427913.0,1311991,50854.0,238.0,14.7,,
USA,560433,133.0,22115.0,10.0,32634.0,505684,11766.0,1693.0,67.0,2833112.0,8559.0
Spain,166831,,17209.0,,62391.0,87231,7371.0,3568.0,368.0,600000.0,12833.0
Italy,156363,,19899.0,,34211.0,102253,3343.0,2586.0,329.0,1010193.0,16708.0
France,132591,,14393.0,,27186.0,91012,6845.0,2031.0,221.0,333807.0,5114.0
Germany,127854,,3022.0,,64300.0,60532,4895.0,1526.0,36.0,1317887.0,15730.0
UK,84279,,10612.0,,,73323,1559.0,1241.0,156.0,352974.0,5200.0
Iran,71686,,4474.0,,43894.0,23318,3930.0,853.0,53.0,263388.0,3136.0
Turkey,56956,,1198.0,,3446.0,52312,1665.0,675.0,14.0,376100.0,4459.0
Belgium,29647,,3600.0,,6463.0,19584,1223.0,2558.0,311.0,102151.0,8814.0
Netherlands,25587,,2737.0,,250.0,22600,1384.0,1493.0,160.0,101534.0,5926.0
Switzerland,25415,,1106.0,,12700.0,11609,386.0,2937.0,128.0,193800.0,22393.0
Canada,24383,,717.0,,7172.0,16494,557.0,646.0,19.0,422200.0,11186.0
Brazil,22318,126.0,1230.0,7.0,173.0,20915,296.0,105.0,6.0,62985.0,296.0
Portugal,16585,,504.0,,277.0,15804,228.0,1627.0,49.0,163616.0,16046.0
Russia,15770,,130.0,,1291.0,14349,8.0,108.0,0.9,1200000.0,8223.0
Austria,13945,,350.0,,6987.0,6608,243.0,1548.0,39.0,144877.0,16086.0
Israel,11235,90.0,110.0,7.0,1689.0,9436,181.0,1298.0,13.0,117339.0,13557.0
S. Korea,10537,25.0,217.0,3.0,7447.0,2873,55.0,206.0,4.0,514621.0,10038.0
Sweden,10483,,899.0,,381.0,9203,839.0,1038.0,89.0,54700.0,5416.0
Ireland,9655,,334.0,,25.0,9296,194.0,1955.0,68.0,53000.0,10734.0
India,9240,35.0,331.0,,1096.0,7813,,7.0,0.2,189111.0,137.0
Peru,7519,,193.0,,1798.0,5528,134.0,228.0,6.0,76506.0,2320.0
Ecuador,7466,,333.0,,501.0,6632,184.0,423.0,19.0,23635.0,1340.0
Japan,7370,,123.0,,784.0,6463,129.0,58.0,1.0,77381.0,612.0
Chile,7213,,80.0,,2059.0,5074,387.0,377.0,4.0,82271.0,4304.0
Poland,6674,,232.0,,439.0,6003,160.0,176.0,6.0,138007.0,3646.0
Norway,6525,,128.0,,32.0,6365,59.0,1204.0,24.0,126486.0,23332.0
Australia,6351,38.0,61.0,2.0,3338.0,2952,81.0,249.0,2.0,353941.0,13880.0
Romania,6300,,316.0,,852.0,5132,204.0,327.0,16.0,62328.0,3240.0
Denmark,6174,,273.0,,2123.0,3778,104.0,1066.0,47.0,70125.0,12107.0
Czechia,5991,,139.0,1.0,467.0,5385,87.0,559.0,13.0,128359.0,11986.0
Pakistan,5374,144.0,93.0,2.0,1095.0,4186,44.0,24.0,0.4,65114.0,295.0
Malaysia,4683,,76.0,,2108.0,2499,66.0,145.0,2.0,77491.0,2394.0
Mexico,4661,442.0,296.0,23.0,1843.0,2522,185.0,36.0,2.0,36594.0,284.0
Philippines,4648,,297.0,,197.0,4154,1.0,42.0,3.0,33814.0,309.0
Saudi Arabia,4462,,59.0,,761.0,3642,67.0,128.0,2.0,115585.0,3320.0
Indonesia,4241,,373.0,,359.0,3509,,16.0,1.0,27075.0,99.0
UAE,4123,,22.0,,680.0,3421,1.0,417.0,2.0,648195.0,65538.0
Serbia,3630,,80.0,,400.0,3150,146.0,415.0,9.0,18312.0,2096.0
Panama,3400,,87.0,,29.0,3284,106.0,788.0,20.0,15147.0,3511.0
Luxembourg,3281,,66.0,,500.0,2715,30.0,5241.0,105.0,29165.0,46591.0
Ukraine,3102,325.0,93.0,10.0,97.0,2912,45.0,71.0,2.0,30314.0,693.0
Qatar,2979,,7.0,,275.0,2697,37.0,1034.0,2.0,49102.0,17043.0
Finland,2974,,56.0,,300.0,2618,80.0,537.0,10.0,45019.0,8125.0
Dominican Republic,2967,,173.0,,131.0,2663,147.0,274.0,16.0,9275.0,855.0
Colombia,2776,,109.0,,270.0,2397,92.0,55.0,2.0,41765.0,821.0
Thailand,2579,28.0,40.0,2.0,1288.0,1251,61.0,37.0,0.6,71860.0,1030.0
Belarus,2578,,26.0,,203.0,2349,50.0,273.0,3.0,64000.0,6773.0
Singapore,2532,,8.0,,560.0,1964,31.0,433.0,1.0,72680.0,12423.0
Argentina,2208,66.0,95.0,5.0,468.0,1645,83.0,49.0,2.0,19758.0,437.0
South Africa,2173,,25.0,,410.0,1738,7.0,37.0,0.4,80085.0,1350.0
Greece,2114,,98.0,,269.0,1747,76.0,203.0,9.0,42261.0,4055.0
Egypt,2065,,159.0,,589.0,1317,,20.0,2.0,25000.0,244.0
Algeria,1914,,293.0,,591.0,1030,60.0,44.0,7.0,3359.0,77.0
Iceland,1701,,8.0,,889.0,804,10.0,4985.0,23.0,35253.0,103308.0
Moldova,1662,,33.0,2.0,107.0,1522,80.0,412.0,8.0,6271.0,1555.0
Morocco,1661,,118.0,,177.0,1366,1.0,45.0,3.0,8473.0,230.0
Croatia,1600,,23.0,,373.0,1204,34.0,390.0,6.0,16381.0,3990.0
Hungary,1458,48.0,109.0,10.0,120.0,1229,58.0,151.0,11.0,34819.0,3604.0
Iraq,1352,,76.0,,640.0,636,,34.0,2.0,35415.0,880.0
New Zealand,1349,19.0,5.0,1.0,546.0,798,4.0,280.0,1.0,62827.0,13029.0
Estonia,1332,23.0,27.0,2.0,102.0,1203,9.0,1004.0,20.0,30764.0,23191.0
Kuwait,1234,,1.0,,142.0,1091,29.0,289.0,0.2,,
Slovenia,1205,,53.0,,150.0,1002,35.0,580.0,25.0,34851.0,16764.0
Bahrain,1136,,6.0,,558.0,572,4.0,668.0,4.0,63973.0,37596.0
Azerbaijan,1098,,11.0,,250.0,837,27.0,108.0,1.0,66677.0,6576.0
Lithuania,1062,9.0,24.0,1.0,101.0,937,14.0,390.0,9.0,41503.0,15246.0
Armenia,1013,,13.0,,197.0,803,30.0,342.0,4.0,7164.0,2418.0
Bosnia and Herzegovina,1009,,39.0,,193.0,777,4.0,308.0,12.0,10975.0,3345.0
Hong Kong,1005,,4.0,,360.0,641,13.0,134.0,0.5,96709.0,12900.0
Kazakhstan,973,22.0,11.0,1.0,99.0,863,21.0,52.0,0.6,69304.0,3691.0
Uzbekistan,896,31.0,4.0,,66.0,826,8.0,27.0,0.1,70000.0,2091.0
North Macedonia,828,,34.0,,41.0,753,15.0,397.0,16.0,8057.0,3867.0
Cameroon,820,,12.0,,98.0,710,,31.0,0.5,,
Slovakia,742,,2.0,,23.0,717,5.0,136.0,0.4,27426.0,5023.0
Oman,727,128.0,4.0,,124.0,599,3.0,142.0,0.8,,
Diamond Princess,712,,11.0,,619.0,82,10.0,,,,
Tunisia,707,,31.0,,43.0,633,85.0,60.0,3.0,11238.0,951.0
Bulgaria,676,1.0,31.0,2.0,71.0,574,36.0,97.0,4.0,18502.0,2663.0
Cuba,669,,18.0,,92.0,559,11.0,59.0,2.0,15057.0,1329.0
Latvia,653,2.0,5.0,,16.0,632,2.0,346.0,3.0,28776.0,15256.0
Andorra,638,,29.0,,128.0,481,17.0,8257.0,375.0,1673.0,21653.0
Cyprus,633,,11.0,,65.0,557,8.0,524.0,9.0,17923.0,14845.0
Lebanon,630,,20.0,,80.0,530,34.0,92.0,3.0,15152.0,2220.0
Bangladesh,621,,34.0,,39.0,548,1.0,4.0,0.2,9653.0,59.0
Afghanistan,607,,19.0,1.0,32.0,556,,16.0,0.5,,
Costa Rica,595,,3.0,,56.0,536,14.0,117.0,0.6,6762.0,1327.0
Ivory Coast,574,,5.0,,85.0,484,,22.0,0.2,,
Ghana,566,,8.0,,4.0,554,2.0,18.0,0.3,37954.0,1221.0
Niger,529,,12.0,,75.0,442,,22.0,0.5,4353.0,180.0
Burkina Faso,497,,27.0,,161.0,309,,24.0,1.0,,
Uruguay,480,,8.0,1.0,231.0,241,15.0,138.0,2.0,8774.0,2526.0
Albania,446,,23.0,,217.0,206,7.0,155.0,8.0,3877.0,1347.0
Channel Islands,431,,9.0,,48.0,374,,2479.0,52.0,3320.0,19095.0
Kyrgyzstan,419,42.0,5.0,,67.0,347,5.0,64.0,0.8,9618.0,1474.0
Honduras,397,4.0,25.0,,7.0,365,10.0,40.0,3.0,1600.0,162.0
Taiwan,393,5.0,6.0,,114.0,273,,17.0,0.3,47215.0,1982.0
Jordan,389,,7.0,,201.0,181,5.0,38.0,0.7,20500.0,2009.0
Réunion,389,,,,40.0,349,3.0,434.0,,,
Malta,378,,3.0,,44.0,331,4.0,856.0,7.0,17058.0,38633.0
San Marino,356,,35.0,,53.0,268,14.0,10492.0,1032.0,846.0,24933.0
Bolivia,330,30.0,27.0,3.0,2.0,301,3.0,28.0,2.0,2185.0,187.0
Mauritius,324,,9.0,,42.0,273,3.0,255.0,7.0,7077.0,5565.0
Nigeria,323,,10.0,,85.0,228,2.0,2.0,0.05,5000.0,24.0
Palestine,290,,2.0,,58.0,230,,57.0,0.4,17329.0,3397.0
Senegal,280,,2.0,,171.0,107,1.0,17.0,0.1,,
Montenegro,273,1.0,3.0,,5.0,265,7.0,435.0,5.0,2869.0,4568.0
Georgia,266,9.0,3.0,,67.0,196,6.0,67.0,0.8,3271.0,820.0
Vietnam,262,,,,144.0,118,8.0,3.0,,121821.0,1252.0
Guinea,250,,,,17.0,233,,19.0,,,
DRC,234,,20.0,,16.0,198,,3.0,0.2,,
Isle of Man,228,,2.0,,112.0,114,11.0,2681.0,24.0,1934.0,22744.0
Djibouti,214,,2.0,,36.0,176,,217.0,2.0,4451.0,4505.0
Sri Lanka,210,,7.0,,56.0,147,1.0,10.0,0.3,4525.0,211.0
Kenya,197,,8.0,,25.0,164,2.0,4.0,0.1,7449.0,139.0
Mayotte,196,,3.0,,59.0,134,3.0,718.0,11.0,1350.0,4948.0
Faeroe Islands,184,,,,157.0,27,,3766.0,,5509.0,112744.0
Venezuela,181,,9.0,,93.0,79,6.0,6.0,0.3,181335.0,6377.0
Martinique,155,,6.0,,50.0,99,19.0,413.0,16.0,,
Guatemala,155,,5.0,,19.0,131,3.0,9.0,0.3,1134.0,63.0
Paraguay,147,13.0,6.0,,22.0,119,1.0,21.0,0.8,2262.0,317.0
Guadeloupe,143,,8.0,,67.0,68,13.0,357.0,20.0,,
El Salvador,137,12.0,6.0,,22.0,109,2.0,21.0,0.9,6729.0,1037.0
Brunei,136,,1.0,,106.0,29,2.0,311.0,2.0,9884.0,22593.0
Gibraltar,129,,,,84.0,45,1.0,3829.0,,1558.0,46244.0
Rwanda,126,,,,25.0,101,,10.0,,1966.0,152.0
Cambodia,122,,,,77.0,45,1.0,7.0,,5768.0,345.0
Trinidad and Tobago,113,,8.0,,16.0,89,,81.0,6.0,1126.0,805.0
Madagascar,106,,,,20.0,86,1.0,4.0,,,
Mali,105,,9.0,,22.0,74,,5.0,0.4,,
Monaco,93,,1.0,,6.0,86,5.0,2370.0,25.0,,
Aruba,92,,,,32.0,60,1.0,862.0,,1145.0,10724.0
French Guiana,86,,,,51.0,35,1.0,288.0,,,
Liechtenstein,79,,1.0,,55.0,23,,2072.0,26.0,900.0,23605.0
Togo,76,,3.0,,29.0,44,,9.0,0.4,2532.0,306.0
Jamaica,72,,4.0,,16.0,52,,24.0,1.0,907.0,306.0
Barbados,71,,4.0,,11.0,56,4.0,247.0,14.0,805.0,2801.0
Ethiopia,71,,3.0,,10.0,58,,0.6,0.03,3863.0,34.0
Congo,60,,5.0,,5.0,50,,11.0,0.9,,
Bermuda,57,,4.0,,29.0,24,2.0,915.0,64.0,416.0,6680.0
Gabon,57,8.0,1.0,,1.0,55,,26.0,0.4,,
Uganda,54,,,,4.0,50,,1.0,,5025.0,110.0
Cayman Islands,53,,1.0,,6.0,46,3.0,806.0,15.0,536.0,8156.0
French Polynesia,53,,,,,53,1.0,189.0,,889.0,3165.0
Sint Maarten,50,,9.0,,5.0,36,2.0,1166.0,210.0,134.0,3125.0
Liberia,50,,5.0,,3.0,42,,10.0,1.0,,
Bahamas,47,1.0,8.0,,6.0,33,1.0,120.0,20.0,,
Guyana,45,,6.0,,8.0,31,3.0,57.0,8.0,193.0,245.0
Macao,45,,,,10.0,35,1.0,69.0,,,
Zambia,43,,2.0,,30.0,11,1.0,2.0,0.1,1239.0,67.0
Myanmar,41,,4.0,,2.0,35,,0.8,0.07,1406.0,26.0
Guinea-Bissau,38,,,,,38,,19.0,,1500.0,762.0
Benin,35,,1.0,,5.0,29,,3.0,0.08,,
Eritrea,34,,,,,34,,10.0,,,
Haiti,33,,3.0,,,30,,3.0,0.3,365.0,32.0
Tanzania,32,,3.0,,5.0,24,,0.5,0.05,,
Saint Martin,32,,2.0,,11.0,19,5.0,828.0,52.0,,
Somalia,25,,2.0,1.0,2.0,21,2.0,2.0,0.1,,
Syria,25,,2.0,,5.0,18,,1.0,0.1,,
Libya,25,,1.0,,9.0,15,,4.0,0.1,535.0,78.0
Antigua and Barbuda,21,,2.0,,,19,1.0,214.0,20.0,40.0,408.0
Equatorial Guinea,21,,,,3.0,18,,15.0,,854.0,609.0
