"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
China,81218,47.0,3281.0,4.0,73650.0,4287,1399.0,56.0,2.0
Italy,74386,5210.0,7503.0,683.0,9362.0,57521,3489.0,1230.0,124.0
USA,63016,8160.0,886.0,106.0,392.0,61738,1382.0,190.0,3.0
Spain,47610,5552.0,3434.0,443.0,5367.0,38809,2636.0,1018.0,73.0
Germany,37323,4332.0,206.0,47.0,3547.0,33570,23.0,445.0,2.0
Iran,27017,2206.0,2077.0,143.0,9625.0,15315,,322.0,25.0
France,25233,2929.0,1331.0,231.0,3900.0,20002,2827.0,387.0,20.0
Switzerland,10897,1020.0,153.0,31.0,131.0,10613,141.0,1259.0,18.0
S. Korea,9137,100.0,126.0,6.0,3730.0,5281,59.0,178.0,2.0
UK,8264,187.0,435.0,13.0,135.0,7694,20.0,122.0,6.0
Netherlands,6412,852.0,356.0,80.0,3.0,6053,582.0,374.0,21.0
Austria,5588,305.0,30.0,2.0,9.0,5549,28.0,620.0,3.0
Belgium,4937,668.0,178.0,56.0,547.0,4212,474.0,426.0,15.0
Canada,3290,498.0,30.0,4.0,185.0,3075,1.0,87.0,0.8
Norway,3066,200.0,14.0,2.0,6.0,3046,57.0,566.0,3.0
Portugal,2995,633.0,43.0,10.0,22.0,2930,61.0,294.0,4.0
Sweden,2526,227.0,44.0,4.0,16.0,2466,158.0,250.0,4.0
Australia,2431,114.0,9.0,1.0,118.0,2304,11.0,95.0,0.4
Israel,2369,439.0,5.0,2.0,58.0,2306,37.0,274.0,0.6
Brazil,2297,50.0,48.0,2.0,2.0,2247,18.0,11.0,0.2
Turkey,1872,,44.0,,26.0,1802,136.0,22.0,0.5
Malaysia,1796,172.0,20.0,4.0,199.0,1577,64.0,55.0,0.6
Denmark,1724,133.0,34.0,2.0,1.0,1689,69.0,298.0,6.0
Czechia,1654,260.0,6.0,3.0,10.0,1638,19.0,154.0,0.6
Luxembourg,1333,234.0,8.0,,6.0,1319,3.0,2129.0,13.0
Ireland,1329,,7.0,,5.0,1317,29.0,269.0,1.0
Japan,1307,114.0,45.0,2.0,310.0,952,57.0,10.0,0.4
Ecuador,1173,91.0,28.0,1.0,3.0,1142,2.0,66.0,2.0
Chile,1142,220.0,3.0,1.0,22.0,1117,7.0,60.0,0.2
Pakistan,1063,91.0,8.0,1.0,21.0,1034,5.0,5.0,0.04
Poland,1031,130.0,14.0,4.0,2.0,1015,3.0,27.0,0.4
Thailand,934,107.0,4.0,,70.0,860,11.0,13.0,0.06
Romania,906,112.0,14.0,2.0,86.0,806,18.0,47.0,0.7
Saudi Arabia,900,133.0,2.0,1.0,29.0,869,,26.0,0.06
Finland,880,88.0,3.0,2.0,10.0,867,22.0,159.0,0.5
Greece,821,78.0,22.0,2.0,36.0,763,53.0,79.0,2.0
Indonesia,790,104.0,58.0,3.0,31.0,701,,3.0,0.2
Iceland,737,89.0,2.0,,56.0,679,11.0,2160.0,6.0
Diamond Princess,712,,10.0,,587.0,115,15.0,,
South Africa,709,155.0,,,12.0,697,2.0,12.0,
Russia,658,163.0,3.0,2.0,29.0,626,8.0,5.0,0.02
Philippines,636,84.0,38.0,3.0,26.0,572,1.0,6.0,0.3
Singapore,631,73.0,2.0,,160.0,469,17.0,108.0,0.3
India,606,70.0,11.0,1.0,42.0,553,,0.4,0.01
Qatar,537,11.0,,,41.0,496,6.0,186.0,
Slovenia,528,48.0,5.0,1.0,10.0,513,14.0,254.0,2.0
Peru,480,64.0,9.0,2.0,1.0,470,9.0,15.0,0.3
Colombia,470,92.0,4.0,1.0,8.0,458,,9.0,0.08
Egypt,456,54.0,21.0,1.0,95.0,340,,4.0,0.2
Panama,443,,8.0,2.0,1.0,434,33.0,103.0,2.0
Croatia,442,60.0,1.0,,22.0,419,6.0,108.0,0.2
Bahrain,419,27.0,4.0,1.0,177.0,238,2.0,246.0,2.0
Hong Kong,410,23.0,4.0,,102.0,304,4.0,55.0,0.5
Mexico,405,38.0,5.0,1.0,4.0,396,1.0,3.0,0.04
Estonia,404,35.0,1.0,1.0,8.0,395,5.0,305.0,0.8
Dominican Republic,392,80.0,10.0,4.0,3.0,379,,36.0,0.9
Argentina,387,,8.0,2.0,52.0,327,,9.0,0.2
Serbia,384,81.0,4.0,1.0,15.0,365,21.0,44.0,0.5
Iraq,346,30.0,29.0,2.0,103.0,214,,9.0,0.7
Lebanon,333,15.0,6.0,2.0,20.0,307,4.0,49.0,0.9
UAE,333,85.0,2.0,,52.0,279,2.0,34.0,0.2
Algeria,302,38.0,21.0,2.0,65.0,216,,7.0,0.5
Lithuania,274,65.0,4.0,2.0,1.0,269,1.0,101.0,1.0
Armenia,265,16.0,,,16.0,249,6.0,89.0,
Bulgaria,242,24.0,3.0,,4.0,235,8.0,35.0,0.4
Taiwan,235,19.0,2.0,,29.0,204,,10.0,0.08
Hungary,226,39.0,10.0,1.0,21.0,195,6.0,23.0,1.0
Morocco,225,55.0,6.0,1.0,7.0,212,1.0,6.0,0.2
Latvia,221,24.0,,,1.0,220,,117.0,
Slovakia,216,12.0,,,7.0,209,2.0,40.0,
New Zealand,205,,,,22.0,183,,43.0,
Costa Rica,201,24.0,2.0,,2.0,197,4.0,39.0,0.4
Kuwait,195,4.0,,,43.0,152,6.0,46.0,
Uruguay,189,,,,,189,3.0,54.0,
Andorra,188,24.0,1.0,,1.0,186,6.0,2433.0,13.0
San Marino,187,,21.0,,4.0,162,12.0,5511.0,619.0
North Macedonia,177,29.0,3.0,1.0,1.0,173,1.0,85.0,1.0
Tunisia,173,59.0,5.0,1.0,2.0,166,11.0,15.0,0.4
Bosnia and Herzegovina,173,5.0,3.0,,2.0,168,1.0,53.0,0.9
Jordan,172,18.0,,,1.0,171,,17.0,
Moldova,149,24.0,1.0,,2.0,146,20.0,37.0,0.2
Albania,146,23.0,5.0,,17.0,124,3.0,51.0,2.0
Vietnam,141,7.0,,,17.0,124,3.0,1.0,
Cyprus,132,8.0,3.0,,3.0,126,3.0,109.0,2.0
Faeroe Islands,132,10.0,,,38.0,94,2.0,2701.0,
Malta,129,19.0,,,2.0,127,1.0,292.0,
Ukraine,116,14.0,4.0,1.0,1.0,111,,3.0,0.09
