"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
China,80026,202.0,2912.0,42.0,32313,44801.0,7110.0
S. Korea,4335,599.0,28.0,7.0,4277,30.0,27.0
Italy,2036,335.0,52.0,11.0,1835,149.0,166.0
Iran,1501,523.0,66.0,12.0,1144,291.0,
Diamond Princess,705,,7.0,,598,100.0,36.0
Japan,274,18.0,6.0,,226,42.0,19.0
France,191,61.0,3.0,1.0,176,12.0,8.0
Germany,165,35.0,,,149,16.0,2.0
Spain,120,36.0,,,118,2.0,3.0
Singapore,108,2.0,,,30,78.0,6.0
Hong Kong,100,,2.0,,62,36.0,6.0
USA,99,24.0,6.0,5.0,84,9.0,7.0
Kuwait,56,10.0,,,56,,
Bahrain,49,2.0,,,49,,
Thailand,43,1.0,1.0,,12,30.0,1.0
Taiwan,41,1.0,1.0,,28,12.0,1.0
U.K.,40,4.0,,,32,8.0,
Australia,33,4.0,1.0,,17,15.0,1.0
Malaysia,29,,,,7,22.0,
Canada,27,3.0,,,20,7.0,
Iraq,26,7.0,,,26,,
Norway,25,6.0,,,25,,
Switzerland,24,,,,23,1.0,
U.A.E.,21,,,,16,5.0,2.0
Austria,18,4.0,,,18,,
Netherlands,18,8.0,,,18,,1.0
Vietnam,16,,,,0,16.0,
Sweden,15,1.0,,,15,,
Lebanon,13,3.0,,,13,,
Macao,10,,,,4,6.0,
Israel,10,,,,9,1.0,
San Marino,8,,1.0,,7,,1.0
Belgium,8,6.0,,,7,1.0,
Croatia,8,1.0,,,8,,
Greece,7,,,,7,,
Qatar,7,4.0,,,7,,
Ecuador,6,,,,6,,1.0
Finland,6,,,,5,1.0,
Iceland,6,3.0,,,6,,
India,6,3.0,,,3,3.0,
Oman,6,,,,4,2.0,
Mexico,5,,,,5,,
Denmark,4,,,,4,,
Pakistan,4,,,,4,,
Philippines,3,,1.0,,0,2.0,
Algeria,3,,,,3,,
Azerbaijan,3,,,,3,,
Czechia,3,,,,3,,
Georgia,3,,,,3,,
Romania,3,,,,2,1.0,
Russia,3,1.0,,,1,2.0,
Brazil,2,,,,2,,
Egypt,2,,,,1,1.0,
Indonesia,2,2.0,,,2,,
Portugal,2,2.0,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,1.0,,,1,,
Armenia,1,,,,1,,
Belarus,1,,,,1,,
Cambodia,1,,,,0,1.0,
Dominican Republic,1,,,,1,,
Estonia,1,,,,1,,
Ireland,1,,,,1,,
Jordan,1,1.0,,,1,,
Latvia,1,1.0,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Morocco,1,1.0,,,1,,
Nepal,1,,,,0,1.0,
New Zealand,1,,,,1,,
Nigeria,1,,,,1,,
Saudi Arabia,1,1.0,,,1,,
Senegal,1,1.0,,,1,,
Sri Lanka,1,,,,0,1.0,
Tunisia,1,1.0,,,1,,
Total:,90306,1918.0,3087.0,78.0,41514,45705.0,7398.0
