"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
Poland,221,44.0,5.0,1.0,,216,3.0,5.8
Chile,201,45.0,,,,201,3.0,10.5
Philippines,187,45.0,12.0,,5.0,170,1.0,1.7
Thailand,177,30.0,1.0,,41.0,135,1.0,2.5
Indonesia,172,38.0,5.0,,8.0,159,,0.6
Saudi Arabia,171,38.0,,,6.0,165,,4.9
Egypt,169,3.0,4.0,,32.0,133,,1.7
Hong Kong,162,7.0,4.0,,81.0,77,4.0,21.6
Iraq,154,21.0,11.0,1.0,41.0,102,,3.8
India,142,13.0,3.0,1.0,14.0,125,,0.1
Luxembourg,140,59.0,1.0,,,139,10.0,
Kuwait,130,7.0,,,12.0,118,4.0,30.4
Lebanon,120,11.0,3.0,,4.0,113,3.0,17.6
Peru,117,31.0,,,1.0,116,8.0,3.5
Russia,114,21.0,,,8.0,106,,0.8
Ecuador,111,53.0,2.0,,,109,2.0,6.3
San Marino,102,,9.0,2.0,4.0,89,11.0,
UAE,98,,,,26.0,72,2.0,9.9
Slovakia,84,12.0,,,,84,2.0,15.4
Mexico,82,29.0,,,4.0,78,1.0,0.6
Bulgaria,81,19.0,2.0,,,79,,11.7
Taiwan,77,10.0,1.0,,20.0,56,,3.2
Armenia,72,20.0,,,1.0,71,2.0,24.3
Panama,69,,1.0,,,68,7.0,16.0
Argentina,68,3.0,2.0,,3.0,63,1.0,1.5
Croatia,67,10.0,,,5.0,62,,16.3
Vietnam,66,5.0,,,16.0,50,,0.7
Colombia,65,11.0,,,1.0,64,,1.3
Serbia,65,8.0,,,1.0,64,4.0,7.4
South Africa,62,,,,,62,,1.0
Algeria,60,,5.0,1.0,10.0,45,,1.4
Latvia,60,26.0,,,1.0,59,,31.8
Brunei,56,2.0,,,,56,1.0,
Albania,55,4.0,1.0,,,54,2.0,19.1
Hungary,50,11.0,1.0,,2.0,47,,5.2
Faeroe Islands,47,29.0,,,,47,,
Turkey,47,,,,,47,,0.6
Cyprus,46,,,,,46,1.0,38.1
Sri Lanka,44,16.0,,,1.0,43,,2.1
Costa Rica,41,,,,,41,3.0,8.0
Palestine,41,2.0,,,,41,,8.0
Morocco,38,1.0,2.0,1.0,1.0,35,1.0,1.0
Malta,38,8.0,,,2.0,36,,
Belarus,36,,,,3.0,33,,3.8
Jordan,35,6.0,,,1.0,34,,3.4
Georgia,34,1.0,,,1.0,33,1.0,8.5
Cambodia,33,21.0,,,1.0,32,,2.0
Kazakhstan,33,23.0,,,,33,,1.8
Venezuela,33,16.0,,,,33,,1.2
Moldova,30,1.0,,,1.0,29,1.0,7.4
Uruguay,29,,,,,29,,8.3
Azerbaijan,28,3.0,1.0,,6.0,21,,2.8
Senegal,27,,,,2.0,25,,1.6
Bosnia and Herzegovina,27,2.0,,,2.0,25,,8.2
North Macedonia,26,2.0,,,1.0,25,1.0,12.5
Oman,24,,,,12.0,12,,4.7
Tunisia,24,,,,1.0,23,2.0,2.0
Afghanistan,22,1.0,,,1.0,21,,0.6
Lithuania,22,4.0,,,1.0,21,1.0,8.1
Dominican Republic,21,,1.0,,,20,,1.9
Andorra,16,2.0,,,1.0,15,,
Martinique,15,,1.0,,,14,,
Burkina Faso,15,,,,,15,,0.7
Macao,13,1.0,,,10.0,3,,
Maldives,13,,,,,13,,
New Zealand,12,4.0,,,,12,,2.5
Jamaica,12,,,,2.0,10,,4.1
Bolivia,11,,,,,11,,0.9
French Guiana,11,,,,,11,,
Uzbekistan,11,3.0,,,,11,,0.3
Bangladesh,10,2.0,1.0,1.0,3.0,6,,0.1
Cameroon,10,5.0,,,,10,,0.4
Monaco,9,,,,,9,,
Paraguay,9,1.0,,,,9,1.0,1.3
Réunion,9,,,,,9,,
Guatemala,8,,1.0,,,7,,0.4
Honduras,8,2.0,,,,8,,0.8
Guyana,7,,1.0,,,6,,
Ukraine,7,,1.0,,,6,,0.2
Liechtenstein,7,,,,,7,,
Rwanda,7,,,,,7,,0.5
Channel Islands,6,,,,,6,,
Ghana,6,,,,,6,,0.2
Guadeloupe,6,,,,,6,,
Cuba,5,1.0,,,,5,,0.4
Ethiopia,5,,,,,5,,
Guam,5,2.0,,,,5,,
Mongolia,5,1.0,,,,5,,1.5
Puerto Rico,5,,,,,5,,1.7
Trinidad and Tobago,5,1.0,,,,5,,3.6
Ivory Coast,4,,,,,4,,0.2
Kenya,4,1.0,,,,4,,0.1
Seychelles,4,1.0,,,,4,,
Nigeria,3,1.0,,,1.0,2,,
Aruba,3,1.0,,,,3,,
Curaçao,3,1.0,,,,3,,
DRC,3,,,,,3,,
French Polynesia,3,,,,,3,,
Gibraltar,3,,,,1.0,2,,
St. Barth,3,,,,,3,,
Barbados,2,2.0,,,,2,,
Liberia,2,1.0,,,,2,,0.4
Namibia,2,,,,,2,,0.8
Saint Lucia,2,,,,,2,,
Saint Martin,2,,,,,2,,
U.S. Virgin Islands,2,1.0,,,,2,,
Cayman Islands,1,,1.0,,,0,,
Sudan,1,,1.0,,,0,,
Nepal,1,,,,1.0,0,,
Antigua and Barbuda,1,,,,,1,,
Bahamas,1,,,,,1,,
Benin,1,,,,,1,,0.1
Bhutan,1,,,,,1,,
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Equatorial Guinea,1,,,,,1,,0.7
Gabon,1,,,,,1,,0.4
Greenland,1,,,,,1,,
Guinea,1,,,,,1,,0.1
Vatican City,1,,,,,1,,
Mauritania,1,,,,,1,,0.2
Mayotte,1,,,,,1,,
St. Vincent Grenadines,1,,,,,1,,
Somalia,1,,,,,1,,0.1
Suriname,1,,,,,1,,
Eswatini,1,,,,,1,,0.9
Tanzania,1,,,,,1,,
Togo,1,,,,,1,,0.1
Total:,190928,8485.0,7531.0,384.0,80889.0,102508,6521.0,24.5
