"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80881,21.0,3226.0,13.0,68715.0,8940,3226.0,56.2
Italy,27980,,2158.0,,2749.0,23073,1851.0,
Iran,16169,1178.0,988.0,135.0,5389.0,9792,,192.5
Spain,11409,1467.0,510.0,168.0,1028.0,9871,563.0,244.0
Germany,8604,1332.0,23.0,6.0,67.0,8514,2.0,102.7
S. Korea,8320,84.0,81.0,6.0,1401.0,6838,59.0,162.3
France,6633,,148.0,,12.0,6473,400.0,101.6
USA,5686,1023.0,97.0,11.0,74.0,5515,12.0,17.2
Switzerland,2742,389.0,27.0,8.0,15.0,2700,,316.8
UK,1950,407.0,56.0,1.0,52.0,1842,20.0,28.7
Netherlands,1705,292.0,43.0,19.0,2.0,1660,45.0,99.5
Norway,1444,96.0,3.0,,1.0,1440,27.0,266.4
Austria,1332,314.0,4.0,1.0,8.0,1320,12.0,147.9
Belgium,1243,185.0,10.0,,14.0,1219,33.0,107.3
Sweden,1191,70.0,8.0,1.0,1.0,1182,12.0,117.9
Denmark,977,63.0,4.0,,1.0,972,18.0,168.7
Japan,878,45.0,29.0,1.0,144.0,705,41.0,6.9
Diamond Princess,696,,7.0,,456.0,233,15.0,
Malaysia,673,107.0,2.0,2.0,49.0,622,10.0,20.8
Australia,452,51.0,5.0,,27.0,420,1.0,17.7
Canada,449,8.0,5.0,1.0,11.0,433,1.0,11.9
Portugal,448,117.0,1.0,,3.0,444,18.0,43.9
Qatar,439,,,,4.0,435,,152.4
Czechia,396,52.0,,,3.0,393,2.0,37.0
Greece,387,35.0,5.0,1.0,10.0,372,11.0,37.1
Israel,324,26.0,,,11.0,313,5.0,37.4
Finland,322,44.0,,,10.0,312,2.0,58.1
Brazil,301,67.0,1.0,1.0,2.0,298,18.0,1.4
Slovenia,275,22.0,1.0,,,274,4.0,132.3
Singapore,266,23.0,,,114.0,152,14.0,45.5
Bahrain,237,9.0,1.0,,81.0,155,3.0,139.3
Pakistan,236,52.0,1.0,,2.0,233,,1.1
Iceland,225,26.0,1.0,1.0,5.0,219,1.0,
Estonia,225,20.0,,,1.0,224,,169.6
Ireland,223,,2.0,,5.0,216,6.0,45.2
Romania,222,54.0,,,19.0,203,5.0,11.5
