"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80701,50.0,3098.0,28.0,57332.0,20271,5264.0,56.1
S. Korea,7313,272.0,50.0,2.0,130.0,7133,36.0,142.6
Iran,6566,743.0,194.0,49.0,2134.0,4238,,78.2
Italy,5883,,233.0,,589.0,5061,567.0,97.3
France,949,,16.0,,12.0,921,45.0,14.5
Germany,939,139.0,,,18.0,921,9.0,11.2
Diamond Princess,696,,7.0,,245.0,444,32.0,
Spain,597,72.0,17.0,7.0,30.0,550,9.0,12.8
Japan,461,,6.0,,76.0,379,28.0,3.6
USA,447,12.0,19.0,,15.0,413,8.0,1.4
Switzerland,336,68.0,1.0,,3.0,332,,38.8
UK,209,,2.0,,18.0,189,,3.1
Belgium,200,31.0,,,1.0,199,1.0,17.3
Netherlands,188,,1.0,,,187,1.0,11.0
Sweden,161,,,,1.0,160,,15.9
Norway,158,2.0,,,1.0,157,,29.1
Singapore,138,,,,90.0,48,8.0,23.6
Hong Kong,110,2.0,2.0,,55.0,53,6.0,14.7
Austria,104,23.0,,,2.0,102,1.0,11.5
Malaysia,99,6.0,,,24.0,75,,3.1
Bahrain,85,,,,6.0,79,,50.0
Australia,80,6.0,3.0,,22.0,55,1.0,3.1
Greece,66,,,,,66,1.0,6.3
Kuwait,62,1.0,,,1.0,61,3.0,14.5
Canada,60,,,,8.0,52,1.0,1.6
Iraq,54,,4.0,,1.0,49,,1.3
Thailand,50,,1.0,,31.0,18,1.0,0.7
Iceland,50,,,,1.0,49,,
Egypt,48,,,,1.0,47,,
Taiwan,45,,1.0,,15.0,29,,1.9
UAE,45,,,,7.0,38,2.0,4.5
India,39,5.0,,,3.0,36,,
San Marino,36,10.0,1.0,,,35,5.0,
Denmark,35,8.0,,,1.0,34,,6.0
Lebanon,28,,,,1.0,27,3.0,4.1
Czechia,26,,,,,26,,2.4
Israel,25,,,,3.0,22,1.0,2.9
Portugal,25,4.0,,,,25,,2.5
Finland,23,4.0,,,1.0,22,,4.2
Vietnam,21,1.0,,,16.0,5,,
Algeria,19,,,,,19,,
Brazil,19,,,,,19,,
Ireland,19,,,,,19,,3.8
Palestine,19,,,,,19,,3.7
Oman,16,,,,2.0,14,,3.1
Russia,15,,,,3.0,12,,
Ecuador,14,,,,,14,1.0,0.8
Georgia,13,,,,,13,1.0,3.3
Romania,13,,,,3.0,10,,0.7
Croatia,12,,,,,12,,2.9
Qatar,12,,,,,12,,4.2
Slovenia,12,,,,,12,,5.8
Saudi Arabia,11,4.0,,,1.0,10,,
Macao,10,,,,10.0,0,,
Estonia,10,,,,,10,,7.5
Argentina,9,,1.0,,,8,,
Azerbaijan,9,,,,,9,,0.9
Poland,8,2.0,,,,8,,
Mexico,7,1.0,,,1.0,6,1.0,
Chile,7,,,,,7,,
Philippines,6,,1.0,,2.0,3,1.0,
Belarus,6,,,,,6,,0.6
Indonesia,6,2.0,,,,6,,
Pakistan,6,,,,1.0,5,,
Peru,6,,,,,6,,
New Zealand,5,,,,,5,,1.0
Costa Rica,5,4.0,,,,5,1.0,1.0
French Guiana,5,,,,,5,,
Hungary,5,,,,,5,,0.5
Afghanistan,4,,,,,4,,
Luxembourg,4,,,,,4,,
Senegal,4,,,,1.0,3,,
Bulgaria,4,2.0,,,,4,,0.6
North Macedonia,3,,,,,3,,1.4
Bosnia and Herzegovina,3,,,,,3,,0.9
Malta,3,,,,,3,,
Slovakia,3,,,,,3,,0.5
South Africa,3,1.0,,,,3,,
Cambodia,2,,,,1.0,1,,
Dominican Republic,2,,,,,2,,
Latvia,2,1.0,,,1.0,1,,1.1
Morocco,2,,,,,2,1.0,
Cameroon,2,,,,,2,,
Faeroe Islands,2,,,,,2,,
Maldives,2,,,,,2,,
Andorra,1,,,,,1,,
Armenia,1,,,,,1,,
Jordan,1,,,,,1,,
Lithuania,1,,,,,1,,
Monaco,1,,,,,1,,
Nepal,1,,,,1.0,0,,
Nigeria,1,,,,,1,,
Sri Lanka,1,,,,1.0,0,,
Tunisia,1,,,,,1,,
Ukraine,1,,,,,1,,
Bhutan,1,,,,,1,,
Colombia,1,,,,,1,,
Gibraltar,1,,,,,1,1.0,
Vatican City,1,,,,,1,,
Liechtenstein,1,,,,,1,,
Moldova,1,,,,,1,,
Paraguay,1,,,,,1,,
Serbia,1,,,,,1,,
Togo,1,,,,,1,,
Total:,107526,1476.0,3658.0,86.0,60922.0,42946,6040.0,13.8
