"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80824,,3199.0,10.0,66911.0,10714,3610.0,56.2
Italy,21157,3497.0,1441.0,175.0,1966.0,17750,1518.0,349.9
Iran,12729,1365.0,611.0,97.0,4339.0,7779,,151.5
S. Korea,8162,183.0,75.0,8.0,834.0,7253,59.0,159.2
Spain,6391,1159.0,196.0,63.0,517.0,5678,272.0,136.7
Germany,4599,924.0,9.0,1.0,46.0,4544,9.0,54.9
France,4469,808.0,91.0,12.0,12.0,4366,154.0,68.5
USA,2836,589.0,57.0,8.0,49.0,2730,10.0,8.6
Switzerland,1375,236.0,13.0,2.0,4.0,1358,,158.9
UK,1140,342.0,21.0,10.0,18.0,1101,20.0,16.8
Norway,1109,113.0,3.0,2.0,1.0,1105,27.0,204.6
Sweden,961,147.0,2.0,1.0,1.0,958,2.0,95.2
Netherlands,959,155.0,12.0,2.0,2.0,945,45.0,56.0
Denmark,827,23.0,1.0,1.0,1.0,825,2.0,142.8
Japan,804,70.0,22.0,1.0,144.0,638,35.0,6.4
Diamond Princess,696,,7.0,,456.0,233,15.0,
Belgium,689,130.0,4.0,1.0,1.0,684,24.0,59.4
Austria,655,151.0,1.0,,6.0,648,1.0,72.7
Qatar,337,17.0,,,4.0,333,,117.0
Canada,252,54.0,1.0,,11.0,240,1.0,6.7
Australia,248,49.0,3.0,,27.0,218,1.0,9.7
Malaysia,238,41.0,,,35.0,203,4.0,7.4
Greece,228,38.0,3.0,2.0,8.0,217,5.0,21.9
Finland,225,70.0,,,10.0,215,,40.6
Bahrain,212,2.0,,,60.0,152,2.0,124.6
Singapore,212,12.0,,,105.0,107,11.0,36.2
Israel,193,50.0,,,4.0,189,3.0,22.3
Czechia,189,48.0,,,,189,2.0,17.6
Slovenia,181,40.0,1.0,1.0,,180,3.0,87.1
Portugal,169,57.0,,,2.0,167,10.0,16.6
Iceland,161,27.0,,,,161,1.0,
Brazil,151,,,,1.0,150,2.0,0.7
Hong Kong,142,10.0,4.0,,81.0,57,4.0,18.9
Ireland,129,39.0,2.0,1.0,,127,6.0,26.1
Romania,123,28.0,,,9.0,114,1.0,6.4
Estonia,115,36.0,,,,115,,86.7
Philippines,111,47.0,8.0,3.0,2.0,101,1.0,1.0
Iraq,110,9.0,10.0,1.0,26.0,74,,2.7
Egypt,109,16.0,2.0,,27.0,80,,1.1
Kuwait,104,4.0,,,5.0,99,4.0,24.4
Poland,103,35.0,3.0,1.0,13.0,87,3.0,2.7
Saudi Arabia,103,17.0,,,1.0,102,,3.0
San Marino,101,21.0,5.0,,4.0,92,3.0,
India,100,18.0,2.0,,10.0,88,,0.1
Indonesia,96,27.0,5.0,1.0,8.0,83,,0.4
Lebanon,93,16.0,3.0,,1.0,89,3.0,13.6
UAE,85,,,,20.0,65,2.0,8.6
Thailand,82,7.0,1.0,,35.0,46,1.0,1.2
Chile,61,18.0,,,,61,,3.2
Russia,59,14.0,,,8.0,51,,0.4
Taiwan,53,3.0,1.0,,20.0,32,,2.2
Vietnam,53,9.0,,,16.0,37,,0.5
Luxembourg,51,13.0,1.0,,,50,,
Serbia,46,11.0,,,,46,1.0,5.3
Argentina,45,11.0,2.0,,,43,1.0,1.0
Slovakia,44,12.0,,,,44,,8.1
Bulgaria,41,10.0,2.0,1.0,,39,,5.9
Brunei,40,3.0,,,,40,,
Croatia,39,7.0,,,2.0,37,,9.5
Albania,38,5.0,1.0,,,37,2.0,13.2
Peru,38,,,,,38,,1.2
South Africa,38,14.0,,,,38,,0.6
Palestine,38,3.0,,,,38,,7.4
Algeria,37,11.0,3.0,1.0,10.0,24,,0.8
Panama,36,9.0,1.0,,,35,,8.3
Pakistan,31,3.0,,,2.0,29,,0.1
Georgia,30,5.0,,,,30,1.0,7.5
Hungary,30,11.0,,,1.0,29,,3.1
Ecuador,28,5.0,1.0,,,27,1.0,1.6
Belarus,27,,,,3.0,24,,2.9
Costa Rica,27,4.0,,,,27,1.0,5.3
Latvia,26,9.0,,,1.0,25,,13.8
Mexico,26,11.0,,,4.0,22,1.0,0.2
Cyprus,26,12.0,,,,26,,21.5
Colombia,22,6.0,,,,22,,0.4
Senegal,21,,,,2.0,19,,1.3
Bosnia and Herzegovina,21,3.0,,,,21,,6.4
Oman,19,,,,9.0,10,,3.7
Morocco,18,11.0,1.0,,1.0,16,1.0,0.5
Armenia,18,10.0,,,,18,,6.1
Tunisia,18,2.0,,,,18,2.0,1.5
