"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
China,81171,78.0,3277.0,7.0,73159.0,4735,1573.0,56.0,2.0
Italy,63927,,6077.0,,7432.0,50418,3204.0,1057.0,101.0
USA,49174,5440.0,616.0,63.0,295.0,48263,1175.0,149.0,2.0
Spain,39676,4540.0,2800.0,489.0,3794.0,33082,2355.0,849.0,60.0
Germany,31370,2314.0,133.0,10.0,749.0,30488,23.0,374.0,2.0
Iran,24811,1762.0,1934.0,122.0,8913.0,13964,,295.0,23.0
France,19856,,860.0,,2200.0,16796,2082.0,304.0,13.0
Switzerland,9117,322.0,122.0,2.0,131.0,8864,141.0,1053.0,14.0
S. Korea,9037,76.0,120.0,9.0,3507.0,5410,59.0,176.0,2.0
UK,8077,1427.0,422.0,87.0,135.0,7520,20.0,119.0,6.0
Netherlands,5560,811.0,276.0,63.0,2.0,5282,435.0,324.0,16.0
Austria,5010,536.0,28.0,7.0,9.0,4973,22.0,556.0,3.0
Belgium,4269,526.0,122.0,34.0,461.0,3686,381.0,368.0,11.0
Norway,2768,143.0,12.0,2.0,6.0,2750,44.0,511.0,2.0
Portugal,2362,302.0,30.0,7.0,22.0,2310,48.0,232.0,3.0
Sweden,2286,240.0,36.0,9.0,16.0,2234,136.0,226.0,4.0
Canada,2177,86.0,24.0,,112.0,2041,1.0,58.0,0.6
Australia,2144,257.0,8.0,1.0,118.0,2018,11.0,84.0,0.3
Brazil,1980,56.0,34.0,,2.0,1944,18.0,9.0,0.2
Israel,1656,214.0,2.0,1.0,49.0,1605,31.0,191.0,0.2
Malaysia,1624,106.0,15.0,1.0,183.0,1426,64.0,50.0,0.5
Denmark,1591,131.0,32.0,8.0,1.0,1558,69.0,275.0,6.0
Turkey,1529,,37.0,,,1492,,18.0,0.4
Czechia,1289,53.0,2.0,1.0,8.0,1279,19.0,120.0,0.2
Japan,1140,12.0,42.0,,285.0,813,54.0,9.0,0.3
Ireland,1125,,6.0,,5.0,1114,29.0,228.0,1.0
Ecuador,1049,68.0,27.0,9.0,3.0,1019,2.0,59.0,2.0
Pakistan,958,83.0,7.0,1.0,13.0,938,,4.0,0.03
Chile,922,176.0,2.0,,17.0,903,7.0,48.0,0.1
Luxembourg,875,,8.0,,6.0,861,3.0,1398.0,13.0
Thailand,827,106.0,4.0,3.0,52.0,771,7.0,12.0,0.06
Poland,799,50.0,9.0,1.0,1.0,789,3.0,21.0,0.2
Finland,792,92.0,1.0,,10.0,781,11.0,143.0,0.2
Saudi Arabia,767,205.0,1.0,1.0,28.0,738,,22.0,0.03
Romania,762,186.0,8.0,1.0,79.0,675,15.0,40.0,0.4
Greece,743,48.0,20.0,3.0,29.0,694,35.0,71.0,2.0
Diamond Princess,712,,10.0,2.0,587.0,115,15.0,,
Indonesia,686,107.0,55.0,6.0,30.0,601,,3.0,0.2
Iceland,648,60.0,2.0,1.0,51.0,595,13.0,1899.0,6.0
Singapore,558,49.0,2.0,,156.0,400,14.0,95.0,0.3
South Africa,554,152.0,,,4.0,550,2.0,9.0,
Philippines,552,90.0,35.0,2.0,20.0,497,1.0,5.0,0.3
India,519,20.0,10.0,,40.0,469,,0.4,0.01
Qatar,501,,,,37.0,464,6.0,174.0,
Russia,495,57.0,1.0,,22.0,472,8.0,3.0,0.01
Slovenia,480,38.0,4.0,1.0,3.0,473,12.0,231.0,2.0
Peru,395,,5.0,,1.0,389,19.0,12.0,0.2
Bahrain,390,13.0,3.0,1.0,164.0,223,2.0,229.0,2.0
Hong Kong,386,29.0,4.0,,102.0,280,4.0,51.0,0.5
Croatia,382,67.0,1.0,,5.0,376,6.0,93.0,0.2
Estonia,369,17.0,,,7.0,362,4.0,278.0,
Mexico,367,51.0,4.0,1.0,4.0,359,1.0,3.0,0.03
Egypt,366,,19.0,,68.0,279,,4.0,0.2
Panama,345,,6.0,,1.0,338,33.0,80.0,1.0
Iraq,316,50.0,27.0,4.0,75.0,214,,8.0,0.7
Dominican Republic,312,67.0,6.0,3.0,3.0,303,,29.0,0.6
Colombia,306,29.0,3.0,,6.0,297,,6.0,0.06
Lebanon,304,37.0,4.0,,8.0,292,4.0,45.0,0.6
Serbia,303,54.0,3.0,,15.0,285,21.0,35.0,0.3
Argentina,301,,5.0,1.0,51.0,245,,7.0,0.1
Algeria,264,34.0,19.0,2.0,65.0,180,,6.0,0.4
