"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,81054,46.0,3261.0,6.0,72440.0,5353,1845.0,56.0
Italy,53578,,4825.0,,6072.0,42681,2857.0,886.0
USA,26863,2656.0,348.0,46.0,178.0,26337,64.0,81.0
Spain,25496,,1381.0,,2125.0,21990,1612.0,545.0
Germany,22364,,84.0,,209.0,22071,2.0,267.0
Iran,20610,,1556.0,,7635.0,11419,,245.0
France,14459,,562.0,,1587.0,12310,1525.0,222.0
S. Korea,8897,98.0,104.0,2.0,2909.0,5884,59.0,174.0
Switzerland,6863,,80.0,,131.0,6652,141.0,793.0
UK,5018,,233.0,,93.0,4692,20.0,74.0
Netherlands,3631,,136.0,,2.0,3493,354.0,212.0
Austria,2992,,8.0,,9.0,2975,15.0,332.0
Belgium,2815,,67.0,,263.0,2485,288.0,243.0
Norway,2164,,7.0,,6.0,2151,28.0,399.0
Sweden,1770,,20.0,,16.0,1734,71.0,175.0
Canada,1328,,19.0,,14.0,1295,1.0,35.0
Denmark,1326,,13.0,,1.0,1312,42.0,229.0
Australia,1286,214.0,7.0,,46.0,1233,2.0,50.0
Portugal,1280,,12.0,,5.0,1263,26.0,126.0
Malaysia,1183,,8.0,,114.0,1061,26.0,37.0
Brazil,1178,,18.0,,2.0,1158,18.0,6.0
Japan,1054,,36.0,,215.0,803,55.0,8.0
Czechia,995,,,,6.0,989,7.0,93.0
Turkey,947,,21.0,,,926,,11.0
Israel,883,,1.0,,36.0,846,15.0,102.0
Ireland,785,,3.0,,5.0,777,13.0,159.0
Diamond Princess,712,,8.0,,567.0,137,15.0,
Luxembourg,670,,8.0,,6.0,656,3.0,1070.0
Pakistan,645,,3.0,,13.0,629,,3.0
Chile,537,,1.0,,8.0,528,7.0,28.0
Poland,536,,5.0,,13.0,518,3.0,14.0
Ecuador,532,,7.0,,3.0,522,2.0,30.0
Greece,530,,13.0,,19.0,498,18.0,51.0
Finland,523,,1.0,,10.0,512,2.0,94.0
Qatar,481,,,,27.0,454,6.0,167.0
Iceland,473,,1.0,,5.0,467,1.0,1386.0
Indonesia,450,,38.0,,20.0,392,,2.0
Singapore,432,,2.0,,140.0,290,14.0,74.0
Thailand,411,,1.0,,44.0,366,7.0,6.0
Saudi Arabia,392,,,,16.0,376,,11.0
Slovenia,383,,1.0,,,382,12.0,184.0
Philippines,380,73.0,25.0,6.0,15.0,340,1.0,3.0
Romania,367,,,,52.0,315,14.0,19.0
India,332,,5.0,,23.0,304,,0.2
Peru,318,,5.0,,1.0,312,5.0,10.0
Bahrain,310,,1.0,,125.0,184,4.0,182.0
Russia,306,,1.0,,16.0,289,,2.0
Estonia,306,,,,2.0,304,,231.0
Egypt,294,,10.0,,42.0,242,,3.0
Hong Kong,274,,4.0,,100.0,170,4.0,37.0
Mexico,251,48.0,2.0,,4.0,245,1.0,2.0
Panama,245,,3.0,,1.0,241,7.0,57.0
South Africa,240,,,,2.0,238,,4.0
Lebanon,230,,4.0,,8.0,218,4.0,34.0
Argentina,225,67.0,4.0,,27.0,194,,5.0
Iraq,214,,17.0,,51.0,146,,5.0
Colombia,210,14.0,1.0,1.0,3.0,206,,4.0
Croatia,206,,1.0,,5.0,200,,50.0
Slovakia,178,,,,7.0,171,2.0,33.0
Kuwait,176,,,,27.0,149,5.0,41.0
Serbia,171,,1.0,,2.0,168,4.0,20.0
Bulgaria,163,,3.0,,3.0,157,3.0,23.0
San Marino,160,,20.0,,4.0,136,12.0,4715.0
Armenia,160,,,,1.0,159,2.0,54.0
Taiwan,153,,2.0,,28.0,123,,6.0
UAE,153,,2.0,,38.0,113,2.0,15.0
Algeria,139,,15.0,,65.0,59,,3.0
Uruguay,135,25.0,,,,135,2.0,39.0
Latvia,124,,,,1.0,123,,66.0
Costa Rica,117,,2.0,,2.0,113,2.0,23.0
Dominican Republic,112,,3.0,,,109,,10.0
Hungary,103,,4.0,,7.0,92,6.0,11.0
Jordan,100,,,,1.0,99,,10.0
Lithuania,99,,1.0,,1.0,97,1.0,36.0
Morocco,96,,3.0,,3.0,90,1.0,3.0
Vietnam,94,,,,17.0,77,2.0,1.0
Bosnia and Herzegovina,93,,1.0,,2.0,90,1.0,28.0
Faeroe Islands,92,,,,3.0,89,,1883.0
Andorra,88,,,,1.0,87,2.0,1139.0
North Macedonia,85,,,,1.0,84,1.0,41.0
Cyprus,84,,1.0,,3.0,80,3.0,70.0
Brunei,83,,,,1.0,82,2.0,190.0
Moldova,80,,1.0,,1.0,78,3.0,20.0
Sri Lanka,77,,,,3.0,74,2.0,4.0
Albania,76,,2.0,,2.0,72,2.0,26.0
Belarus,76,,,,15.0,61,,8.0
Malta,73,,,,2.0,71,1.0,165.0
Venezuela,70,,,,15.0,55,2.0,2.0
New Zealand,66,14.0,,,,66,,14.0
Burkina Faso,64,,3.0,,5.0,56,,3.0
Tunisia,60,,1.0,,1.0,58,7.0,5.0
Guadeloupe,56,,1.0,,,55,4.0,140.0
Senegal,56,,,,5.0,51,,3.0
Kazakhstan,54,,,,,54,,3.0
Azerbaijan,53,,1.0,,11.0,41,,5.0
Cambodia,53,,,,2.0,51,,3.0
Palestine,53,,,,17.0,36,,10.0
Oman,52,,,,13.0,39,,10.0
Georgia,49,,,,1.0,48,1.0,12.0
Trinidad and Tobago,49,,,,,49,,35.0
Ukraine,47,,3.0,,1.0,43,,1.0
Réunion,47,,,,,47,,52.0
Uzbekistan,41,,,,,41,,1.0
Cameroon,40,,,,2.0,38,,2.0
Martinique,37,,1.0,,,36,7.0,99.0
Liechtenstein,37,,,,,37,,970.0
Channel Islands,32,,,,,32,,184.0
Bangladesh,24,,2.0,,3.0,19,,0.1
Afghanistan,24,,,,1.0,23,,0.6
Honduras,24,,,,,24,,2.0
DRC,23,,1.0,,,22,,0.3
Paraguay,22,,1.0,,,21,1.0,3.0
Nigeria,22,,,,1.0,21,,0.1
Cuba,21,,1.0,,,20,,2.0
Ghana,21,,1.0,,,20,,0.7
Puerto Rico,21,,1.0,,,20,,7.0
Jamaica,19,,1.0,,2.0,16,,6.0
Macao,19,,,,10.0,9,,29.0
Bolivia,19,,,,,19,,2.0
Guyana,18,,1.0,,,17,,23.0
Monaco,18,,,,1.0,17,,459.0
French Guiana,18,,,,,18,,60.0
Guatemala,17,,1.0,,,16,,0.9
Rwanda,17,,,,,17,,1.0
Montenegro,16,,,,,16,,25.0
