"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,3934813,21169.0,271095.0,669.0,1350951.0,2312767,48914.0,505.0,34.8,,
USA,1292879,256.0,76942.0,14.0,217251.0,998686,16995.0,3906.0,232.0,8314419.0,25119.0
Spain,256855,,26070.0,,163919.0,66866,2075.0,5494.0,558.0,1932455.0,41332.0
Italy,215858,,29958.0,,96276.0,89624,1311.0,3570.0,495.0,2381288.0,39385.0
UK,206715,,30615.0,,,175756,1559.0,3045.0,451.0,1534533.0,22605.0
Russia,187859,10699.0,1723.0,98.0,26608.0,159528,2300.0,1287.0,12.0,4980000.0,34125.0
France,174791,,25987.0,,55027.0,93777,2961.0,2678.0,398.0,1384633.0,21213.0
Germany,169430,,7392.0,,141700.0,20338,1823.0,2022.0,88.0,2755770.0,32891.0
Brazil,135773,80.0,9190.0,2.0,55350.0,71233,8318.0,639.0,43.0,339552.0,1597.0
Turkey,133721,,3641.0,,82984.0,47096,1260.0,1586.0,43.0,1265119.0,15000.0
Iran,104691,1556.0,6541.0,55.0,83837.0,14313,2711.0,1246.0,78.0,558899.0,6654.0
Canada,64922,,4408.0,,28972.0,31542,502.0,1720.0,117.0,1005294.0,26636.0
Peru,58526,,1627.0,,18388.0,38511,722.0,1775.0,49.0,448020.0,13588.0
India,56516,165.0,1895.0,6.0,16867.0,37754,,41.0,1.0,1437788.0,1042.0
Belgium,52011,591.0,8521.0,106.0,13201.0,30289,508.0,4488.0,735.0,515233.0,44456.0
Netherlands,41774,,5288.0,,,36236,584.0,2438.0,309.0,249655.0,14570.0
Saudi Arabia,33731,,219.0,,7798.0,25714,145.0,969.0,6.0,405685.0,11653.0
Ecuador,30298,,1654.0,,3433.0,25211,156.0,1717.0,94.0,83218.0,4717.0
Switzerland,30126,,1810.0,,25900.0,2416,121.0,3481.0,209.0,290365.0,33550.0
Mexico,29616,1982.0,2961.0,257.0,17781.0,8874,378.0,230.0,23.0,110916.0,860.0
Portugal,26715,,1105.0,,2258.0,23352,135.0,2620.0,108.0,485925.0,47655.0
Pakistan,25837,1193.0,594.0,9.0,7530.0,17713,111.0,117.0,3.0,257247.0,1165.0
Sweden,24623,,3040.0,,4971.0,16612,425.0,2438.0,301.0,148500.0,14704.0
Chile,24581,,285.0,,11664.0,12632,493.0,1286.0,15.0,244226.0,12776.0
Ireland,22385,,1403.0,,17110.0,3872,93.0,4533.0,284.0,214761.0,43493.0
Singapore,21707,768.0,20.0,,1712.0,19975,19.0,3710.0,3.0,175604.0,30016.0
Belarus,20168,,116.0,,5067.0,14985,92.0,2134.0,12.0,229466.0,24284.0
Qatar,18890,,12.0,,2286.0,16592,72.0,6557.0,4.0,116495.0,40435.0
Israel,16409,28.0,245.0,5.0,11007.0,5157,77.0,1896.0,28.0,442925.0,51172.0
UAE,16240,,165.0,,3572.0,12503,1.0,1642.0,17.0,1200000.0,121330.0
Austria,15774,22.0,614.0,5.0,13836.0,1324,81.0,1751.0,68.0,304069.0,33761.0
Japan,15477,,577.0,,4918.0,9982,308.0,122.0,5.0,190030.0,1502.0
Poland,15200,153.0,756.0,1.0,5184.0,9260,160.0,402.0,20.0,425994.0,11256.0
Romania,14811,312.0,898.0,10.0,6423.0,7490,232.0,770.0,47.0,237280.0,12334.0
Ukraine,14195,504.0,361.0,21.0,2706.0,11128,178.0,325.0,8.0,159155.0,3639.0
Bangladesh,13134,709.0,206.0,7.0,1910.0,11018,1.0,80.0,1.0,111454.0,677.0
Indonesia,13112,336.0,943.0,13.0,2494.0,9675,,48.0,3.0,134151.0,490.0
S. Korea,10822,12.0,256.0,,9484.0,1082,55.0,211.0,5.0,654863.0,12773.0
Philippines,10463,120.0,696.0,11.0,1734.0,8033,31.0,95.0,6.0,151080.0,1379.0
Denmark,10083,,514.0,,7711.0,1858,43.0,1741.0,89.0,284480.0,49114.0
Serbia,9848,,206.0,,2160.0,7482,46.0,1127.0,24.0,122995.0,14077.0
Colombia,9456,,407.0,,2300.0,6749,129.0,186.0,8.0,135352.0,2660.0
Dominican Republic,9095,,373.0,,2064.0,6658,133.0,838.0,34.0,36959.0,3407.0
South Africa,8232,,161.0,,3153.0,4918,36.0,139.0,3.0,292153.0,4926.0
Czechia,8034,3.0,270.0,,4372.0,3392,52.0,750.0,25.0,293992.0,27453.0
Norway,8034,,217.0,,32.0,7785,27.0,1482.0,40.0,191946.0,35406.0
Egypt,7981,,482.0,,1887.0,5612,41.0,78.0,5.0,90000.0,879.0
Panama,7868,137.0,225.0,7.0,886.0,6757,85.0,1824.0,52.0,39093.0,9060.0
Australia,6914,18.0,97.0,,6079.0,738,21.0,271.0,4.0,757250.0,29696.0
Kuwait,6567,,44.0,,2381.0,4142,91.0,1538.0,10.0,196397.0,45988.0
Malaysia,6535,68.0,107.0,,4864.0,1564,18.0,202.0,3.0,245102.0,7573.0
Finland,5673,,255.0,,3500.0,1918,44.0,1024.0,46.0,112100.0,20232.0
Morocco,5661,113.0,185.0,2.0,2302.0,3174,1.0,153.0,5.0,56492.0,1531.0
Argentina,5371,,282.0,,1601.0,3488,148.0,119.0,6.0,75198.0,1664.0
