"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,4408318,70881.0,296736.0,4285.0,1646686.0,2464896,45932.0,566.0,38.1,,
USA,1423641,15005.0,84747.0,1322.0,306298.0,1032596,16349.0,4301.0,256.0,10199681.0,30814.0
Spain,271095,1575.0,27104.0,184.0,183227.0,60764,1534.0,5798.0,580.0,2467761.0,52781.0
Russia,242271,10028.0,2212.0,96.0,48003.0,192056,2300.0,1660.0,15.0,5982558.0,40995.0
UK,229705,3242.0,33186.0,494.0,,196175,1559.0,3384.0,489.0,2094209.0,30849.0
Italy,222104,888.0,31106.0,195.0,112541.0,78457,893.0,3673.0,514.0,2735628.0,45246.0
Brazil,181518,3916.0,12703.0,299.0,72597.0,96218,8318.0,854.0,60.0,735224.0,3459.0
France,178060,,27074.0,83.0,58673.0,92313,2428.0,2728.0,415.0,1384633.0,21213.0
Germany,174006,835.0,7840.0,102.0,148700.0,17466,1465.0,2077.0,94.0,3147771.0,37570.0
Turkey,143114,1639.0,3952.0,58.0,101715.0,37447,998.0,1697.0,47.0,1474003.0,17477.0
Iran,112725,1958.0,6783.0,50.0,89428.0,16514,2735.0,1342.0,81.0,629534.0,7495.0
India,78055,3763.0,2551.0,136.0,26400.0,49104,,57.0,2.0,1854250.0,1344.0
Peru,76306,4247.0,2169.0,112.0,24324.0,49813,806.0,2314.0,66.0,553302.0,16781.0
Canada,72196,1039.0,5301.0,132.0,34916.0,31979,502.0,1913.0,140.0,1145683.0,30356.0
Belgium,53981,202.0,8843.0,82.0,13937.0,31201,420.0,4658.0,763.0,605237.0,52222.0
Saudi Arabia,44830,1905.0,273.0,9.0,17622.0,26935,147.0,1288.0,8.0,496948.0,14274.0
Netherlands,43211,227.0,5562.0,52.0,,37399,432.0,2522.0,325.0,275720.0,16091.0
Mexico,38324,1997.0,3926.0,353.0,25935.0,8463,378.0,297.0,30.0,142204.0,1103.0
Chile,34381,2660.0,346.0,11.0,14865.0,19170,494.0,1799.0,18.0,313750.0,16413.0
Pakistan,34336,1662.0,737.0,13.0,8812.0,24787,111.0,155.0,3.0,317699.0,1438.0
Ecuador,30486,67.0,2334.0,7.0,3433.0,24719,190.0,1728.0,132.0,87036.0,4933.0
Switzerland,30413,33.0,1870.0,3.0,27100.0,1443,79.0,3514.0,216.0,322084.0,37215.0
Portugal,28132,219.0,1175.0,12.0,3182.0,23775,103.0,2759.0,115.0,566172.0,55525.0
Sweden,27909,637.0,3460.0,147.0,4971.0,19478,351.0,2763.0,343.0,177500.0,17576.0
Qatar,26539,1390.0,14.0,,3143.0,23382,72.0,9212.0,5.0,139127.0,48290.0
Belarus,25825,952.0,146.0,4.0,7711.0,17968,92.0,2733.0,15.0,296380.0,31365.0
Singapore,25346,675.0,21.0,,4809.0,20516,19.0,4332.0,4.0,224262.0,38333.0
Ireland,23401,159.0,1497.0,9.0,19470.0,2434,69.0,4739.0,303.0,258808.0,52414.0
UAE,20386,725.0,206.0,3.0,6523.0,13657,1.0,2061.0,21.0,1500000.0,151662.0
Bangladesh,17822,1162.0,269.0,19.0,3361.0,14192,1.0,108.0,2.0,144538.0,878.0
Poland,17204,283.0,861.0,22.0,6410.0,9933,160.0,455.0,23.0,528122.0,13954.0
Israel,16548,19.0,264.0,4.0,12232.0,4052,61.0,1912.0,31.0,477151.0,55127.0
Ukraine,16425,402.0,439.0,14.0,3716.0,12270,218.0,376.0,10.0,192247.0,4396.0
Romania,16002,224.0,1036.0,34.0,7961.0,7005,228.0,832.0,54.0,277804.0,14441.0
Austria,15997,36.0,624.0,1.0,14304.0,1069,55.0,1776.0,69.0,336252.0,37335.0
Japan,15968,,657.0,,8531.0,6780,249.0,126.0,5.0,223649.0,1768.0
Indonesia,15438,689.0,1028.0,21.0,3287.0,11123,,56.0,4.0,169195.0,619.0
Colombia,12272,,493.0,,2971.0,8808,130.0,241.0,10.0,165738.0,3257.0
South Africa,12074,724.0,219.0,13.0,4745.0,7110,119.0,204.0,4.0,369697.0,6233.0
Philippines,11618,268.0,772.0,21.0,2251.0,8595,77.0,106.0,7.0,188649.0,1722.0
Dominican Republic,11196,296.0,409.0,7.0,3221.0,7566,131.0,1032.0,38.0,42615.0,3928.0
Kuwait,11028,751.0,82.0,7.0,3263.0,7683,169.0,2582.0,19.0,227000.0,53154.0
S. Korea,10962,26.0,259.0,1.0,9695.0,1008,55.0,214.0,5.0,695920.0,13574.0
Denmark,10667,76.0,533.0,6.0,8663.0,1471,37.0,1842.0,92.0,345712.0,59686.0
Egypt,10431,338.0,556.0,12.0,2486.0,7389,41.0,102.0,5.0,90000.0,879.0
Serbia,10295,52.0,222.0,2.0,3824.0,6249,22.0,1178.0,25.0,156603.0,17923.0
Panama,8783,167.0,252.0,3.0,6021.0,2510,87.0,2036.0,58.0,44561.0,10328.0
Czechia,8240,42.0,288.0,5.0,5043.0,2909,43.0,769.0,27.0,326954.0,30531.0
Norway,8168,11.0,229.0,1.0,32.0,7907,23.0,1507.0,42.0,208874.0,38529.0
Australia,6980,16.0,98.0,1.0,6271.0,611,17.0,274.0,4.0,909025.0,35648.0
Malaysia,6779,37.0,111.0,2.0,5281.0,1387,16.0,209.0,3.0,271721.0,8395.0
Argentina,6563,,321.0,2.0,2266.0,3976,170.0,145.0,7.0,90474.0,2002.0
Morocco,6512,94.0,188.0,,3131.0,3193,1.0,176.0,5.0,75870.0,2056.0
Algeria,6253,186.0,522.0,7.0,3058.0,2673,22.0,143.0,12.0,6500.0,148.0
Finland,6054,51.0,284.0,9.0,4300.0,1470,35.0,1093.0,51.0,133200.0,24040.0
Bahrain,5816,285.0,10.0,1.0,2195.0,3611,6.0,3418.0,6.0,205570.0,120812.0
Kazakhstan,5417,138.0,32.0,,2408.0,2977,31.0,288.0,2.0,439495.0,23406.0
Ghana,5408,281.0,24.0,2.0,514.0,4870,5.0,174.0,0.8,164452.0,5292.0
Moldova,5406,252.0,185.0,3.0,2176.0,3045,251.0,1340.0,46.0,20447.0,5069.0
Afghanistan,5226,263.0,132.0,5.0,648.0,4446,7.0,134.0,3.0,18724.0,481.0
Nigeria,4787,,158.0,,959.0,3670,7.0,23.0,0.8,28418.0,138.0
Oman,4019,298.0,17.0,,1289.0,2713,27.0,787.0,3.0,50000.0,9791.0
Luxembourg,3904,10.0,103.0,1.0,3629.0,172,22.0,6237.0,165.0,57687.0,92155.0
Armenia,3718,180.0,48.0,1.0,1500.0,2170,10.0,1255.0,16.0,34766.0,11732.0
Hungary,3341,28.0,430.0,5.0,1102.0,1809,45.0,346.0,45.0,118500.0,12267.0
Iraq,3032,119.0,115.0,3.0,1966.0,951,,75.0,3.0,136640.0,3397.0
Thailand,3017,,56.0,,2844.0,117,61.0,43.0,0.8,286008.0,4098.0
Bolivia,2964,133.0,128.0,6.0,313.0,2523,3.0,254.0,11.0,7651.0,655.0
Greece,2760,16.0,155.0,3.0,1374.0,1231,28.0,265.0,15.0,112042.0,10749.0
Azerbaijan,2758,65.0,35.0,2.0,1789.0,934,30.0,272.0,3.0,208546.0,20568.0
Cameroon,2689,,125.0,,1524.0,1040,28.0,101.0,5.0,,
Uzbekistan,2568,49.0,11.0,1.0,2040.0,517,8.0,77.0,0.3,325000.0,9710.0
Guinea,2374,76.0,14.0,3.0,856.0,1504,,181.0,1.0,,
Croatia,2213,6.0,94.0,3.0,1834.0,285,9.0,539.0,23.0,48737.0,11872.0
