"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
USA,139904,16326.0,2449.0,229.0,4435.0,133020,2948.0,423.0,7.0,Jan 20
Italy,97689,5217.0,10779.0,756.0,13030.0,73880,3906.0,1616.0,178.0,Jan 29
Spain,80031,6796.0,6802.0,820.0,14709.0,58520,4165.0,1712.0,145.0,Jan 30
Germany,62095,4400.0,525.0,92.0,9211.0,52359,1979.0,741.0,6.0,Jan 26
France,40174,2599.0,2606.0,292.0,7202.0,30366,4632.0,615.0,40.0,Jan 23
Iran,38309,2901.0,2640.0,123.0,12391.0,23278,3206.0,456.0,31.0,Feb 18
UK,19522,2433.0,1228.0,209.0,135.0,18159,163.0,288.0,18.0,Jan 30
Switzerland,14829,753.0,300.0,36.0,1595.0,12934,301.0,1713.0,35.0,Feb 24
Netherlands,10866,1104.0,771.0,132.0,250.0,9845,972.0,634.0,45.0,Feb 26
Belgium,10836,1702.0,431.0,78.0,1359.0,9046,867.0,935.0,37.0,Feb 03
S. Korea,9583,105.0,152.0,8.0,5033.0,4398,59.0,187.0,3.0,Jan 19
Turkey,9217,1815.0,131.0,23.0,105.0,8981,568.0,109.0,2.0,Mar 09
Austria,8774,503.0,86.0,18.0,479.0,8209,187.0,974.0,10.0,Feb 24
Canada,6280,625.0,63.0,3.0,508.0,5709,120.0,166.0,2.0,Jan 24
Portugal,5962,792.0,119.0,19.0,43.0,5800,89.0,585.0,12.0,Mar 01
Norway,4271,256.0,25.0,2.0,7.0,4239,91.0,788.0,5.0,Feb 25
Brazil,4256,352.0,136.0,22.0,6.0,4114,296.0,20.0,0.6,Feb 24
Israel,4247,628.0,15.0,3.0,132.0,4100,74.0,491.0,2.0,Feb 20
Australia,3980,345.0,16.0,2.0,226.0,3738,23.0,156.0,0.6,Jan 24
Sweden,3700,253.0,110.0,5.0,16.0,3574,255.0,366.0,11.0,Jan 30
Czechia,2775,144.0,16.0,5.0,11.0,2748,45.0,259.0,1.0,Feb 29
Ireland,2615,200.0,46.0,10.0,5.0,2564,59.0,530.0,9.0,Feb 28
Malaysia,2470,150.0,35.0,8.0,388.0,2047,73.0,76.0,1.0,Jan 24
Denmark,2395,194.0,72.0,7.0,1.0,2322,113.0,413.0,12.0,Feb 26
Chile,2139,230.0,7.0,1.0,75.0,2057,7.0,112.0,0.4,Mar 02
Luxembourg,1950,119.0,21.0,3.0,40.0,1889,25.0,3115.0,34.0,Feb 28
Ecuador,1890,67.0,57.0,9.0,3.0,1830,58.0,107.0,3.0,Feb 28
Japan,1866,173.0,54.0,2.0,424.0,1388,56.0,15.0,0.4,Jan 14
Poland,1862,224.0,22.0,4.0,7.0,1833,3.0,49.0,0.6,Mar 03
Romania,1815,363.0,43.0,6.0,206.0,1566,31.0,94.0,2.0,Feb 25
Pakistan,1597,102.0,14.0,2.0,29.0,1554,11.0,7.0,0.06,Feb 25
Russia,1534,270.0,8.0,4.0,64.0,1462,8.0,11.0,0.05,Jan 30
Philippines,1418,343.0,71.0,3.0,42.0,1305,1.0,13.0,0.6,Jan 29
Thailand,1388,143.0,7.0,1.0,97.0,1284,11.0,20.0,0.1,Jan 12
Saudi Arabia,1299,96.0,8.0,4.0,66.0,1225,12.0,37.0,0.2,Mar 01
Indonesia,1285,130.0,114.0,12.0,64.0,1107,,5.0,0.4,Mar 01
South Africa,1280,93.0,2.0,1.0,31.0,1247,7.0,22.0,0.03,Mar 04
Finland,1240,73.0,11.0,2.0,10.0,1219,32.0,224.0,2.0,Jan 28
Greece,1156,95.0,38.0,6.0,52.0,1066,66.0,111.0,4.0,Feb 25
India,1024,37.0,27.0,3.0,95.0,902,,0.7,0.02,Jan 29
Iceland,1020,57.0,2.0,,135.0,883,25.0,2989.0,6.0,Feb 27
Panama,901,,17.0,,4.0,880,32.0,209.0,4.0,Mar 09
Dominican Republic,859,140.0,39.0,11.0,3.0,817,,79.0,4.0,Feb 29
