"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,1356380,10376.0,75762.0,1108.0,290572.0,990046,47540.0,174.0,9.7,,
USA,367650,646.0,10943.0,72.0,19810.0,336897,8983.0,1111.0,33.0,1933423.0,5841.0
Spain,140510,3835.0,13798.0,457.0,43208.0,83504,7069.0,3005.0,295.0,355000.0,7593.0
Italy,132547,,16523.0,,22837.0,93187,3898.0,2192.0,273.0,721732.0,11937.0
Germany,103375,,1810.0,,36081.0,65484,4895.0,1234.0,22.0,918460.0,10962.0
France,98010,,8911.0,,17250.0,71849,7072.0,1502.0,137.0,224254.0,3436.0
Iran,60500,,3739.0,,24236.0,32525,4083.0,720.0,45.0,186000.0,2214.0
UK,51608,,5373.0,,135.0,46100,1559.0,760.0,79.0,252958.0,3726.0
Turkey,30217,,649.0,,1326.0,28242,1415.0,358.0,8.0,202845.0,2405.0
Belgium,22194,1380.0,2035.0,403.0,4157.0,16002,1260.0,1915.0,176.0,70000.0,6040.0
Switzerland,21855,198.0,784.0,19.0,8056.0,13015,391.0,2525.0,91.0,162500.0,18776.0
Netherlands,18803,,1867.0,,250.0,16686,1409.0,1097.0,109.0,86589.0,5053.0
Canada,16667,,323.0,,3616.0,12728,426.0,442.0,9.0,330901.0,8767.0
Austria,12399,102.0,243.0,23.0,4046.0,8110,243.0,1377.0,27.0,115235.0,12795.0
Brazil,12240,57.0,566.0,2.0,127.0,11547,296.0,58.0,3.0,54824.0,258.0
Portugal,11730,,311.0,,140.0,11279,270.0,1150.0,31.0,110000.0,10788.0
S. Korea,10331,47.0,192.0,6.0,6694.0,3445,55.0,202.0,4.0,461233.0,8996.0
Israel,9006,102.0,59.0,2.0,683.0,8264,153.0,1040.0,7.0,109724.0,12677.0
Russia,7497,1154.0,58.0,11.0,494.0,6945,8.0,51.0,0.4,795000.0,5448.0
Sweden,7206,,477.0,,205.0,6524,590.0,714.0,47.0,54700.0,5416.0
Australia,5908,13.0,46.0,1.0,2547.0,3315,93.0,232.0,2.0,310700.0,12184.0
Norway,5866,1.0,78.0,2.0,32.0,5756,83.0,1082.0,14.0,111299.0,20530.0
Ireland,5364,,174.0,,25.0,5165,165.0,1086.0,35.0,30213.0,6119.0
Denmark,4978,297.0,187.0,,1378.0,3413,144.0,859.0,32.0,52936.0,9139.0
India,4858,80.0,137.0,1.0,382.0,4339,,4.0,0.1,140293.0,102.0
Czechia,4828,6.0,80.0,2.0,127.0,4621,86.0,451.0,7.0,91247.0,8521.0
Chile,4815,,37.0,,728.0,4050,327.0,252.0,2.0,54864.0,2870.0
Poland,4532,119.0,111.0,4.0,191.0,4230,50.0,120.0,3.0,85467.0,2258.0
Romania,4057,,182.0,6.0,406.0,3469,179.0,211.0,9.0,40987.0,2131.0
