"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80967,39.0,3248.0,3.0,71150.0,6569,2136.0,56.0
Italy,41035,,3405.0,,4440.0,33190,2498.0,679.0
Spain,19980,1903.0,1002.0,171.0,1588.0,17390,939.0,427.0
Iran,19644,1237.0,1433.0,149.0,5979.0,12232,,234.0
Germany,17372,2052.0,44.0,,115.0,17213,2.0,207.0
USA,14366,577.0,217.0,10.0,125.0,14024,64.0,43.0
France,10995,,372.0,,1295.0,9328,1122.0,168.0
S. Korea,8652,87.0,94.0,3.0,2233.0,6325,59.0,169.0
Switzerland,4898,676.0,43.0,,15.0,4840,,566.0
UK,3269,,144.0,,65.0,3060,20.0,48.0
Netherlands,2460,,76.0,,2.0,2382,45.0,144.0
Belgium,2257,462.0,37.0,16.0,204.0,2016,164.0,195.0
Austria,2203,24.0,6.0,,9.0,2188,13.0,245.0
Norway,1835,45.0,7.0,,1.0,1827,27.0,338.0
Sweden,1456,17.0,11.0,,16.0,1429,21.0,144.0
Denmark,1226,75.0,9.0,3.0,1.0,1216,37.0,212.0
Malaysia,1030,130.0,2.0,,87.0,941,26.0,32.0
Portugal,1020,234.0,6.0,2.0,5.0,1009,26.0,100.0
Japan,963,20.0,33.0,,215.0,715,50.0,8.0
Australia,876,120.0,7.0,,46.0,823,2.0,34.0
Canada,873,,12.0,,11.0,850,1.0,23.0
Czechia,774,80.0,,,4.0,770,6.0,72.0
Diamond Princess,712,,7.0,,527.0,178,14.0,
Israel,705,28.0,,,15.0,690,10.0,81.0
Brazil,647,7.0,7.0,,2.0,638,18.0,3.0
Ireland,557,,3.0,,5.0,549,6.0,113.0
Luxembourg,484,149.0,4.0,,6.0,474,1.0,773.0
Pakistan,467,13.0,3.0,1.0,13.0,451,,2.0
Greece,464,,6.0,,19.0,439,16.0,45.0
Qatar,460,,,,10.0,450,6.0,160.0
Finland,430,30.0,,,10.0,420,2.0,78.0
Iceland,409,79.0,,,5.0,404,1.0,1199.0
Singapore,385,40.0,,,124.0,261,14.0,66.0
Poland,378,23.0,6.0,1.0,13.0,359,3.0,10.0
Indonesia,369,60.0,32.0,7.0,17.0,320,,1.0
Turkey,359,,4.0,,,355,,4.0
Chile,342,,,,,342,6.0,18.0
Thailand,322,50.0,1.0,,42.0,279,1.0,5.0
Slovenia,319,,1.0,,,318,6.0,153.0
Romania,308,31.0,,,31.0,277,11.0,16.0
Bahrain,284,5.0,1.0,,110.0,173,4.0,167.0
Estonia,283,16.0,,,1.0,282,1.0,213.0
Saudi Arabia,274,,,,8.0,266,,8.0
Ecuador,260,,4.0,1.0,1.0,255,2.0,15.0
Egypt,256,,7.0,,42.0,207,,3.0
