"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,81093,39.0,3270.0,9.0,72703.0,5120,1749.0,56.0
Italy,59138,,5476.0,,7024.0,46638,3000.0,978.0
USA,35056,1510.0,457.0,38.0,178.0,34421,795.0,106.0
Spain,28768,,1772.0,,2575.0,24421,1785.0,615.0
Germany,24873,,94.0,,266.0,24513,23.0,297.0
Iran,21638,,1685.0,,7913.0,12040,,258.0
France,16018,,674.0,,2200.0,13144,1746.0,245.0
S. Korea,8961,64.0,111.0,7.0,3166.0,5684,59.0,175.0
Switzerland,7474,,98.0,,131.0,7245,141.0,864.0
UK,5683,,281.0,,135.0,5267,20.0,84.0
Netherlands,4204,,179.0,,2.0,4023,354.0,245.0
Austria,3582,,16.0,,9.0,3557,15.0,398.0
Belgium,3401,,75.0,,340.0,2986,288.0,293.0
Norway,2385,,7.0,,6.0,2372,28.0,440.0
Sweden,1934,,21.0,,16.0,1897,76.0,191.0
Australia,1629,20.0,7.0,,88.0,1534,11.0,64.0
Portugal,1600,,14.0,,5.0,1581,26.0,157.0
Brazil,1546,,25.0,,2.0,1519,18.0,7.0
Canada,1470,,20.0,,14.0,1436,1.0,39.0
Denmark,1395,,13.0,,1.0,1381,42.0,241.0
Malaysia,1306,,10.0,,139.0,1157,26.0,40.0
Turkey,1236,,30.0,,,1206,,15.0
Czechia,1120,,1.0,,6.0,1113,19.0,105.0
Japan,1101,,41.0,,235.0,825,49.0,9.0
Israel,1071,,1.0,,37.0,1033,18.0,124.0
Ireland,906,,4.0,,5.0,897,29.0,183.0
Pakistan,799,23.0,6.0,1.0,13.0,780,,4.0
Luxembourg,798,,8.0,,6.0,784,3.0,1275.0
Ecuador,789,,14.0,,3.0,772,2.0,45.0
Thailand,721,122.0,1.0,,52.0,668,7.0,10.0
Diamond Princess,712,,8.0,,567.0,137,15.0,
Poland,634,,7.0,,13.0,614,3.0,17.0
Chile,632,,1.0,,8.0,623,7.0,33.0
Finland,626,,1.0,,10.0,615,12.0,113.0
Greece,624,,15.0,,19.0,590,18.0,60.0
Iceland,568,,1.0,,5.0,562,1.0,1665.0
Indonesia,514,,48.0,,29.0,437,,2.0
Saudi Arabia,511,,,,17.0,494,,15.0
Qatar,494,,,,33.0,461,6.0,171.0
Singapore,455,,2.0,,144.0,309,14.0,78.0
Romania,433,,3.0,,64.0,366,14.0,23.0
India,425,29.0,8.0,1.0,24.0,393,,0.3
Slovenia,414,,2.0,,,412,12.0,199.0
Philippines,396,16.0,33.0,8.0,18.0,345,1.0,4.0
Russia,367,,1.0,,16.0,350,,3.0
Peru,363,,5.0,,1.0,357,5.0,11.0
Bahrain,334,,2.0,,149.0,183,3.0,196.0
Egypt,327,,14.0,,56.0,257,,3.0
Estonia,326,,,,4.0,322,2.0,246.0
Hong Kong,318,,4.0,,100.0,214,4.0,42.0
Mexico,316,65.0,2.0,,4.0,310,1.0,2.0
Panama,313,,3.0,,1.0,309,7.0,73.0
South Africa,274,,,,2.0,272,,5.0
Argentina,266,,4.0,,27.0,235,,6.0
Croatia,254,,1.0,,5.0,248,5.0,62.0
Lebanon,248,,4.0,,8.0,236,4.0,36.0
Iraq,233,,20.0,,57.0,156,,6.0
Colombia,231,,2.0,,3.0,226,,5.0
Serbia,222,,2.0,,2.0,218,4.0,25.0
Dominican Republic,202,,3.0,,,199,,19.0
Algeria,201,,17.0,,65.0,119,,5.0
Armenia,194,,,,2.0,192,6.0,65.0
Kuwait,188,,,,30.0,158,5.0,44.0
Bulgaria,187,,3.0,,3.0,181,3.0,27.0
Slovakia,185,,,,7.0,178,2.0,34.0
San Marino,175,,20.0,,4.0,151,13.0,5158.0
Taiwan,169,,2.0,,28.0,139,,7.0
Uruguay,158,,,,,158,2.0,45.0
UAE,153,,2.0,,38.0,113,2.0,15.0
Lithuania,143,,1.0,,1.0,141,1.0,53.0
Latvia,139,,,,1.0,138,,74.0
Costa Rica,134,,2.0,,2.0,130,2.0,26.0
Hungary,131,,6.0,,16.0,109,6.0,14.0
Bosnia and Herzegovina,126,,1.0,,2.0,123,1.0,38.0
Vietnam,116,3.0,,,17.0,99,2.0,1.0
Morocco,115,,4.0,,3.0,108,1.0,3.0
North Macedonia,115,,1.0,,1.0,113,1.0,55.0
Faeroe Islands,115,,,,3.0,112,,2354.0
Andorra,113,,1.0,,1.0,111,2.0,1462.0
Jordan,112,,,,1.0,111,,11.0
New Zealand,102,,,,,102,,21.0
Cyprus,95,,1.0,,3.0,91,3.0,79.0
Moldova,94,,1.0,,1.0,92,3.0,23.0
Malta,90,,,,2.0,88,1.0,204.0
Albania,89,,2.0,,2.0,85,2.0,31.0
Brunei,88,,,,2.0,86,2.0,201.0
Sri Lanka,86,4.0,,,3.0,83,2.0,4.0
Cambodia,84,,,,2.0,82,,5.0
Venezuela,77,7.0,,,15.0,62,2.0,3.0
Belarus,76,,,,15.0,61,,8.0
Burkina Faso,75,,4.0,,5.0,66,,4.0
Tunisia,75,,3.0,,1.0,71,7.0,6.0
Ukraine,73,,3.0,,1.0,69,,2.0
Senegal,67,,,,5.0,62,,4.0
Azerbaijan,65,,1.0,,11.0,53,,6.0
Réunion,64,,,,1.0,63,,71.0
Kazakhstan,60,,,,,60,,3.0
Palestine,59,,,,17.0,42,,12.0
Guadeloupe,58,,1.0,,,57,4.0,145.0
Oman,55,,,,17.0,38,,11.0
Georgia,54,,,,1.0,53,1.0,14.0
Trinidad and Tobago,50,,,,,50,,36.0
Uzbekistan,46,3.0,,,,46,,1.0
Martinique,44,,1.0,,,43,7.0,117.0
Afghanistan,40,,1.0,,1.0,38,,1.0
Cameroon,40,,,,2.0,38,,2.0
Liechtenstein,37,,,,,37,,970.0
Cuba,35,,1.0,,,34,,3.0
Channel Islands,32,,,,,32,,184.0
DRC,30,,1.0,,,29,,0.3
Nigeria,30,,,,2.0,28,,0.1
Mauritius,28,,2.0,,,26,1.0,22.0
Bangladesh,27,,2.0,,3.0,22,,0.2
Guam,27,,1.0,,,26,,160.0
Honduras,26,,,,,26,,3.0
Bolivia,24,,,,,24,,2.0
Ghana,23,,1.0,,,22,,0.7
Puerto Rico,23,,1.0,,,22,,8.0
Monaco,23,,,,1.0,22,,586.0
Montenegro,22,1.0,1.0,1.0,,21,,35.0
Paraguay,22,,1.0,,,21,1.0,3.0
Macao,22,,,,10.0,12,,34.0
Guatemala,19,,1.0,,,18,,1.0
Guyana,19,,1.0,,,18,,24.0
Jamaica,19,,1.0,,2.0,16,,6.0
Rwanda,19,,,,,19,,1.0
French Guiana,18,,,,,18,,60.0
French Polynesia,18,,,,,18,,64.0
Togo,16,,,,,16,,2.0
Gibraltar,15,,,,2.0,13,,445.0
