"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
China,78832,335.0,2788.0,44.0,36225.0,7952.0,Asia
S. Korea,2022,256.0,13.0,,24.0,10.0,Asia
Diamond Princess,705,,4.0,,10.0,36.0,
Italy,655,,17.0,,45.0,56.0,Europe
Iran,245,,26.0,,54.0,,Asia
Japan,214,,5.0,1.0,32.0,13.0,Asia
Singapore,96,,,,66.0,8.0,Asia
Hong Kong,93,1.0,2.0,,18.0,6.0,Asia
USA,60,,,,6.0,,N.America
Germany,49,,,,16.0,2.0,Europe
Kuwait,43,,,,,,Asia
Thailand,40,,,,22.0,2.0,Asia
France,38,,2.0,,11.0,1.0,Europe
Taiwan,34,2.0,1.0,,5.0,1.0,Asia
Bahrain,33,,,,,,Asia
Spain,25,,,,2.0,2.0,Europe
Australia,24,1.0,,,15.0,,Oceania
Malaysia,22,,,,20.0,,Asia
U.A.E.,19,,,,5.0,2.0,Asia
U.K.,16,,,,8.0,,Europe
Vietnam,16,,,,16.0,,Asia
Canada,14,,,,3.0,,N.America
Macao,10,,,,6.0,,Asia
Switzerland,8,,,,,,Europe
Iraq,7,,,,,,Asia
Sweden,7,,,,,,Europe
Oman,6,,,,,,Asia
Austria,5,,,,,,Europe
Norway,4,,,,,,Europe
Philippines,3,,1.0,,2.0,,Asia
Croatia,3,,,,,,Europe
Greece,3,,,,,,Europe
India,3,,,,3.0,,Asia
Israel,3,,,,,,Asia
Lebanon,3,,,,,,Asia
Finland,2,,,,1.0,,Europe
Pakistan,2,,,,,,Asia
Russia,2,,,,2.0,,Europe
Afghanistan,1,,,,,,Asia
Algeria,1,,,,,,Africa
Belarus,1,1.0,,,,,Europe
Belgium,1,,,,1.0,,Europe
Brazil,1,,,,,,South America
Cambodia,1,,,,1.0,,Asia
Denmark,1,,,,,,Europe
Egypt,1,,,,1.0,,Africa
Estonia,1,,,,,,Europe
Georgia,1,,,,,,Asia
Lithuania,1,1.0,,,,,Europe
North Macedonia,1,,,,,,Europe
Nepal,1,,,,1.0,,Asia
Netherlands,1,,,,,,Europe
New Zealand,1,1.0,,,,,Oceania
Nigeria,1,1.0,,,,,Africa
Romania,1,,,,,,Europe
San Marino,1,,,,,,Europe
Sri Lanka,1,,,,1.0,,Asia
