"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
Cyprus,146,,3.0,,4.0,139,3.0,121.0,2.0
Faeroe Islands,140,,,,47.0,93,,2865.0,
Réunion,135,,,,1.0,134,,151.0,
Malta,134,,,,2.0,132,1.0,303.0,
Ghana,132,,4.0,,1.0,127,,4.0,0.1
Kazakhstan,124,11.0,1.0,,2.0,121,,7.0,0.05
Azerbaijan,122,,3.0,,15.0,104,6.0,12.0,0.3
Brunei,114,,,,5.0,109,1.0,261.0,
Oman,109,,,,23.0,86,,21.0,
Venezuela,107,,1.0,,15.0,91,2.0,4.0,0.04
Sri Lanka,106,,,,7.0,99,3.0,5.0,
Senegal,105,,,,9.0,96,,6.0,
Cambodia,98,,,,11.0,87,1.0,6.0,
Ivory Coast,96,,,,3.0,93,,4.0,
Afghanistan,94,,4.0,,2.0,88,,2.0,0.1
Cameroon,88,13.0,1.0,,2.0,85,,3.0,0.04
Palestine,86,,1.0,,17.0,68,,17.0,0.2
Belarus,86,,,,29.0,57,2.0,9.0,
Uzbekistan,83,8.0,1.0,1.0,5.0,77,8.0,2.0,0.03
Mauritius,81,,2.0,,,79,1.0,64.0,2.0
Martinique,81,,1.0,,,80,12.0,216.0,3.0
Georgia,81,2.0,,,13.0,68,1.0,20.0,
Guadeloupe,73,,1.0,,,72,4.0,182.0,2.0
Montenegro,69,,1.0,,,68,1.0,110.0,2.0
Cuba,67,,2.0,,1.0,64,2.0,6.0,0.2
Honduras,67,,1.0,,,66,,7.0,0.1
Channel Islands,66,,1.0,,,65,,380.0,6.0
Nigeria,65,,1.0,,3.0,61,,0.3,0.0
Trinidad and Tobago,65,,1.0,,,64,,46.0,0.7
Bolivia,61,,,,,61,,5.0,
Liechtenstein,56,,,,,56,,1469.0,
Paraguay,52,11.0,3.0,,1.0,48,1.0,7.0,0.4
DRC,51,,3.0,,2.0,46,,0.6,0.03
Rwanda,50,,,,,50,,4.0,
Bangladesh,48,4.0,5.0,,11.0,32,1.0,0.3,0.03
Kyrgyzstan,44,,,,,44,,7.0,
Mayotte,36,,,,,36,,132.0,
Gibraltar,35,,,,13.0,22,,1039.0,
Macao,33,,,,10.0,23,,51.0,
Monaco,33,,,,1.0,32,,841.0,
Kenya,31,,1.0,,1.0,29,,0.6,0.02
French Polynesia,30,,,,,30,,107.0,
Aruba,28,,,,1.0,27,,262.0,
French Guiana,28,,,,6.0,22,,94.0,
Jamaica,26,,1.0,,2.0,23,,9.0,0.3
Isle of Man,26,,,,,26,,306.0,
Guatemala,25,,1.0,,4.0,20,,1.0,0.06
Barbados,24,,,,,24,,84.0,
Togo,24,,,,1.0,23,,3.0,
Madagascar,23,,,,,23,,0.8,
Zambia,16,,,,,16,,0.9,
Bermuda,15,,,,2.0,13,,241.0,
New Caledonia,14,,,,,14,,49.0,
Uganda,14,,,,,14,,0.3,
El Salvador,13,,,,,13,,2.0,
Maldives,13,,,,8.0,5,,24.0,
Tanzania,13,,,,,13,,0.2,
Equatorial Guinea,12,,,,,12,,9.0,
Ethiopia,12,,,,,12,,0.1,
Djibouti,11,,,,,11,,11.0,
Dominica,11,,,,,11,,153.0,
Mongolia,11,,,,,11,,3.0,
Saint Martin,11,,,,,11,,284.0,
Niger,10,,1.0,,,9,,0.4,0.04
Bahamas,9,,,,1.0,8,,23.0,
Cayman Islands,8,,1.0,,,7,,122.0,15.0
Haiti,8,,,,,8,,0.7,
Namibia,8,,,,2.0,6,,3.0,
Suriname,8,,,,,8,,14.0,
Curaçao,7,,1.0,,2.0,4,,43.0,6.0
Gabon,7,,1.0,,,6,,3.0,0.4
Antigua and Barbuda,7,,,,,7,,71.0,
Grenada,7,,,,,7,,62.0,
Mozambique,7,,,,,7,,0.2,
Seychelles,7,,,,,7,,71.0,
Benin,6,,,,,6,,0.5,
Eritrea,6,,,,,6,,2.0,
Greenland,6,,,,2.0,4,,106.0,
Laos,6,,,,,6,,0.8,
Eswatini,6,,,,,6,,5.0,
Cabo Verde,5,,1.0,,,4,,9.0,2.0
Guyana,5,,1.0,,,4,,6.0,1.0
Fiji,5,,,,,5,,6.0,
Montserrat,5,,,,,5,,1002.0,
Myanmar,5,,,,,5,,0.09,
Syria,5,,,,,5,,0.3,
Angola,4,,,,,4,,0.1,
Congo,4,,,,,4,,0.7,
Guinea,4,,,,,4,,0.3,
Vatican City,4,,,,,4,,4994.0,
Mali,4,,,,,4,,0.2,
Gambia,3,,1.0,,,2,,1.0,0.4
Sudan,3,,1.0,,,2,,0.07,0.02
Zimbabwe,3,,1.0,,,2,,0.2,0.07
Nepal,3,,,,1.0,2,,0.1,
Bhutan,3,1.0,,,,3,,4.0,
CAR,3,,,,,3,,0.6,
Chad,3,,,,,3,,0.2,
Liberia,3,,,,,3,,0.6,
Mauritania,3,,,,,3,,0.6,
St. Barth,3,,,,,3,,304.0,
Saint Lucia,3,,,,1.0,2,,16.0,
Sint Maarten,3,,,,,3,,70.0,
Nicaragua,2,,1.0,1.0,,1,,0.3,0.2
Anguilla,2,,,,,2,,133.0,
Belize,2,,,,,2,,5.0,
British Virgin Islands,2,,,,,2,,66.0,
Guinea-Bissau,2,,,,,2,,1.0,
Saint Kitts and Nevis,2,,,,,2,,38.0,
Somalia,2,,,,,2,,0.1,
Turks and Caicos,2,,,,,2,,52.0,
Libya,1,,,,,1,,0.1,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,,1,,9.0,
Timor-Leste,1,,,,,1,,0.8,
Total:,533015,1205.0,24095.0,27.0,124387.0,384533,19656.0,68.4,3.1
