"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80894,13.0,3237.0,11.0,69614.0,8043,2622.0,56.0
Italy,31506,,2503.0,,2941.0,26062,2060.0,521.0
Iran,16169,,988.0,,5389.0,9792,,193.0
Spain,11826,,533.0,,1028.0,10265,563.0,253.0
Germany,9877,510.0,26.0,,71.0,9780,2.0,118.0
S. Korea,8413,93.0,84.0,3.0,1540.0,6789,59.0,164.0
France,7730,,175.0,,602.0,6953,699.0,118.0
USA,6524,113.0,116.0,7.0,106.0,6302,12.0,20.0
Switzerland,2742,,27.0,,15.0,2700,,317.0
UK,1950,,71.0,,65.0,1814,20.0,29.0
Netherlands,1705,,43.0,,2.0,1660,45.0,100.0
Norway,1487,16.0,4.0,1.0,1.0,1482,27.0,274.0
Belgium,1486,243.0,10.0,,14.0,1462,33.0,128.0
Austria,1471,139.0,4.0,,9.0,1458,12.0,163.0
Sweden,1196,,8.0,,1.0,1187,12.0,118.0
Denmark,1044,67.0,4.0,,1.0,1039,18.0,180.0
Japan,882,4.0,29.0,,144.0,709,41.0,7.0
Malaysia,790,117.0,2.0,,60.0,728,15.0,24.0
Diamond Princess,712,,7.0,,456.0,249,14.0,
Canada,598,,8.0,,12.0,578,1.0,16.0
Australia,565,110.0,6.0,1.0,43.0,516,1.0,22.0
Czechia,464,30.0,,,3.0,461,3.0,43.0
Portugal,448,,1.0,,3.0,444,18.0,44.0
Qatar,442,,,,4.0,438,,153.0
Israel,427,90.0,,,11.0,416,5.0,49.0
Greece,387,,5.0,,14.0,368,11.0,37.0
Brazil,349,3.0,2.0,1.0,2.0,345,18.0,2.0
Finland,333,11.0,,,10.0,323,2.0,60.0
Ireland,292,,2.0,,5.0,285,6.0,59.0
Slovenia,275,,1.0,,,274,4.0,132.0
Singapore,266,,,,114.0,152,14.0,45.0
Estonia,258,33.0,,,1.0,257,1.0,194.0
Pakistan,254,7.0,,,2.0,252,,1.0
Iceland,247,,,,5.0,242,1.0,724.0
Poland,246,8.0,5.0,,1.0,240,3.0,6.0
