#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
12.0,Peru,141779,,4099.0,,59442.0,,78238.0,926.0,4306.0,124.0,928797.0,28207.0,32928451.0,South America,232.0,8033.0,35.0
13.0,Canada,88512,,6877.0,,46840.0,,34795.0,1613.0,2347.0,182.0,1585235.0,42036.0,37711800.0,North America,426.0,5484.0,24.0
14.0,Chile,86943,,890.0,,36150.0,,49903.0,1289.0,4552.0,47.0,530173.0,27756.0,19101165.0,South America,220.0,21462.0,36.0
15.0,Mexico,81400,3377.0,9044.0,447.0,56638.0,2255.0,15718.0,378.0,632.0,70.0,244858.0,1901.0,128807241.0,North America,1582.0,14242.0,526.0
16.0,Saudi Arabia,80185,,441.0,,54553.0,,25191.0,384.0,2307.0,13.0,770696.0,22171.0,34762153.0,Asia,434.0,78826.0,45.0
17.0,Pakistan,64028,2801.0,1317.0,57.0,22305.0,2074.0,40406.0,111.0,290.0,6.0,520017.0,2359.0,220474171.0,Asia,3443.0,167406.0,424.0
18.0,Belgium,57849,,9388.0,,15572.0,,32889.0,208.0,4993.0,810.0,818807.0,70678.0,11585114.0,Europe,200.0,1234.0,14.0
19.0,Qatar,50914,,33.0,,15399.0,,35482.0,214.0,17701.0,11.0,207033.0,71977.0,2876377.0,Asia,56.0,87163.0,14.0
20.0,Netherlands,45950,,5903.0,,,,,182.0,2682.0,345.0,342681.0,20003.0,17131525.0,Europe,373.0,2902.0,50.0
21.0,Bangladesh,40321,,559.0,,8425.0,,31337.0,1.0,245.0,3.0,275776.0,1676.0,164537836.0,Asia,4081.0,294343.0,597.0
22.0,Belarus,39858,,219.0,,16660.0,,22979.0,92.0,4218.0,23.0,499249.0,52833.0,9449593.0,Europe,237.0,43149.0,19.0
23.0,Ecuador,38471,,3313.0,,18425.0,,16733.0,220.0,2184.0,188.0,110812.0,6290.0,17617555.0,South America,458.0,5318.0,159.0
24.0,Sweden,35727,,4266.0,,4971.0,,26490.0,280.0,3540.0,423.0,238800.0,23659.0,10093573.0,Europe,283.0,2366.0,42.0
25.0,Singapore,33860,611.0,23.0,,18294.0,,15543.0,7.0,5792.0,4.0,334691.0,57250.0,5846144.0,Asia,173.0,254180.0,17.0
26.0,UAE,32532,,258.0,,16685.0,,15589.0,1.0,3293.0,26.0,2110493.0,213629.0,9879229.0,Asia,304.0,38292.0,5.0
27.0,Portugal,31596,,1369.0,,18637.0,,11590.0,65.0,3098.0,134.0,778698.0,76349.0,10199255.0,Europe,323.0,7450.0,13.0
28.0,Switzerland,30796,,1919.0,,28300.0,,577.0,36.0,3561.0,222.0,385822.0,44610.0,8648865.0,Europe,281.0,4507.0,22.0
29.0,South Africa,27403,,577.0,,14370.0,,12456.0,128.0,463.0,10.0,655723.0,11069.0,59238562.0,Africa,2162.0,102666.0,90.0
30.0,Colombia,25366,,822.0,,6665.0,,17879.0,136.0,499.0,16.0,283346.0,5574.0,50832596.0,South America,2004.0,61840.0,179.0
31.0,Ireland,24841,,1639.0,,22089.0,,1113.0,47.0,5036.0,332.0,325795.0,66049.0,4932656.0,Europe,199.0,3010.0,15.0
32.0,Indonesia,24538,,1496.0,,6240.0,,16802.0,,90.0,5.0,289906.0,1061.0,273255522.0,Asia,11136.0,182657.0,943.0
33.0,Kuwait,24112,,185.0,,8698.0,,15229.0,197.0,5654.0,43.0,282341.0,66206.0,4264573.0,Asia,177.0,23052.0,15.0
34.0,Poland,22825,,1038.0,,10692.0,132.0,11095.0,160.0,603.0,27.0,846732.0,22371.0,37850199.0,Europe,1658.0,36465.0,45.0
35.0,Ukraine,22811,429.0,679.0,10.0,8934.0,495.0,13198.0,267.0,521.0,16.0,337318.0,7709.0,43755845.0,Europe,1918.0,64442.0,130.0
36.0,Egypt,20793,,845.0,,5359.0,,14589.0,41.0,204.0,8.0,135000.0,1322.0,102146819.0,Africa,4913.0,120884.0,757.0
37.0,Romania,18791,,1238.0,3.0,12629.0,,4924.0,182.0,976.0,64.0,410000.0,21300.0,19248434.0,Europe,1024.0,15548.0,47.0
38.0,Israel,16887,15.0,284.0,,14727.0,48.0,1876.0,37.0,1836.0,31.0,565311.0,61463.0,9197590.0,Asia,545.0,32386.0,16.0
39.0,Japan,16683,,867.0,,14147.0,,1669.0,136.0,132.0,7.0,281293.0,2223.0,126509583.0,Asia,7583.0,145916.0,450.0
40.0,Austria,16628,,668.0,,15286.0,,674.0,30.0,1847.0,74.0,427372.0,47476.0,9001768.0,Europe,541.0,13476.0,21.0
41.0,Dominican Republic,16068,,485.0,,8952.0,,6631.0,123.0,1483.0,45.0,74612.0,6884.0,10837859.0,North America,674.0,22346.0,145.0
42.0,Philippines,15588,,921.0,,3598.0,,11069.0,81.0,142.0,8.0,323819.0,2959.0,109443743.0,Asia,7021.0,118831.0,338.0
43.0,Argentina,14702,,508.0,,4617.0,,9577.0,171.0,326.0,11.0,145081.0,3213.0,45157642.0,South America,3072.0,88893.0,311.0
44.0,Afghanistan,13659,623.0,246.0,11.0,1259.0,50.0,12154.0,19.0,352.0,6.0,35923.0,925.0,38841361.0,Asia,2844.0,157892.0,1081.0
45.0,Panama,12131,,320.0,,7379.0,,4432.0,72.0,2816.0,74.0,63202.0,14670.0,4308282.0,North America,355.0,13463.0,68.0
46.0,Denmark,11512,,568.0,,10180.0,,764.0,20.0,1988.0,98.0,583052.0,100693.0,5790388.0,Europe,503.0,10194.0,10.0
47.0,S. Korea,11402,58.0,269.0,,10363.0,23.0,770.0,15.0,222.0,5.0,885120.0,17265.0,51265321.0,Asia,4496.0,190577.0,58.0
48.0,Serbia,11300,,241.0,,6438.0,,4621.0,9.0,1293.0,28.0,234019.0,26775.0,8740364.0,Europe,773.0,36267.0,37.0
49.0,Bahrain,10052,,15.0,,5419.0,,4618.0,9.0,5929.0,9.0,297873.0,175706.0,1695292.0,Asia,169.0,113019.0,6.0
50.0,Kazakhstan,9932,356.0,37.0,,4900.0,,4995.0,62.0,530.0,2.0,761727.0,40613.0,18755722.0,Asia,1888.0,506911.0,25.0
51.0,Czechia,9143,3.0,319.0,,6464.0,4.0,2360.0,19.0,854.0,30.0,430564.0,40212.0,10707231.0,Europe,1171.0,33565.0,25.0
52.0,Oman,9009,,40.0,,2177.0,,6792.0,31.0,1769.0,8.0,72000.0,14136.0,5093528.0,Asia,565.0,127338.0,71.0
53.0,Algeria,8997,,630.0,,5277.0,,3090.0,32.0,206.0,14.0,,,43774437.0,Africa,4865.0,69483.0,
54.0,Nigeria,8915,,259.0,,2592.0,,6064.0,7.0,43.0,1.0,49966.0,243.0,205626178.0,Africa,23065.0,793923.0,4115.0
55.0,Armenia,8676,460.0,120.0,7.0,3297.0,10.0,5259.0,10.0,2928.0,41.0,56042.0,18916.0,2962755.0,Asia,341.0,24690.0,53.0
56.0,Norway,8411,,236.0,,7727.0,,448.0,10.0,1553.0,44.0,239864.0,44277.0,5417374.0,Europe,644.0,22955.0,23.0
57.0,Bolivia,8387,619.0,293.0,13.0,738.0,49.0,7356.0,3.0,719.0,25.0,22294.0,1912.0,11657999.0,South America,1390.0,39788.0,523.0
58.0,Moldova,7725,,282.0,,4123.0,,3320.0,256.0,1915.0,70.0,40565.0,10054.0,4034769.0,Europe,522.0,14308.0,99.0
59.0,Morocco,7643,,202.0,,5195.0,,2246.0,1.0,207.0,5.0,180189.0,4887.0,36869708.0,Africa,4824.0,182523.0,205.0
60.0,Malaysia,7629,,115.0,,6169.0,,1345.0,8.0,236.0,4.0,519944.0,16084.0,32327063.0,Asia,4237.0,281105.0,62.0
61.0,Ghana,7303,,34.0,,2412.0,,4857.0,16.0,236.0,1.0,205890.0,6640.0,31009181.0,Africa,4246.0,912035.0,151.0
62.0,Australia,7165,15.0,103.0,,6580.0,,482.0,5.0,281.0,4.0,1390924.0,54605.0,25472297.0,Australia/Oceania,3555.0,247304.0,18.0
63.0,Finland,6743,,313.0,,5500.0,,930.0,11.0,1217.0,56.0,176650.0,31886.0,5539963.0,Europe,822.0,17700.0,31.0
64.0,Iraq,5457,,179.0,,2971.0,,2307.0,41.0,136.0,4.0,211485.0,5270.0,40132981.0,Asia,7354.0,224207.0,190.0
65.0,Cameroon,5436,,175.0,,1996.0,,3265.0,28.0,205.0,7.0,,,26479422.0,Africa,4871.0,151311.0,
66.0,Azerbaijan,4759,,56.0,,3022.0,,1681.0,42.0,470.0,6.0,284669.0,28099.0,10130782.0,Asia,2129.0,180907.0,36.0
67.0,Honduras,4752,112.0,196.0,2.0,519.0,13.0,4037.0,13.0,481.0,20.0,14790.0,1496.0,9889552.0,North America,2081.0,50457.0,669.0
68.0,Guatemala,4348,203.0,80.0,12.0,565.0,72.0,3703.0,5.0,243.0,4.0,31427.0,1757.0,17883425.0,North America,4113.0,223543.0,569.0
69.0,Sudan,4346,,195.0,,749.0,,3402.0,,99.0,4.0,401.0,9.0,43747206.0,Africa,10066.0,224345.0,109095.0
70.0,Luxembourg,4008,,110.0,,3803.0,,95.0,4.0,6413.0,176.0,71098.0,113756.0,625003.0,Europe,156.0,5682.0,9.0
71.0,Hungary,3841,25.0,517.0,8.0,2024.0,28.0,1300.0,24.0,398.0,54.0,180152.0,18645.0,9662456.0,Europe,2516.0,18689.0,54.0
72.0,Tajikistan,3563,,47.0,,1674.0,,1842.0,,374.0,5.0,,,9516398.0,Asia,2671.0,202477.0,
73.0,Guinea,3553,,22.0,,1950.0,,1581.0,24.0,271.0,2.0,14407.0,1100.0,13096527.0,Africa,3686.0,595297.0,909.0
74.0,Uzbekistan,3463,19.0,14.0,,2694.0,,755.0,7.0,104.0,0.4,460000.0,13763.0,33423219.0,Asia,9652.0,2387373.0,73.0
75.0,Senegal,3348,,39.0,,1686.0,,1623.0,18.0,200.0,2.0,38508.0,2306.0,16699197.0,Africa,4988.0,428185.0,434.0
76.0,Thailand,3076,11.0,57.0,,2945.0,,74.0,59.0,44.0,0.8,375453.0,5380.0,69784490.0,Asia,22687.0,1224289.0,186.0
77.0,Djibouti,2914,,20.0,,1241.0,,1653.0,,2953.0,20.0,25257.0,25599.0,986638.0,Africa,339.0,49332.0,39.0
78.0,Greece,2906,,175.0,,1374.0,,1357.0,16.0,279.0,17.0,170467.0,16348.0,10427362.0,Europe,3588.0,59585.0,61.0
79.0,DRC,2833,173.0,69.0,,400.0,19.0,2364.0,,32.0,0.8,,,89279074.0,Africa,31514.0,1293900.0,
80.0,Ivory Coast,2641,,32.0,,1326.0,,1283.0,,100.0,1.0,26021.0,989.0,26312643.0,Africa,9963.0,822270.0,1011.0
81.0,Bulgaria,2485,8.0,136.0,2.0,1016.0,51.0,1333.0,22.0,357.0,20.0,79389.0,11418.0,6952801.0,Europe,2798.0,51124.0,88.0
82.0,Bosnia and Herzegovina,2462,,153.0,,1781.0,,528.0,4.0,750.0,47.0,62567.0,19061.0,3282532.0,Europe,1333.0,21454.0,52.0
83.0,Gabon,2431,,14.0,,668.0,,1749.0,15.0,1095.0,6.0,12669.0,5705.0,2220492.0,Africa,913.0,158607.0,175.0
84.0,El Salvador,2278,84.0,42.0,3.0,1015.0,13.0,1221.0,30.0,351.0,6.0,84650.0,13057.0,6483267.0,North America,2846.0,154364.0,77.0
85.0,Croatia,2245,,102.0,,2051.0,,92.0,5.0,547.0,25.0,65094.0,15848.0,4107393.0,Europe,1830.0,40269.0,63.0
86.0,North Macedonia,2077,,121.0,,1486.0,,470.0,21.0,997.0,58.0,27023.0,12971.0,2083381.0,Europe,1003.0,17218.0,77.0
87.0,Cuba,1983,,82.0,,1734.0,,167.0,2.0,175.0,7.0,99745.0,8806.0,11327216.0,North America,5712.0,138137.0,114.0
88.0,Estonia,1859,8.0,67.0,1.0,1610.0,36.0,182.0,,1401.0,51.0,80724.0,60857.0,1326457.0,Europe,714.0,19798.0,16.0
89.0,Somalia,1828,,72.0,,310.0,,1446.0,2.0,115.0,5.0,,,15847882.0,Africa,8670.0,220109.0,
90.0,Iceland,1805,,10.0,,1792.0,,3.0,,5293.0,29.0,60141.0,176344.0,341043.0,Europe,189.0,34104.0,6.0
91.0,Mayotte,1670,,21.0,,1315.0,,334.0,10.0,6136.0,77.0,5200.0,19107.0,272156.0,Africa,163.0,12960.0,52.0
92.0,Lithuania,1656,,68.0,,1193.0,,395.0,17.0,608.0,25.0,287982.0,105669.0,2725331.0,Europe,1646.0,40078.0,9.0
93.0,Kenya,1618,,58.0,,421.0,,1139.0,7.0,30.0,1.0,70172.0,1308.0,53654106.0,Africa,33161.0,925071.0,765.0
94.0,Kyrgyzstan,1594,,16.0,,1066.0,,512.0,4.0,245.0,2.0,109521.0,16813.0,6513873.0,Asia,4086.0,407117.0,59.0
95.0,Sri Lanka,1530,,10.0,,745.0,,775.0,1.0,71.0,0.5,60878.0,2844.0,21405231.0,Asia,13990.0,2140523.0,352.0
96.0,Slovakia,1520,,28.0,,1338.0,6.0,154.0,,278.0,5.0,167562.0,30692.0,5459411.0,Europe,3592.0,194979.0,33.0
97.0,Maldives,1513,,5.0,,197.0,,1311.0,9.0,2804.0,9.0,11775.0,21821.0,539625.0,Asia,357.0,107925.0,46.0
98.0,New Zealand,1504,,22.0,,1481.0,7.0,1.0,,301.0,4.0,275852.0,55147.0,5002100.0,Australia/Oceania,3326.0,227368.0,18.0
99.0,Slovenia,1473,,108.0,,1356.0,,9.0,2.0,709.0,52.0,78578.0,37798.0,2078913.0,Europe,1411.0,19249.0,26.0
100.0,Haiti,1443,123.0,35.0,1.0,22.0,,1386.0,,127.0,3.0,3475.0,305.0,11389523.0,North America,7893.0,325415.0,3278.0
101.0,Venezuela,1325,,11.0,,302.0,,1012.0,4.0,47.0,0.4,897695.0,31561.0,28442842.0,South America,21466.0,2585713.0,32.0
102.0,Guinea-Bissau,1195,,8.0,,42.0,,1145.0,,609.0,4.0,1500.0,764.0,1963357.0,Africa,1643.0,245420.0,1309.0
103.0,Mali,1194,,72.0,,652.0,,470.0,,59.0,4.0,3483.0,173.0,20190889.0,Africa,16910.0,280429.0,5797.0
104.0,Lebanon,1168,,26.0,,699.0,,443.0,7.0,171.0,4.0,78947.0,11562.0,6828038.0,Asia,5846.0,262617.0,86.0
105.0,Albania,1076,,33.0,,823.0,,220.0,3.0,374.0,11.0,13993.0,4862.0,2878069.0,Europe,2675.0,87214.0,206.0
106.0,Tunisia,1068,,48.0,,938.0,,82.0,2.0,90.0,4.0,49951.0,4231.0,11807164.0,Africa,11055.0,245983.0,236.0
107.0,Hong Kong,1067,,4.0,,1035.0,,28.0,1.0,142.0,0.5,202930.0,27088.0,7491423.0,Asia,7021.0,1872856.0,37.0
108.0,Latvia,1064,3.0,24.0,,745.0,4.0,295.0,3.0,564.0,13.0,106931.0,56640.0,1887898.0,Europe,1774.0,78662.0,18.0
109.0,Zambia,1057,,7.0,,779.0,,271.0,1.0,58.0,0.4,24275.0,1324.0,18331278.0,Africa,17343.0,2618754.0,755.0
110.0,Equatorial Guinea,1043,,12.0,,165.0,,866.0,,746.0,9.0,854.0,611.0,1398140.0,Africa,1340.0,116512.0,1637.0
111.0,Nepal,1042,,5.0,,187.0,,850.0,,36.0,0.2,162730.0,5595.0,29086128.0,Asia,27914.0,5817226.0,179.0
112.0,Costa Rica,1000,,10.0,,646.0,,344.0,2.0,196.0,2.0,24897.0,4892.0,5089842.0,North America,5090.0,508984.0,204.0
113.0,South Sudan,994,,10.0,,6.0,,978.0,,89.0,0.9,3356.0,300.0,11181480.0,Africa,11249.0,1118148.0,3332.0
114.0,Niger,955,,64.0,,803.0,,88.0,,40.0,3.0,6020.0,250.0,24112822.0,Africa,25249.0,376763.0,4005.0
115.0,Cyprus,941,,17.0,,784.0,,140.0,4.0,780.0,14.0,111270.0,92221.0,1206560.0,Asia,1282.0,70974.0,11.0
116.0,Paraguay,900,,11.0,,402.0,,487.0,1.0,126.0,2.0,27425.0,3849.0,7124337.0,South America,7916.0,647667.0,260.0
117.0,Burkina Faso,847,,53.0,,719.0,,75.0,,41.0,3.0,,,20844819.0,Africa,24610.0,393298.0,
118.0,Ethiopia,831,,7.0,,191.0,,633.0,1.0,7.0,0.06,96566.0,842.0,114677457.0,Africa,137999.0,16382494.0,1188.0
119.0,Sierra Leone,812,,45.0,,361.0,,406.0,,102.0,6.0,,,7961085.0,Africa,9804.0,176913.0,
120.0,Uruguay,811,,22.0,,654.0,,135.0,5.0,234.0,6.0,41469.0,11942.0,3472659.0,South America,4282.0,157848.0,84.0
121.0,Andorra,763,,51.0,,681.0,,31.0,3.0,9877.0,660.0,3750.0,48541.0,77254.0,Europe,101.0,1515.0,21.0
122.0,Nicaragua,759,,35.0,,370.0,,354.0,,115.0,5.0,,,6617193.0,North America,8718.0,189063.0,
123.0,CAR,755,,1.0,,23.0,,731.0,,157.0,0.2,11570.0,2400.0,4821674.0,Africa,6386.0,4821674.0,417.0
124.0,Georgia,746,8.0,12.0,,576.0,3.0,158.0,6.0,187.0,3.0,52117.0,13062.0,3989827.0,Asia,5348.0,332486.0,77.0
125.0,Jordan,728,,9.0,,497.0,,222.0,5.0,71.0,0.9,177092.0,17373.0,10193780.0,Asia,14002.0,1132642.0,58.0
126.0,Chad,726,,65.0,,413.0,,248.0,,44.0,4.0,,,16377454.0,Africa,22558.0,251961.0,
127.0,Diamond Princess,712,,13.0,,651.0,,48.0,4.0,,,,,,,,,
128.0,San Marino,670,,42.0,,322.0,,306.0,1.0,19749.0,1238.0,4303.0,126839.0,33925.0,Europe,51.0,808.0,8.0
129.0,Madagascar,656,,2.0,,154.0,,500.0,10.0,24.0,0.07,9848.0,357.0,27619112.0,Africa,42102.0,13809556.0,2805.0
130.0,Malta,616,,7.0,,501.0,,108.0,1.0,1395.0,16.0,65471.0,148313.0,441439.0,Europe,717.0,63063.0,7.0
131.0,Congo,571,,19.0,,161.0,,391.0,,104.0,3.0,,,5504452.0,Africa,9640.0,289708.0,
132.0,Jamaica,569,,9.0,,284.0,5.0,276.0,2.0,192.0,3.0,11460.0,3872.0,2960012.0,North America,5202.0,328890.0,258.0
133.0,Channel Islands,560,,45.0,,512.0,,3.0,,3224.0,259.0,10255.0,59033.0,173716.0,Europe,310.0,3860.0,17.0
134.0,Tanzania,509,,21.0,,183.0,,305.0,7.0,9.0,0.4,,,59559672.0,Africa,117013.0,2836175.0,
135.0,Réunion,465,,1.0,,411.0,,53.0,1.0,520.0,1.0,17200.0,19224.0,894731.0,Africa,1924.0,894731.0,52.0
136.0,Sao Tome and Principe,458,,12.0,,68.0,,378.0,,2094.0,55.0,175.0,800.0,218764.0,Africa,478.0,18230.0,1250.0
137.0,Palestine,446,,3.0,,368.0,,75.0,,88.0,0.6,44876.0,8817.0,5089600.0,Asia,11412.0,1696533.0,113.0
138.0,Taiwan,442,1.0,7.0,,420.0,,15.0,,19.0,0.3,71750.0,3013.0,23812979.0,Asia,53876.0,3401854.0,332.0
139.0,French Guiana,436,,1.0,,161.0,,274.0,2.0,1464.0,3.0,,,297899.0,South America,683.0,297899.0,
140.0,Togo,422,,13.0,,197.0,,212.0,,51.0,2.0,18696.0,2264.0,8259373.0,Africa,19572.0,635336.0,442.0
141.0,Cabo Verde,390,,4.0,,155.0,,231.0,,702.0,7.0,1307.0,2353.0,555426.0,Africa,1424.0,138857.0,425.0
142.0,Rwanda,349,,,,245.0,,104.0,,27.0,,64268.0,4974.0,12919954.0,Africa,37020.0,,201.0
143.0,Mauritania,346,,19.0,,15.0,,312.0,,75.0,4.0,2583.0,557.0,4637273.0,Africa,13403.0,244067.0,1795.0
144.0,Isle of Man,336,,24.0,,306.0,,6.0,2.0,3953.0,282.0,4732.0,55675.0,84993.0,Europe,253.0,3541.0,18.0
145.0,Mauritius,334,,10.0,,322.0,,2.0,,263.0,8.0,111358.0,87574.0,1271582.0,Africa,3807.0,127158.0,11.0
146.0,Vietnam,327,,,,278.0,,49.0,1.0,3.0,,275000.0,2828.0,97258136.0,Asia,297425.0,,354.0
147.0,Montenegro,324,,9.0,,315.0,,0.0,,516.0,14.0,10167.0,16188.0,628059.0,Europe,1938.0,69784.0,62.0
148.0,Uganda,317,,,,69.0,,248.0,,7.0,,90832.0,1992.0,45590239.0,Africa,143818.0,,502.0
149.0,Eswatini,279,,2.0,,168.0,,109.0,,241.0,2.0,4994.0,4309.0,1159052.0,Africa,4154.0,579526.0,232.0
150.0,Yemen,278,,57.0,,11.0,,210.0,,9.0,2.0,120.0,4.0,29760970.0,Asia,107054.0,522122.0,248008.0
151.0,Liberia,269,,27.0,,144.0,,98.0,,53.0,5.0,,,5045821.0,Africa,18758.0,186882.0,
152.0,Mozambique,233,,2.0,,82.0,,149.0,,7.0,0.06,9036.0,290.0,31165836.0,Africa,133759.0,15582918.0,3449.0
153.0,Benin,210,,3.0,,134.0,,73.0,,17.0,0.2,28324.0,2343.0,12091039.0,Africa,57576.0,4030346.0,427.0
154.0,Myanmar,206,,6.0,,126.0,,74.0,,4.0,0.1,22791.0,419.0,54376742.0,Asia,263965.0,9062790.0,2386.0
155.0,Malawi,203,,4.0,,37.0,,162.0,1.0,11.0,0.2,3372.0,177.0,19079984.0,Africa,93990.0,4769996.0,5658.0
156.0,Martinique,197,,14.0,,91.0,,92.0,,525.0,37.0,,,375290.0,North America,1905.0,26806.0,
157.0,Faeroe Islands,187,,,,187.0,,0.0,,3828.0,,9466.0,193793.0,48846.0,Europe,261.0,,5.0
158.0,Mongolia,179,18.0,,,43.0,,136.0,11.0,55.0,,13594.0,4153.0,3273239.0,Asia,18286.0,,241.0
159.0,Guadeloupe,161,,14.0,,115.0,,32.0,3.0,402.0,35.0,3573.0,8930.0,400118.0,North America,2485.0,28580.0,112.0
160.0,Gibraltar,158,,,,147.0,,11.0,,4690.0,,7073.0,209931.0,33692.0,Europe,213.0,,5.0
161.0,Guyana,150,,11.0,,67.0,,72.0,2.0,191.0,14.0,1559.0,1983.0,786212.0,South America,5241.0,71474.0,504.0
162.0,Zimbabwe,149,,4.0,,28.0,,117.0,,10.0,0.3,37039.0,2495.0,14842405.0,Africa,99613.0,3710601.0,401.0
163.0,Brunei,141,,2.0,,138.0,,1.0,2.0,323.0,5.0,18707.0,42799.0,437093.0,Asia,3100.0,218547.0,23.0
164.0,Bermuda,140,,9.0,,92.0,,39.0,2.0,2247.0,144.0,6941.0,111416.0,62298.0,North America,445.0,6922.0,9.0
165.0,Cayman Islands,140,,1.0,,67.0,,72.0,,2133.0,15.0,10466.0,159421.0,65650.0,North America,469.0,65650.0,6.0
166.0,Cambodia,124,,,,122.0,,2.0,1.0,7.0,,19457.0,1165.0,16697111.0,Asia,134654.0,,858.0
167.0,Syria,122,,4.0,,43.0,,75.0,,7.0,0.2,,,17458055.0,Asia,143099.0,4364514.0,
168.0,Trinidad and Tobago,116,,8.0,,108.0,,0.0,,83.0,6.0,3115.0,2226.0,1399086.0,North America,12061.0,174886.0,449.0
169.0,Libya,105,,5.0,,41.0,,59.0,,15.0,0.7,5154.0,751.0,6862479.0,Africa,65357.0,1372496.0,1331.0
170.0,Bahamas,101,1.0,11.0,,47.0,1.0,43.0,1.0,257.0,28.0,2050.0,5218.0,392898.0,North America,3890.0,35718.0,192.0
171.0,Aruba,101,,3.0,,98.0,,0.0,,946.0,28.0,2105.0,19723.0,106726.0,North America,1057.0,35575.0,51.0
172.0,Monaco,98,,4.0,,90.0,,4.0,2.0,2499.0,102.0,,,39217.0,Europe,400.0,9804.0,
173.0,Barbados,92,,7.0,,76.0,,9.0,1.0,320.0,24.0,5201.0,18100.0,287344.0,North America,3123.0,41049.0,55.0
174.0,Comoros,87,,2.0,,24.0,,61.0,,100.0,2.0,,,867776.0,Africa,9974.0,433888.0,
175.0,Liechtenstein,82,,1.0,,55.0,,26.0,,2151.0,26.0,900.0,23611.0,38118.0,Europe,465.0,38118.0,42.0
176.0,Sint Maarten,77,,15.0,,60.0,,2.0,1.0,1798.0,350.0,438.0,10226.0,42831.0,North America,556.0,2855.0,98.0
177.0,Angola,74,,4.0,,18.0,,52.0,,2.0,0.1,10000.0,305.0,32759848.0,Africa,442701.0,8189962.0,3276.0
178.0,French Polynesia,60,,,,60.0,,0.0,,214.0,,4006.0,14268.0,280762.0,Australia/Oceania,4679.0,,70.0
179.0,Macao,45,,,,45.0,,0.0,,69.0,,,,648500.0,Asia,14411.0,,
180.0,Burundi,42,,1.0,,20.0,,21.0,,4.0,0.08,284.0,24.0,11854190.0,Africa,282243.0,11854190.0,41740.0
181.0,Saint Martin,40,,3.0,,33.0,,4.0,1.0,1036.0,78.0,553.0,14325.0,38603.0,North America,965.0,12868.0,70.0
182.0,Eritrea,39,,,,39.0,,0.0,,11.0,,,,3541785.0,Africa,90815.0,,
183.0,Botswana,35,,1.0,,20.0,,14.0,,15.0,0.4,17991.0,7666.0,2346977.0,Africa,67056.0,2346977.0,130.0
