"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,2259352,10489.0,154401.0,256.0,578335.0,1526616,57136.0,290.0,19.8,,
USA,710272,537.0,37175.0,21.0,63510.0,609587,13509.0,2146.0,112.0,3579797.0,10815.0
Spain,190839,,20002.0,,74797.0,96040,7371.0,4082.0,428.0,930230.0,19896.0
Italy,172434,,22745.0,,42727.0,106962,2812.0,2852.0,376.0,1244108.0,20577.0
France,147969,,18681.0,,34420.0,94868,6027.0,2267.0,286.0,463662.0,7103.0
Germany,141397,,4352.0,,85400.0,51645,5013.0,1688.0,52.0,1728357.0,20629.0
UK,108692,,14576.0,,,93772,1559.0,1601.0,215.0,438991.0,6467.0
Iran,79494,,4958.0,,54064.0,20472,3563.0,946.0,59.0,319879.0,3808.0
Turkey,78546,,1769.0,,8631.0,68146,1845.0,931.0,21.0,558413.0,6621.0
Russia,36793,4785.0,313.0,40.0,3057.0,33423,8.0,252.0,2.0,1810000.0,12403.0
Belgium,36138,,5163.0,,7961.0,23014,1140.0,3118.0,445.0,139387.0,12027.0
Brazil,34221,539.0,2171.0,30.0,14026.0,18024,6634.0,161.0,10.0,62985.0,296.0
Canada,31927,,1310.0,,10543.0,20074,557.0,846.0,35.0,507701.0,13452.0
Netherlands,30449,,3459.0,,250.0,26740,1279.0,1777.0,202.0,154911.0,9041.0
Switzerland,27078,,1327.0,,16400.0,9351,386.0,3129.0,153.0,206400.0,23849.0
Portugal,19022,,657.0,,519.0,17846,222.0,1866.0,64.0,234207.0,22969.0
Austria,14595,,431.0,,10214.0,3950,227.0,1621.0,48.0,169272.0,18795.0
India,14425,73.0,488.0,2.0,2045.0,11892,,10.0,0.4,335123.0,243.0
Ireland,13980,,530.0,,77.0,13373,294.0,2831.0,107.0,90646.0,18358.0
Peru,13489,,300.0,,6541.0,6648,137.0,409.0,9.0,127513.0,3867.0
Sweden,13216,,1400.0,,550.0,11266,523.0,1309.0,139.0,74600.0,7387.0
Israel,13107,125.0,158.0,7.0,3247.0,9702,167.0,1514.0,18.0,187250.0,21634.0
S. Korea,10653,18.0,232.0,2.0,7937.0,2484,55.0,208.0,5.0,546463.0,10659.0
Japan,9787,,190.0,,935.0,8662,193.0,77.0,2.0,100703.0,796.0
Chile,9252,,116.0,,3621.0,5515,384.0,484.0,6.0,103873.0,5434.0
Poland,8563,184.0,339.0,7.0,981.0,7243,160.0,226.0,9.0,179654.0,4747.0
Ecuador,8450,,421.0,,838.0,7191,168.0,479.0,24.0,27868.0,1580.0
Romania,8067,,411.0,,1508.0,6148,258.0,419.0,21.0,85805.0,4460.0
Pakistan,7481,456.0,143.0,8.0,1832.0,5506,46.0,34.0,0.6,92548.0,419.0
Saudi Arabia,7142,,87.0,,1049.0,6006,74.0,205.0,2.0,150000.0,4309.0
Denmark,7073,,336.0,,3389.0,3348,93.0,1221.0,58.0,87024.0,15024.0
Norway,6992,55.0,162.0,1.0,32.0,6798,63.0,1290.0,30.0,136236.0,25130.0
Mexico,6875,578.0,546.0,60.0,2125.0,4204,207.0,53.0,4.0,48365.0,375.0
Australia,6565,32.0,69.0,4.0,4163.0,2333,55.0,257.0,3.0,406510.0,15942.0
Czechia,6553,4.0,176.0,3.0,1183.0,5194,86.0,612.0,16.0,162533.0,15177.0
UAE,6302,,37.0,,1188.0,5077,1.0,637.0,4.0,767000.0,77550.0
Philippines,6087,209.0,397.0,10.0,516.0,5174,1.0,56.0,4.0,48171.0,440.0
Singapore,5992,942.0,11.0,,708.0,5273,22.0,1024.0,2.0,94796.0,16203.0
Indonesia,5923,,520.0,,607.0,4796,,22.0,2.0,37134.0,136.0
Serbia,5690,,110.0,,534.0,5046,120.0,651.0,13.0,32566.0,3727.0
Malaysia,5251,,86.0,,2967.0,2198,51.0,162.0,3.0,96695.0,2988.0
Ukraine,5106,444.0,133.0,8.0,275.0,4698,45.0,117.0,3.0,52534.0,1201.0
Belarus,4779,,42.0,,342.0,4395,65.0,506.0,4.0,86813.0,9187.0
Qatar,4663,,7.0,,464.0,4192,37.0,1619.0,2.0,58328.0,20245.0
Panama,4210,194.0,116.0,7.0,122.0,3972,96.0,976.0,27.0,18559.0,4301.0
Dominican Republic,4126,,200.0,,268.0,3658,146.0,380.0,18.0,13282.0,1224.0
Finland,3489,,82.0,,1700.0,1707,73.0,630.0,15.0,52500.0,9475.0
Luxembourg,3480,,72.0,,579.0,2829,29.0,5559.0,115.0,32394.0,51749.0
Colombia,3439,,153.0,,634.0,2652,98.0,68.0,3.0,55573.0,1092.0
Egypt,2844,,205.0,,646.0,1993,,28.0,2.0,25000.0,244.0
South Africa,2783,,50.0,,903.0,1830,7.0,47.0,0.8,100827.0,1700.0
Argentina,2758,89.0,129.0,6.0,666.0,1963,126.0,61.0,3.0,28650.0,634.0
Thailand,2733,33.0,47.0,,1787.0,899,61.0,39.0,0.7,100498.0,1440.0
Morocco,2564,,135.0,,281.0,2148,1.0,69.0,4.0,12952.0,351.0
Algeria,2418,,364.0,,846.0,1208,60.0,55.0,8.0,3359.0,77.0
Moldova,2264,,56.0,,391.0,1817,80.0,561.0,14.0,9848.0,2441.0
Greece,2224,,108.0,,269.0,1847,71.0,213.0,10.0,50771.0,4871.0
