"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
China,81285,67.0,3287.0,6.0,74051.0,3947,1235.0,56.0,2.0
Italy,80589,6203.0,8215.0,712.0,10361.0,62013,3612.0,1333.0,136.0
USA,80071,11860.0,1151.0,124.0,1864.0,77056,2112.0,242.0,3.0
Spain,56197,6682.0,4145.0,498.0,7015.0,45037,3166.0,1202.0,89.0
Germany,43646,6323.0,239.0,33.0,5673.0,37734,23.0,521.0,3.0
Iran,29406,2389.0,2234.0,157.0,10457.0,16715,2746.0,350.0,27.0
France,29155,3922.0,1696.0,365.0,4948.0,22511,3375.0,447.0,26.0
Switzerland,11712,815.0,191.0,38.0,131.0,11390,141.0,1353.0,22.0
UK,11658,2129.0,578.0,115.0,135.0,10945,163.0,172.0,9.0
S. Korea,9241,104.0,131.0,5.0,4144.0,4966,59.0,180.0,3.0
Netherlands,7431,1019.0,434.0,78.0,3.0,6994,582.0,434.0,25.0
Austria,6847,1259.0,49.0,18.0,112.0,6686,28.0,760.0,5.0
Belgium,6235,1298.0,220.0,42.0,675.0,5340,605.0,538.0,19.0
Canada,3897,488.0,37.0,1.0,199.0,3661,120.0,103.0,1.0
Turkey,3629,1196.0,75.0,16.0,26.0,3528,136.0,43.0,0.9
Portugal,3544,549.0,60.0,17.0,43.0,3441,61.0,348.0,6.0
Norway,3346,262.0,14.0,,6.0,3326,70.0,617.0,3.0
Sweden,2840,314.0,71.0,9.0,16.0,2753,176.0,281.0,7.0
Australia,2806,130.0,13.0,2.0,170.0,2623,11.0,110.0,0.5
Israel,2693,324.0,8.0,3.0,68.0,2617,46.0,311.0,0.9
Brazil,2611,57.0,63.0,4.0,6.0,2542,18.0,12.0,0.3
Malaysia,2031,235.0,23.0,3.0,215.0,1793,45.0,63.0,0.7
Czechia,1925,271.0,9.0,3.0,10.0,1906,34.0,180.0,0.8
Denmark,1877,153.0,41.0,7.0,1.0,1835,94.0,324.0,7.0
Ireland,1564,,9.0,,5.0,1550,39.0,317.0,2.0
Luxembourg,1453,120.0,9.0,1.0,6.0,1438,3.0,2321.0,14.0
Japan,1399,92.0,47.0,2.0,359.0,993,57.0,11.0,0.4
Ecuador,1382,171.0,34.0,5.0,3.0,1345,58.0,78.0,2.0
Chile,1306,164.0,4.0,1.0,22.0,1280,7.0,68.0,0.2
Poland,1221,170.0,16.0,2.0,7.0,1198,3.0,32.0,0.4
Pakistan,1179,116.0,9.0,1.0,21.0,1149,5.0,5.0,0.04
Thailand,1045,111.0,4.0,,88.0,953,4.0,15.0,0.06
Romania,1029,123.0,22.0,5.0,94.0,913,29.0,53.0,1.0
Saudi Arabia,1012,112.0,3.0,1.0,33.0,976,6.0,29.0,0.09
Finland,958,78.0,5.0,2.0,10.0,943,24.0,173.0,0.9
South Africa,927,218.0,,,12.0,915,2.0,16.0,
Indonesia,893,103.0,78.0,20.0,35.0,780,,3.0,0.3
Greece,892,71.0,26.0,4.0,36.0,830,53.0,86.0,2.0
Russia,840,182.0,3.0,,38.0,799,8.0,6.0,0.02
Iceland,802,65.0,2.0,,68.0,732,11.0,2350.0,6.0
India,722,65.0,16.0,4.0,45.0,661,,0.5,0.01
Diamond Princess,712,,10.0,,597.0,105,15.0,,
Philippines,707,71.0,45.0,7.0,28.0,634,1.0,6.0,0.4
Singapore,683,52.0,2.0,,172.0,509,17.0,117.0,0.3
Peru,580,100.0,9.0,,14.0,557,14.0,18.0,0.3
Slovenia,562,34.0,6.0,1.0,10.0,546,14.0,270.0,3.0
Panama,558,,8.0,,2.0,548,20.0,129.0,2.0
Qatar,549,12.0,,,43.0,506,6.0,191.0,
Estonia,538,134.0,1.0,,8.0,529,6.0,406.0,0.8
Argentina,502,,8.0,,63.0,431,,11.0,0.2
Croatia,495,53.0,2.0,1.0,22.0,471,14.0,121.0,0.5
Colombia,491,21.0,6.0,2.0,8.0,477,,10.0,0.1
Dominican Republic,488,96.0,10.0,,3.0,475,,45.0,0.9
Mexico,475,70.0,6.0,1.0,4.0,465,1.0,4.0,0.05
Bahrain,458,39.0,4.0,,204.0,250,1.0,269.0,2.0
Serbia,457,73.0,7.0,3.0,15.0,435,21.0,52.0,0.8
Egypt,456,,21.0,,95.0,340,,4.0,0.2
Hong Kong,453,42.0,4.0,,110.0,339,5.0,60.0,0.5
Iraq,382,36.0,36.0,7.0,105.0,241,,9.0,0.9
Lebanon,368,35.0,6.0,,23.0,339,3.0,54.0,0.9
Algeria,367,65.0,25.0,4.0,29.0,313,,8.0,0.6
UAE,333,,2.0,,52.0,279,2.0,34.0,0.2
Lithuania,299,25.0,4.0,,1.0,294,1.0,110.0,1.0
Armenia,290,25.0,1.0,1.0,18.0,271,6.0,98.0,0.3
New Zealand,283,,,,27.0,256,,59.0,
Morocco,275,50.0,10.0,4.0,8.0,257,1.0,7.0,0.3
Bulgaria,264,22.0,3.0,,8.0,253,8.0,38.0,0.4
Hungary,261,35.0,10.0,,28.0,223,6.0,27.0,1.0
Taiwan,252,17.0,2.0,,29.0,221,,11.0,0.08
Latvia,244,23.0,,,1.0,243,,129.0,
Costa Rica,231,30.0,2.0,,2.0,227,4.0,45.0,0.4
Slovakia,226,10.0,,,2.0,224,2.0,41.0,
Andorra,224,36.0,3.0,2.0,1.0,220,6.0,2899.0,39.0
Uruguay,217,,,,,217,3.0,62.0,
Jordan,212,40.0,,,1.0,211,,21.0,
San Marino,208,,21.0,,4.0,183,12.0,6130.0,619.0
Kuwait,208,13.0,,,49.0,159,7.0,49.0,
North Macedonia,201,24.0,3.0,,3.0,195,1.0,96.0,1.0
Tunisia,200,27.0,6.0,1.0,2.0,192,10.0,17.0,0.5
Bosnia and Herzegovina,189,13.0,3.0,,2.0,184,1.0,58.0,0.9
Moldova,177,28.0,1.0,,2.0,174,28.0,44.0,0.2
Albania,174,28.0,6.0,1.0,17.0,151,3.0,60.0,2.0
Ukraine,162,17.0,5.0,,1.0,156,,4.0,0.1
Vietnam,153,5.0,,,20.0,133,3.0,2.0,
Burkina Faso,152,6.0,4.0,,10.0,138,,7.0,0.2
Cyprus,146,14.0,3.0,,4.0,139,3.0,121.0,2.0
Faeroe Islands,140,8.0,,,47.0,93,,2865.0,
Réunion,135,24.0,,,1.0,134,,151.0,
Malta,134,5.0,,,2.0,132,1.0,303.0,
Ghana,132,64.0,4.0,,1.0,127,,4.0,0.1
Azerbaijan,122,29.0,3.0,1.0,15.0,104,6.0,12.0,0.3
Brunei,114,5.0,,,5.0,109,1.0,261.0,
Kazakhstan,111,30.0,1.0,1.0,2.0,108,,6.0,0.05
Oman,109,10.0,,,23.0,86,,21.0,
Sri Lanka,106,4.0,,,7.0,99,3.0,5.0,
Venezuela,106,,,,15.0,91,2.0,4.0,
Senegal,105,6.0,,,9.0,96,,6.0,
Cambodia,96,,,,10.0,86,1.0,6.0,
Afghanistan,94,10.0,2.0,,2.0,90,,2.0,0.05
Belarus,86,,,,29.0,57,2.0,9.0,
Palestine,84,13.0,1.0,,17.0,66,,16.0,0.2
Mauritius,81,33.0,2.0,,,79,1.0,64.0,2.0
Ivory Coast,80,,,,3.0,77,,3.0,
Georgia,79,4.0,,,11.0,68,1.0,20.0,
Cameroon,75,,1.0,,2.0,72,,3.0,0.04
Uzbekistan,75,15.0,,,,75,4.0,2.0,
Guadeloupe,73,,1.0,,,72,4.0,182.0,2.0
Montenegro,69,16.0,1.0,,,68,1.0,110.0,2.0
Cuba,67,10.0,1.0,,1.0,65,2.0,6.0,0.09
Martinique,66,,1.0,,,65,7.0,176.0,3.0
Trinidad and Tobago,61,1.0,1.0,,,60,,44.0,0.7
Liechtenstein,56,5.0,,,,56,,1469.0,
Honduras,52,,1.0,1.0,,51,,5.0,0.1
DRC,51,3.0,3.0,1.0,,48,,0.6,0.03
Nigeria,51,,1.0,,2.0,48,,0.2,0.0
Channel Islands,46,,1.0,1.0,,45,,265.0,6.0
Bangladesh,44,5.0,5.0,,11.0,28,1.0,0.3,0.03
Kyrgyzstan,44,,,,,44,,7.0,
Paraguay,41,4.0,3.0,,,38,1.0,6.0,0.4
Rwanda,41,,,,,41,,3.0,
Bolivia,40,8.0,,,,40,,3.0,
Mayotte,36,,,,,36,,132.0,
Monaco,33,2.0,,,1.0,32,,841.0,
Kenya,31,3.0,1.0,1.0,1.0,29,,0.6,0.02
Macao,31,,,,10.0,21,,48.0,
French Polynesia,30,5.0,,,,30,,107.0,
French Guiana,28,,,,6.0,22,,94.0,
Jamaica,26,,1.0,,2.0,23,,9.0,0.3
Gibraltar,26,,,,5.0,21,,772.0,
Isle of Man,25,2.0,,,,25,,294.0,
Guatemala,24,,1.0,,4.0,19,,1.0,0.06
Madagascar,23,4.0,,,,23,,0.8,
Togo,23,,,,1.0,22,,3.0,
Aruba,19,,,,1.0,18,,178.0,
Barbados,18,,,,,18,,63.0,
Zambia,16,4.0,,,,16,,0.9,
New Caledonia,14,,,,,14,,49.0,
Uganda,14,,,,,14,,0.3,
El Salvador,13,4.0,,,,13,,2.0,
Maldives,13,,,,8.0,5,,24.0,
Tanzania,13,,,,,13,,0.2,
Ethiopia,12,,,,,12,,0.1,
Djibouti,11,,,,,11,,11.0,
Dominica,11,,,,,11,,153.0,
Mongolia,11,1.0,,,,11,,3.0,
Saint Martin,11,,,,,11,,284.0,
Equatorial Guinea,9,,,,,9,,6.0,
Cayman Islands,8,,1.0,,,7,,122.0,15.0
Haiti,8,,,,,8,,0.7,
Namibia,8,1.0,,,2.0,6,,3.0,
Suriname,8,,,,,8,,14.0,
Gabon,7,1.0,1.0,,,6,,3.0,0.4
Niger,7,,1.0,,,6,,0.3,0.04
Bermuda,7,,,,2.0,5,,112.0,
Mozambique,7,2.0,,,,7,,0.2,
Seychelles,7,,,,,7,,71.0,
Curaçao,6,,1.0,,2.0,3,,37.0,6.0
Benin,6,,,,,6,,0.5,
Greenland,6,,,,2.0,4,,106.0,
Laos,6,3.0,,,,6,,0.8,
Guyana,5,,1.0,,,4,,6.0,1.0
Bahamas,5,,,,1.0,4,,13.0,
Fiji,5,,,,,5,,6.0,
Syria,5,,,,,5,,0.3,
Cabo Verde,4,,1.0,,,3,,7.0,2.0
Congo,4,,,,,4,,0.7,
Eritrea,4,,,,,4,,1.0,
Guinea,4,,,,,4,,0.3,
Vatican City,4,,,,,4,,4994.0,
Mali,4,2.0,,,,4,,0.2,
Eswatini,4,,,,,4,,3.0,
Gambia,3,,1.0,,,2,,1.0,0.4
Sudan,3,,1.0,,,2,,0.07,0.02
Zimbabwe,3,,1.0,,,2,,0.2,0.07
Nepal,3,,,,1.0,2,,0.1,
Angola,3,,,,,3,,0.09,
Antigua and Barbuda,3,,,,,3,,31.0,
CAR,3,,,,,3,,0.6,
Chad,3,,,,,3,,0.2,
Liberia,3,,,,,3,,0.6,
Mauritania,3,1.0,,,,3,,0.6,
Myanmar,3,,,,,3,,0.06,
St. Barth,3,,,,,3,,304.0,
Saint Lucia,3,,,,,3,,16.0,
Sint Maarten,3,,,,,3,,70.0,
Belize,2,,,,,2,,5.0,
Bhutan,2,,,,,2,,3.0,
British Virgin Islands,2,,,,,2,,66.0,
Guinea-Bissau,2,,,,,2,,1.0,
Montserrat,2,1.0,,,,2,,401.0,
Nicaragua,2,,,,,2,,0.3,
Saint Kitts and Nevis,2,,,,,2,,38.0,
Somalia,2,1.0,,,,2,,0.1,
Turks and Caicos,2,1.0,,,,2,,52.0,
Grenada,1,,,,,1,,9.0,
Libya,1,,,,,1,,0.1,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,,1,,9.0,
Timor-Leste,1,,,,,1,,0.8,
Total:,522749,51781.0,23621.0,2345.0,123322.0,375806,19250.0,67.1,3.0
