"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,1700870,2035.0,102789.0,105.0,376796.0,1221285,49835.0,218.0,13.2,,
USA,503177,301.0,18761.0,14.0,27314.0,457102,10917.0,1520.0,57.0,2538888.0,7670.0
Spain,158273,,16081.0,,55668.0,86524,7371.0,3385.0,344.0,355000.0,7593.0
Italy,147577,,18849.0,,30455.0,98273,3497.0,2441.0,312.0,906864.0,14999.0
France,124869,,13197.0,,24932.0,86740,7004.0,1913.0,202.0,333807.0,5114.0
Germany,122171,,2736.0,,53913.0,65522,4895.0,1458.0,33.0,1317887.0,15730.0
UK,73758,,8958.0,,344.0,64456,1559.0,1086.0,132.0,316836.0,4667.0
Iran,68192,,4232.0,,35465.0,28495,3969.0,812.0,50.0,242568.0,2888.0
Turkey,47029,,1006.0,,2423.0,43600,1667.0,558.0,12.0,307210.0,3643.0
Belgium,26667,,3019.0,,5568.0,18080,1278.0,2301.0,260.0,84248.0,7269.0
Switzerland,24551,,1002.0,,11100.0,12449,386.0,2837.0,116.0,178500.0,20625.0
Netherlands,23097,,2511.0,,250.0,20336,1424.0,1348.0,147.0,101534.0,5926.0
Canada,22148,,569.0,,6013.0,15566,557.0,587.0,15.0,383322.0,10156.0
Brazil,19943,154.0,1074.0,6.0,173.0,18696,296.0,94.0,5.0,62985.0,296.0
Portugal,15472,,435.0,,233.0,14804,226.0,1517.0,43.0,140863.0,13815.0
Austria,13586,26.0,319.0,,6064.0,7203,261.0,1508.0,35.0,134743.0,14961.0
Russia,11917,,94.0,,795.0,11028,8.0,82.0,0.6,1090000.0,7469.0
S. Korea,10450,,208.0,,7117.0,3125,55.0,204.0,4.0,503051.0,9812.0
Israel,10408,,95.0,,1183.0,9130,124.0,1202.0,11.0,117339.0,13557.0
Sweden,9685,,870.0,,381.0,8434,749.0,959.0,86.0,54700.0,5416.0
Ireland,8089,,287.0,,25.0,7777,194.0,1638.0,58.0,53000.0,10734.0
India,7600,,249.0,,774.0,6577,,6.0,0.2,189111.0,137.0
Ecuador,7161,,297.0,,368.0,6496,171.0,406.0,17.0,21568.0,1222.0
Chile,6501,,65.0,,1571.0,4865,70.0,340.0,3.0,72797.0,3808.0
Norway,6314,,113.0,,32.0,6169,70.0,1165.0,21.0,123170.0,22720.0
Australia,6292,54.0,56.0,2.0,3265.0,2971,80.0,247.0,2.0,347847.0,13641.0
Japan,6005,,99.0,,685.0,5221,109.0,47.0,0.8,64387.0,509.0
Poland,5955,,181.0,,375.0,5399,160.0,157.0,5.0,118295.0,3126.0
Peru,5897,,169.0,,1569.0,4159,130.0,179.0,5.0,56681.0,1719.0
Denmark,5819,,247.0,,1773.0,3799,113.0,1005.0,43.0,64731.0,11176.0
Czechia,5735,3.0,123.0,4.0,370.0,5242,92.0,536.0,11.0,120285.0,11232.0
Romania,5467,,282.0,12.0,729.0,4456,183.0,284.0,15.0,55430.0,2881.0
Pakistan,4788,93.0,71.0,5.0,762.0,3955,50.0,22.0,0.3,57836.0,262.0
Malaysia,4346,,70.0,,1830.0,2446,69.0,134.0,2.0,69675.0,2153.0
Philippines,4195,,221.0,,140.0,3834,1.0,38.0,2.0,24500.0,224.0
Mexico,3844,403.0,233.0,39.0,633.0,2978,89.0,30.0,2.0,31492.0,244.0
Saudi Arabia,3651,,47.0,,685.0,2919,57.0,105.0,1.0,115585.0,3320.0
Indonesia,3512,,306.0,,282.0,2924,,13.0,1.0,17679.0,65.0
UAE,3360,,16.0,,418.0,2926,1.0,340.0,2.0,593095.0,59967.0
Luxembourg,3223,,54.0,,500.0,2669,30.0,5149.0,86.0,28273.0,45166.0
Serbia,3105,,71.0,,118.0,2916,136.0,355.0,8.0,14240.0,1630.0
Panama,2974,,74.0,,17.0,2883,104.0,689.0,17.0,11776.0,2729.0
Finland,2769,,48.0,,300.0,2421,82.0,500.0,9.0,41200.0,7436.0
Dominican Republic,2620,,126.0,,98.0,2396,147.0,242.0,12.0,7936.0,732.0
Thailand,2518,45.0,35.0,2.0,1135.0,1348,61.0,36.0,0.5,71860.0,1030.0
Qatar,2512,,6.0,,227.0,2279,37.0,872.0,2.0,45339.0,15737.0
Ukraine,2511,308.0,73.0,4.0,79.0,2359,33.0,57.0,2.0,23522.0,538.0
Colombia,2473,,80.0,,197.0,2196,85.0,49.0,2.0,37593.0,739.0
Singapore,2108,,7.0,,492.0,1609,29.0,360.0,1.0,72680.0,12423.0
Greece,2011,,92.0,,269.0,1650,77.0,193.0,9.0,35532.0,3409.0
South Africa,2003,,24.0,,410.0,1569,7.0,34.0,0.4,73028.0,1231.0
Belarus,1981,,19.0,,169.0,1793,72.0,210.0,2.0,53000.0,5609.0
Argentina,1975,,82.0,,375.0,1518,96.0,44.0,2.0,16379.0,362.0
Egypt,1794,,135.0,,384.0,1275,,18.0,1.0,25000.0,244.0
Algeria,1761,,256.0,,405.0,1100,46.0,40.0,6.0,3359.0,77.0
Iceland,1675,,7.0,,751.0,917,11.0,4909.0,21.0,34125.0,100002.0
Croatia,1495,,21.0,,231.0,1243,34.0,364.0,5.0,14612.0,3559.0
Morocco,1448,,107.0,,122.0,1219,1.0,39.0,3.0,7239.0,196.0
Moldova,1438,,29.0,,75.0,1334,80.0,356.0,7.0,6271.0,1555.0
New Zealand,1312,29.0,4.0,2.0,422.0,886,5.0,272.0,0.8,58746.0,12182.0
Hungary,1310,120.0,85.0,8.0,115.0,1110,17.0,136.0,9.0,31961.0,3308.0
Estonia,1304,46.0,24.0,,93.0,1187,11.0,983.0,18.0,29456.0,22205.0
Iraq,1279,,70.0,,550.0,659,,32.0,2.0,32158.0,800.0
Slovenia,1160,,45.0,,137.0,978,36.0,558.0,22.0,33047.0,15896.0
Lithuania,1026,27.0,23.0,1.0,54.0,949,14.0,377.0,8.0,38472.0,14132.0
Bahrain,998,73.0,6.0,,551.0,441,3.0,587.0,4.0,57681.0,33899.0
Kuwait,993,,1.0,,133.0,859,26.0,233.0,0.2,,
Azerbaijan,991,,10.0,,159.0,822,27.0,98.0,1.0,61342.0,6050.0
Hong Kong,990,,4.0,,309.0,677,15.0,132.0,0.5,96709.0,12900.0
Armenia,966,29.0,13.0,1.0,173.0,780,30.0,326.0,4.0,6484.0,2188.0
Bosnia and Herzegovina,901,,36.0,,129.0,736,4.0,275.0,11.0,6911.0,2106.0
Kazakhstan,859,47.0,10.0,,64.0,785,21.0,46.0,0.5,61955.0,3300.0
Cameroon,820,,12.0,,98.0,710,,31.0,0.5,,
Slovakia,715,,2.0,,23.0,690,5.0,131.0,0.4,22957.0,4205.0
Diamond Princess,712,,11.0,,619.0,82,10.0,,,,
North Macedonia,711,,32.0,,41.0,638,15.0,341.0,15.0,6571.0,3154.0
Tunisia,671,,25.0,,25.0,621,78.0,57.0,2.0,10087.0,853.0
Uzbekistan,669,45.0,3.0,,42.0,624,8.0,20.0,0.09,70000.0,2091.0
Bulgaria,648,13.0,26.0,1.0,62.0,560,32.0,93.0,4.0,18502.0,2663.0
Latvia,612,,3.0,,16.0,593,3.0,324.0,2.0,26656.0,14132.0
Lebanon,609,,20.0,,76.0,513,28.0,89.0,3.0,13530.0,1982.0
Andorra,601,,26.0,,71.0,504,17.0,7778.0,337.0,1673.0,21653.0
Cyprus,595,,10.0,,58.0,527,11.0,493.0,8.0,16308.0,13507.0
Cuba,564,,15.0,,51.0,498,11.0,50.0,1.0,12023.0,1061.0
