"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,4506859,81203.0,302298.0,4533.0,1697459.0,2507102,45546.0,578.0,38.8,,
USA,1449816,19468.0,86584.0,1387.0,316174.0,1047058,16252.0,4380.0,262.0,10551184.0,31876.0
Spain,272646,1551.0,27321.0,217.0,186480.0,58845,1376.0,5831.0,584.0,2467761.0,52781.0
Russia,252245,9974.0,2305.0,93.0,53530.0,196410,2300.0,1728.0,16.0,6188102.0,42403.0
UK,233151,3446.0,33614.0,428.0,,199193,1559.0,3434.0,495.0,2219281.0,32691.0
Italy,223096,992.0,31368.0,262.0,115288.0,76440,855.0,3690.0,519.0,2807504.0,46434.0
Brazil,197838,8681.0,13618.0,460.0,78424.0,105796,8318.0,931.0,64.0,735224.0,3459.0
France,178870,810.0,27425.0,351.0,59605.0,91840,2299.0,2740.0,420.0,1384633.0,21213.0
Germany,174809,711.0,7915.0,54.0,150300.0,16594,1329.0,2086.0,94.0,3147771.0,37570.0
Turkey,144749,1635.0,4007.0,55.0,104030.0,36712,963.0,1716.0,48.0,1508824.0,17890.0
Iran,114533,1808.0,6854.0,71.0,90539.0,17140,2758.0,1364.0,82.0,643772.0,7665.0
India,81990,3935.0,2649.0,98.0,27969.0,51372,,59.0,2.0,1947041.0,1411.0
Peru,80604,4298.0,2267.0,98.0,25151.0,53186,842.0,2445.0,69.0,587292.0,17812.0
Canada,73335,1057.0,5468.0,166.0,35936.0,31931,502.0,1943.0,145.0,1169380.0,30983.0
Belgium,54288,307.0,8903.0,60.0,14111.0,31274,407.0,4684.0,768.0,623628.0,53809.0
Saudi Arabia,46869,2039.0,283.0,10.0,19051.0,27535,156.0,1346.0,8.0,513587.0,14752.0
Netherlands,43481,270.0,5590.0,28.0,,37641,410.0,2538.0,326.0,282776.0,16503.0
Mexico,40186,1862.0,4220.0,294.0,26990.0,8976,378.0,312.0,33.0,142204.0,1103.0
Chile,37040,2659.0,368.0,22.0,15655.0,21017,663.0,1938.0,19.0,325417.0,17023.0
Pakistan,35788,490.0,770.0,9.0,9695.0,25323,111.0,162.0,3.0,330750.0,1497.0
Ecuador,30502,16.0,2338.0,4.0,3433.0,24731,196.0,1729.0,133.0,88923.0,5040.0
Switzerland,30463,50.0,1872.0,2.0,27100.0,1491,79.0,3520.0,216.0,328163.0,37918.0
Sweden,28582,673.0,3529.0,69.0,4971.0,20082,351.0,2830.0,349.0,177500.0,17576.0
Portugal,28319,187.0,1184.0,9.0,3198.0,23937,108.0,2777.0,116.0,582341.0,57111.0
Qatar,28272,1733.0,14.0,,3356.0,24902,72.0,9813.0,5.0,143938.0,49960.0
Belarus,26772,947.0,151.0,5.0,8168.0,18453,92.0,2833.0,16.0,308156.0,32611.0
Singapore,26098,752.0,21.0,,5973.0,20104,20.0,4461.0,4.0,224262.0,38333.0
Ireland,23827,426.0,1506.0,9.0,19470.0,2851,69.0,4825.0,305.0,258808.0,52414.0
UAE,21084,698.0,208.0,2.0,6930.0,13946,1.0,2132.0,21.0,1560923.0,157822.0
Bangladesh,18863,1041.0,283.0,14.0,3361.0,15219,1.0,115.0,2.0,151930.0,923.0
Poland,17615,411.0,883.0,22.0,6696.0,10036,160.0,465.0,23.0,554357.0,14647.0
Ukraine,16847,422.0,456.0,17.0,4143.0,12248,222.0,385.0,10.0,202495.0,4630.0
