"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,3711387,68116.0,257019.0,4778.0,1235491.0,2218877,49329.0,476.0,33.0,,
USA,1230925,18090.0,71769.0,1848.0,198935.0,960221,16174.0,3719.0,217.0,7681934.0,23208.0
Spain,250561,2260.0,25613.0,185.0,154718.0,70230,2254.0,5359.0,548.0,1932455.0,41332.0
Italy,213013,1075.0,29315.0,236.0,85231.0,98467,1427.0,3523.0,485.0,2246666.0,37158.0
UK,194990,4406.0,29427.0,693.0,,165219,1559.0,2872.0,433.0,1383842.0,20385.0
France,170551,1089.0,25531.0,330.0,52736.0,92284,3430.0,2613.0,391.0,1100228.0,16856.0
Germany,166696,544.0,6993.0,,135100.0,24603,1937.0,1990.0,83.0,2547052.0,30400.0
Russia,155370,10102.0,1451.0,95.0,19865.0,134054,2300.0,1065.0,10.0,4460357.0,30564.0
Turkey,129491,1832.0,3520.0,59.0,73285.0,52686,1338.0,1535.0,42.0,1204421.0,14281.0
Brazil,110156,1890.0,7485.0,142.0,45815.0,56856,8318.0,518.0,35.0,339552.0,1597.0
Iran,99970,1323.0,6340.0,63.0,80475.0,13155,2685.0,1190.0,75.0,519543.0,6186.0
Canada,61959,1187.0,4036.0,182.0,26650.0,31273,557.0,1642.0,107.0,919368.0,24359.0
Peru,51189,3817.0,1444.0,100.0,15413.0,34332,709.0,1553.0,44.0,406579.0,12331.0
Belgium,50509,242.0,8016.0,92.0,12441.0,30052,646.0,4358.0,692.0,456194.0,39362.0
India,49400,2963.0,1693.0,127.0,14142.0,33565,,36.0,1.0,1191946.0,864.0
Netherlands,41087,317.0,5168.0,86.0,,35669,644.0,2398.0,302.0,235909.0,13768.0
Ecuador,31881,,1569.0,,3433.0,26879,159.0,1807.0,89.0,80171.0,4544.0
Saudi Arabia,30251,1595.0,200.0,9.0,5431.0,24620,143.0,869.0,6.0,376607.0,10818.0
Switzerland,30009,28.0,1795.0,11.0,25400.0,2814,121.0,3467.0,207.0,286403.0,33092.0
Portugal,25702,178.0,1074.0,11.0,1743.0,22885,134.0,2521.0,105.0,450000.0,44132.0
Mexico,24905,1434.0,2271.0,117.0,15938.0,6696,378.0,193.0,18.0,100041.0,776.0
Sweden,23216,495.0,2854.0,85.0,4074.0,16288,435.0,2299.0,283.0,148500.0,14704.0
Pakistan,22049,1108.0,514.0,38.0,5801.0,15734,111.0,100.0,2.0,222404.0,1007.0
Chile,22016,1373.0,275.0,5.0,10710.0,11031,470.0,1152.0,14.0,222095.0,11618.0
Ireland,21983,211.0,1339.0,20.0,13386.0,7258,93.0,4452.0,271.0,214761.0,43493.0
Singapore,19410,632.0,18.0,,1519.0,17873,24.0,3318.0,3.0,143919.0,24600.0
Belarus,18350,861.0,107.0,4.0,3771.0,14472,92.0,1942.0,11.0,211369.0,22369.0
Qatar,17142,951.0,12.0,,1924.0,15206,72.0,5950.0,4.0,109762.0,38098.0
Israel,16289,43.0,238.0,3.0,10465.0,5586,89.0,1882.0,27.0,417100.0,48189.0
Austria,15650,29.0,606.0,6.0,13462.0,1582,104.0,1738.0,67.0,285883.0,31742.0
