"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,1274265,1403.0,69471.0,46.0,264834.0,939960,45887.0,163.0,8.9,,
USA,336830,157.0,9618.0,2.0,17977.0,309235,8702.0,1018.0,29.0,1772369.0,5355.0
Spain,131646,,12641.0,,38080.0,80925,6861.0,2816.0,270.0,355000.0,7593.0
Italy,128948,,15887.0,,21815.0,91246,3977.0,2133.0,263.0,691461.0,11436.0
Germany,100123,,1584.0,,28700.0,69839,3936.0,1195.0,19.0,918460.0,10962.0
France,92839,,8078.0,,16183.0,68578,6838.0,1422.0,124.0,224254.0,3436.0
Iran,58226,,3603.0,,22011.0,32612,4103.0,693.0,43.0,186000.0,2214.0
UK,47806,,4934.0,,135.0,42737,1559.0,704.0,73.0,195524.0,2880.0
Turkey,27069,,574.0,,1042.0,25453,1381.0,321.0,7.0,181445.0,2151.0
Switzerland,21100,,715.0,,6415.0,13970,391.0,2438.0,83.0,158000.0,18256.0
Belgium,19691,,1447.0,,3751.0,14493,1261.0,1699.0,125.0,70000.0,6040.0
Netherlands,17851,,1766.0,,250.0,15835,1385.0,1042.0,103.0,75415.0,4401.0
Canada,15512,,280.0,,2942.0,12290,426.0,411.0,7.0,330901.0,8767.0
Austria,12051,,204.0,,2998.0,8849,244.0,1338.0,23.0,108416.0,12038.0
Brazil,11281,27.0,487.0,1.0,127.0,10667,296.0,53.0,2.0,54824.0,258.0
Portugal,11278,,295.0,,75.0,10908,267.0,1106.0,29.0,86370.0,8470.0
S. Korea,10284,47.0,186.0,3.0,6598.0,3500,55.0,201.0,4.0,461233.0,8996.0
Israel,8430,,49.0,,477.0,7904,139.0,974.0,6.0,109724.0,12677.0
Sweden,6830,,401.0,,205.0,6224,541.0,676.0,40.0,36900.0,3654.0
Australia,5788,38.0,39.0,2.0,2315.0,3434,95.0,227.0,2.0,301087.0,11807.0
Norway,5759,72.0,71.0,,32.0,5656,89.0,1062.0,13.0,105865.0,19528.0
Russia,5389,,45.0,,355.0,4989,8.0,37.0,0.3,697000.0,4776.0
Ireland,4994,,158.0,,25.0,4811,165.0,1011.0,32.0,30213.0,6119.0
Czechia,4587,,67.0,,96.0,4424,86.0,428.0,6.0,80304.0,7499.0
Chile,4471,,34.0,,618.0,3819,307.0,234.0,2.0,51956.0,2718.0
Denmark,4369,,179.0,,1327.0,2863,142.0,754.0,31.0,49249.0,8503.0
India,4298,9.0,118.0,,328.0,3852,,3.0,0.09,139954.0,101.0
Poland,4102,,94.0,,134.0,3874,50.0,108.0,2.0,80757.0,2134.0
Romania,3864,,151.0,,374.0,3339,141.0,201.0,8.0,38623.0,2008.0
Malaysia,3662,,61.0,,1005.0,2596,99.0,113.0,2.0,51937.0,1605.0
Japan,3654,,85.0,,575.0,2994,69.0,29.0,0.7,44639.0,353.0
Ecuador,3646,,180.0,,100.0,3366,100.0,207.0,10.0,12386.0,702.0
Philippines,3414,168.0,152.0,,64.0,3198,1.0,31.0,1.0,22958.0,210.0
Pakistan,3277,120.0,50.0,3.0,257.0,2970,17.0,15.0,0.2,35875.0,162.0
Luxembourg,2804,,36.0,,500.0,2268,33.0,4479.0,58.0,23687.0,37840.0
Saudi Arabia,2402,,34.0,,488.0,1880,41.0,69.0,1.0,,
Peru,2281,,83.0,,989.0,1209,81.0,69.0,3.0,19410.0,589.0
Indonesia,2273,,198.0,,164.0,1911,,8.0,0.7,9712.0,36.0
Thailand,2220,51.0,26.0,3.0,793.0,1401,23.0,32.0,0.4,25071.0,359.0
Mexico,2143,253.0,94.0,15.0,633.0,1416,293.0,17.0,0.7,18034.0,140.0
Panama,1988,187.0,54.0,8.0,13.0,1921,78.0,461.0,13.0,9749.0,2259.0
Finland,1927,,28.0,,300.0,1599,73.0,348.0,5.0,31714.0,5724.0
Serbia,1908,,51.0,,54.0,1803,98.0,218.0,6.0,7360.0,842.0
UAE,1799,,10.0,,144.0,1645,1.0,182.0,1.0,220000.0,22244.0
Dominican Republic,1745,,82.0,,17.0,1646,147.0,161.0,8.0,4542.0,419.0
