"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,4326828,74538.0,291809.0,4678.0,1571333.0,2463686,46347.0,555.0,37.4,,
USA,1404251,18417.0,83202.0,1407.0,276412.0,1044637,16449.0,4242.0,251.0,9868302.0,29813.0
Spain,269520,1377.0,26920.0,176.0,180470.0,62130,1534.0,5765.0,576.0,2467761.0,52781.0
Russia,232243,10899.0,2116.0,107.0,43512.0,186615,2300.0,1591.0,14.0,5805404.0,39781.0
UK,226463,3403.0,32692.0,627.0,,193427,1559.0,3336.0,482.0,2007146.0,29566.0
Italy,221216,1402.0,30911.0,172.0,109039.0,81266,952.0,3659.0,511.0,2673655.0,44221.0
France,178225,802.0,26991.0,348.0,57785.0,93449,2542.0,2730.0,414.0,1384633.0,21213.0
Brazil,173141,3998.0,12065.0,440.0,67384.0,93692,8318.0,815.0,57.0,735224.0,3459.0
Germany,173034,458.0,7718.0,57.0,147200.0,18116,1539.0,2065.0,92.0,2755770.0,32891.0
Turkey,141475,1704.0,3894.0,53.0,98889.0,38692,1045.0,1677.0,46.0,1440671.0,17082.0
Iran,110767,1481.0,6733.0,48.0,88357.0,15677,2713.0,1319.0,80.0,615477.0,7328.0
India,74243,3475.0,2415.0,121.0,24420.0,47408,,54.0,2.0,1759579.0,1275.0
Peru,72059,3237.0,2057.0,96.0,23324.0,46678,797.0,2185.0,62.0,532169.0,16140.0
Canada,71105,1124.0,5167.0,174.0,33722.0,32216,502.0,1884.0,137.0,1135984.0,30099.0
Belgium,53779,330.0,8761.0,54.0,13732.0,31286,465.0,4640.0,756.0,595531.0,51385.0
Netherlands,42984,196.0,5510.0,54.0,,37224,463.0,2509.0,322.0,270351.0,15778.0
Saudi Arabia,42925,1911.0,264.0,9.0,15257.0,27404,147.0,1233.0,8.0,482374.0,13856.0
Mexico,36327,1305.0,3573.0,108.0,23100.0,9654,378.0,282.0,28.0,135116.0,1048.0
Pakistan,32674,1733.0,724.0,57.0,8555.0,23395,111.0,148.0,3.0,305851.0,1385.0
Chile,31721,1658.0,335.0,12.0,14125.0,17261,494.0,1659.0,18.0,303340.0,15868.0
Ecuador,30419,910.0,2327.0,182.0,3433.0,24659,181.0,1724.0,132.0,85223.0,4830.0
Switzerland,30380,36.0,1867.0,22.0,26800.0,1713,89.0,3510.0,216.0,316852.0,36611.0
