"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,4077955,68664.0,279071.0,3095.0,1425090.0,2373794,47714.0,523.0,35.8,,
USA,1339298,17513.0,79627.0,1012.0,232360.0,1027311,16843.0,4046.0,241.0,8557822.0,25854.0
Spain,262783,2666.0,26478.0,179.0,173157.0,63148,1741.0,5620.0,566.0,2467761.0,52781.0
Italy,218268,1083.0,30395.0,194.0,103031.0,84842,1034.0,3610.0,503.0,2514234.0,41584.0
UK,215260,3896.0,31587.0,346.0,,183329,1559.0,3171.0,465.0,1728443.0,25461.0
Russia,198676,10817.0,1827.0,104.0,31916.0,164933,2300.0,1361.0,13.0,5221964.0,35783.0
France,176658,579.0,26310.0,80.0,56038.0,94310,2812.0,2706.0,403.0,1384633.0,21213.0
Germany,171145,557.0,7532.0,22.0,143300.0,20313,1650.0,2043.0,90.0,2755770.0,32891.0
Brazil,148670,2778.0,10100.0,108.0,59297.0,79273,8318.0,699.0,48.0,339552.0,1597.0
Turkey,137115,1546.0,3739.0,50.0,89480.0,43896,1168.0,1626.0,44.0,1334411.0,15822.0
Iran,106220,1529.0,6589.0,48.0,85064.0,14567,2696.0,1265.0,78.0,573220.0,6825.0
Canada,67619,1185.0,4690.0,121.0,30980.0,31949,502.0,1792.0,124.0,1032088.0,27346.0
India,62808,3113.0,2101.0,116.0,19301.0,41406,,46.0,2.0,1523213.0,1104.0
Peru,61847,,1714.0,,19012.0,41121,730.0,1876.0,52.0,473190.0,14351.0
Belgium,52596,585.0,8581.0,60.0,13411.0,30604,502.0,4538.0,740.0,540643.0,46649.0
Netherlands,42382,289.0,5422.0,63.0,,36710,541.0,2473.0,316.0,249655.0,14570.0
Saudi Arabia,37136,1704.0,239.0,10.0,10144.0,26753,140.0,1067.0,7.0,433500.0,12452.0
Mexico,31522,1906.0,3160.0,199.0,20314.0,8048,378.0,244.0,25.0,123446.0,957.0
Switzerland,30251,44.0,1830.0,7.0,26100.0,2321,101.0,3495.0,211.0,306223.0,35383.0
Ecuador,29071,253.0,1717.0,13.0,3433.0,23921,181.0,1648.0,97.0,83657.0,4742.0
Pakistan,28736,2301.0,636.0,37.0,7809.0,20291,111.0,130.0,3.0,270025.0,1222.0
Portugal,27406,138.0,1126.0,12.0,2499.0,23781,120.0,2688.0,110.0,517660.0,50767.0
Chile,27219,1247.0,304.0,10.0,12667.0,14248,544.0,1424.0,16.0,267904.0,14015.0
Sweden,25921,656.0,3220.0,45.0,4971.0,17730,425.0,2567.0,319.0,148500.0,14704.0
Ireland,22760,219.0,1446.0,17.0,17110.0,4204,72.0,4609.0,293.0,214761.0,43493.0
Singapore,22460,753.0,20.0,,2296.0,20144,23.0,3839.0,3.0,175604.0,30016.0
Belarus,22052,951.0,126.0,5.0,6050.0,15876,92.0,2334.0,13.0,251771.0,26644.0
Qatar,21331,1130.0,13.0,1.0,2449.0,18869,72.0,7404.0,5.0,124554.0,43232.0
UAE,17417,624.0,185.0,11.0,4295.0,12937,1.0,1761.0,19.0,1200000.0,121330.0
Israel,16454,18.0,247.0,2.0,11376.0,4831,78.0,1901.0,29.0,451028.0,52109.0
Austria,15833,59.0,615.0,1.0,13928.0,1290,79.0,1758.0,68.0,311690.0,34608.0
Poland,15651,285.0,785.0,9.0,5437.0,9429,160.0,414.0,21.0,460686.0,12172.0
