"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
USA,164266,422.0,3170.0,14.0,5507.0,155589,3512.0,496.0,10.0,Jan 20
Italy,101739,,11591.0,,14620.0,75528,3981.0,1683.0,192.0,Jan 29
Spain,87956,,7716.0,,16780.0,63460,5231.0,1881.0,165.0,Jan 30
Germany,67051,166.0,650.0,5.0,13500.0,52901,1979.0,800.0,8.0,Jan 26
France,44550,,3024.0,,7927.0,33599,5056.0,683.0,46.0,Jan 23
Iran,41495,,2757.0,,13911.0,24827,3511.0,494.0,33.0,Feb 18
UK,22141,,1408.0,,135.0,20598,163.0,326.0,21.0,Jan 30
Switzerland,15922,,359.0,,1823.0,13740,301.0,1840.0,41.0,Feb 24
Belgium,11899,,513.0,,1527.0,9859,927.0,1027.0,44.0,Feb 03
Netherlands,11750,,864.0,,250.0,10636,1053.0,686.0,50.0,Feb 26
Turkey,10827,,168.0,,162.0,10497,568.0,128.0,2.0,Mar 09
S. Korea,9786,125.0,162.0,4.0,5408.0,4216,55.0,191.0,3.0,Jan 19
Austria,9705,87.0,108.0,,636.0,8961,193.0,1078.0,12.0,Feb 24
Canada,7474,26.0,92.0,3.0,1114.0,6268,120.0,198.0,2.0,Jan 24
Portugal,6408,,140.0,,43.0,6225,164.0,628.0,14.0,Mar 01
Israel,4831,136.0,18.0,2.0,163.0,4650,83.0,558.0,2.0,Feb 20
Brazil,4661,31.0,165.0,2.0,127.0,4369,296.0,22.0,0.8,Feb 24
Australia,4557,97.0,19.0,,337.0,4201,28.0,179.0,0.7,Jan 24
Norway,4464,19.0,32.0,,12.0,4420,97.0,823.0,6.0,Feb 25
Sweden,4028,,146.0,,16.0,3866,306.0,399.0,14.0,Jan 30
Czechia,3002,1.0,24.0,1.0,25.0,2953,52.0,280.0,2.0,Feb 29
Ireland,2910,,54.0,,5.0,2851,84.0,589.0,11.0,Feb 28
Malaysia,2626,,37.0,,479.0,2110,94.0,81.0,1.0,Jan 24
Denmark,2577,,77.0,,1.0,2499,137.0,445.0,13.0,Feb 26
Chile,2449,,8.0,,156.0,2285,14.0,128.0,0.4,Mar 02
Poland,2132,77.0,31.0,,7.0,2094,3.0,56.0,0.8,Mar 03
Romania,2109,,65.0,,209.0,1835,33.0,110.0,3.0,Feb 25
Luxembourg,1988,,22.0,,80.0,1886,31.0,3176.0,35.0,Feb 28
Ecuador,1966,,62.0,,54.0,1850,58.0,111.0,4.0,Feb 28
Japan,1953,,56.0,,424.0,1473,56.0,15.0,0.4,Jan 14
Pakistan,1865,148.0,25.0,4.0,76.0,1764,12.0,8.0,0.1,Feb 25
Russia,1836,,9.0,,66.0,1761,8.0,13.0,0.06,Jan 30
Thailand,1651,127.0,10.0,1.0,342.0,1299,23.0,24.0,0.1,Jan 12
Philippines,1546,,78.0,,42.0,1426,1.0,14.0,0.7,Jan 29
Saudi Arabia,1453,,8.0,,115.0,1330,12.0,42.0,0.2,Mar 01
Indonesia,1414,,122.0,,75.0,1217,,5.0,0.4,Mar 01
Finland,1384,32.0,13.0,,10.0,1361,49.0,250.0,2.0,Jan 28
South Africa,1326,,3.0,,31.0,1292,7.0,22.0,0.05,Mar 04
India,1251,,32.0,,102.0,1117,,0.9,0.02,Jan 29
Greece,1212,,46.0,,52.0,1114,72.0,116.0,4.0,Feb 25
Mexico,1094,101.0,28.0,8.0,35.0,1031,1.0,8.0,0.2,Feb 27
Iceland,1086,,2.0,,157.0,927,25.0,3182.0,6.0,Feb 27
Panama,1075,,27.0,,9.0,1039,43.0,249.0,6.0,Mar 09
Argentina,966,146.0,24.0,1.0,228.0,714,,21.0,0.5,Mar 02
Peru,950,,24.0,,53.0,873,49.0,29.0,0.7,Mar 05
Dominican Republic,901,,42.0,,4.0,855,,83.0,4.0,Feb 29
Singapore,879,,3.0,,228.0,648,19.0,150.0,0.5,Jan 22
Colombia,798,,14.0,,15.0,769,29.0,16.0,0.3,Mar 05
Croatia,790,,6.0,,67.0,717,27.0,192.0,1.0,Feb 24
Serbia,785,,16.0,,42.0,727,62.0,90.0,2.0,Mar 05
Slovenia,756,,11.0,,10.0,735,28.0,364.0,5.0,Mar 03
Estonia,715,,3.0,,20.0,692,10.0,539.0,2.0,Feb 26
Diamond Princess,712,,10.0,,603.0,99,15.0,,,Feb 04
