"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
USA,215344,341.0,5112.0,10.0,8878.0,201354,5005.0,651.0,15.0
Italy,110574,,13155.0,,16847.0,80572,4035.0,1829.0,218.0
Spain,104118,,9387.0,,22647.0,72084,5872.0,2227.0,201.0
Germany,77981,,931.0,,19175.0,57875,3408.0,931.0,11.0
France,56989,,4032.0,,10935.0,42022,6017.0,873.0,62.0
Iran,47593,,3036.0,,15473.0,29084,3871.0,567.0,36.0
UK,29474,,2352.0,,135.0,26987,163.0,434.0,35.0
Switzerland,17768,,488.0,,2967.0,14313,348.0,2053.0,56.0
Turkey,15679,,277.0,,333.0,15069,979.0,186.0,3.0
Belgium,13964,,828.0,,2132.0,11004,1088.0,1205.0,71.0
Netherlands,13614,,1173.0,,250.0,12191,1053.0,795.0,68.0
Austria,10809,98.0,146.0,,1436.0,9227,215.0,1200.0,16.0
S. Korea,9976,89.0,169.0,4.0,5828.0,3979,55.0,195.0,3.0
Canada,9731,,129.0,15.0,1736.0,7866,120.0,258.0,3.0
Portugal,8251,,187.0,,43.0,8021,230.0,809.0,18.0
Brazil,6931,51.0,244.0,2.0,127.0,6560,296.0,33.0,1.0
Israel,6211,119.0,30.0,4.0,289.0,5892,107.0,718.0,3.0
Australia,5137,89.0,25.0,2.0,345.0,4767,50.0,201.0,1.0
Sweden,4947,,239.0,,103.0,4605,393.0,490.0,24.0
Norway,4877,,44.0,,13.0,4820,105.0,900.0,8.0
Czechia,3604,15.0,40.0,1.0,61.0,3503,72.0,337.0,4.0
Ireland,3447,,85.0,,5.0,3357,103.0,698.0,17.0
Denmark,3107,,104.0,,894.0,2109,145.0,536.0,18.0
Chile,3031,,16.0,,234.0,2781,31.0,159.0,0.8
Malaysia,2908,,45.0,,645.0,2218,102.0,90.0,1.0
Russia,2777,,24.0,,190.0,2563,8.0,19.0,0.2
Ecuador,2758,,98.0,,58.0,2602,100.0,156.0,6.0
Poland,2554,,43.0,,56.0,2455,50.0,67.0,1.0
Romania,2460,,94.0,2.0,252.0,2114,57.0,128.0,5.0
Japan,2384,,57.0,,472.0,1855,69.0,19.0,0.5
Luxembourg,2319,,29.0,,80.0,2210,31.0,3705.0,46.0
Philippines,2311,,96.0,,50.0,2165,1.0,21.0,0.9
Pakistan,2291,173.0,31.0,4.0,107.0,2153,12.0,10.0,0.1
India,2032,34.0,58.0,,148.0,1826,,1.0,0.04
Thailand,1875,104.0,15.0,3.0,505.0,1355,23.0,27.0,0.2
Saudi Arabia,1720,,16.0,,264.0,1440,31.0,49.0,0.5
Indonesia,1677,,157.0,,103.0,1417,,6.0,0.6
Finland,1518,72.0,17.0,,300.0,1201,62.0,274.0,3.0
Greece,1415,,51.0,,52.0,1312,90.0,136.0,5.0
South Africa,1380,,5.0,,50.0,1325,7.0,23.0,0.08
Mexico,1378,163.0,37.0,8.0,35.0,1306,1.0,11.0,0.3
Peru,1323,,47.0,9.0,394.0,882,49.0,40.0,1.0
Panama,1317,,32.0,,9.0,1276,50.0,305.0,7.0
Dominican Republic,1284,,57.0,,9.0,1218,147.0,118.0,5.0
Iceland,1220,,2.0,,236.0,982,12.0,3575.0,6.0
Argentina,1133,,33.0,1.0,248.0,852,,25.0,0.7
Colombia,1065,,17.0,,39.0,1009,47.0,21.0,0.3
Serbia,1060,,28.0,,42.0,990,62.0,121.0,3.0
Singapore,1000,,4.0,1.0,245.0,751,24.0,171.0,0.7
Croatia,963,,6.0,,73.0,884,34.0,235.0,1.0
Algeria,847,,58.0,,61.0,728,,19.0,1.0
Slovenia,841,,15.0,,10.0,816,31.0,405.0,7.0
Qatar,835,,2.0,,71.0,762,37.0,290.0,0.7
UAE,814,,8.0,,61.0,745,2.0,82.0,0.8
Ukraine,804,10.0,20.0,,13.0,771,,18.0,0.5
New Zealand,797,89.0,1.0,,92.0,704,2.0,165.0,0.2
Egypt,779,,52.0,,179.0,548,,8.0,0.5
Estonia,779,,5.0,,33.0,741,15.0,587.0,4.0
Hong Kong,766,,4.0,,147.0,615,5.0,102.0,0.5
Iraq,728,,52.0,,182.0,494,,18.0,1.0
Diamond Princess,712,,11.0,,619.0,82,15.0,,
Armenia,663,92.0,4.0,,33.0,626,30.0,224.0,1.0
Morocco,654,,39.0,,29.0,586,1.0,18.0,1.0
Lithuania,649,68.0,8.0,,7.0,634,11.0,238.0,3.0
Hungary,585,60.0,21.0,1.0,42.0,522,17.0,61.0,2.0
Bahrain,569,,4.0,,337.0,228,3.0,334.0,2.0
Bosnia and Herzegovina,490,31.0,13.0,,19.0,458,1.0,149.0,4.0
Lebanon,479,,14.0,,43.0,422,5.0,70.0,2.0
Bulgaria,449,27.0,10.0,,25.0,414,17.0,65.0,1.0
Latvia,446,,,,1.0,445,3.0,236.0,
Tunisia,423,,12.0,,5.0,406,10.0,36.0,1.0
Moldova,423,,5.0,,23.0,395,44.0,105.0,1.0
Kazakhstan,402,22.0,3.0,,27.0,372,6.0,21.0,0.2
Slovakia,400,,1.0,,3.0,396,1.0,73.0,0.2
Andorra,390,,14.0,,10.0,366,12.0,5048.0,181.0
Costa Rica,375,,2.0,,4.0,369,9.0,74.0,0.4
Azerbaijan,359,,5.0,,26.0,328,7.0,35.0,0.5
North Macedonia,354,,11.0,,17.0,326,4.0,170.0,5.0
Uruguay,350,,2.0,,62.0,286,15.0,101.0,0.6
Taiwan,339,10.0,5.0,,50.0,284,,14.0,0.2
Cyprus,320,,9.0,,28.0,283,11.0,265.0,7.0
Kuwait,317,,,,80.0,237,14.0,74.0,
Burkina Faso,282,,16.0,,46.0,220,,13.0,0.8
Réunion,281,,,,40.0,241,3.0,314.0,
Jordan,278,,5.0,,36.0,237,5.0,27.0,0.5
Albania,259,,15.0,,67.0,177,7.0,90.0,5.0
Afghanistan,239,2.0,4.0,,5.0,230,,6.0,0.1
San Marino,236,,28.0,,13.0,195,16.0,6955.0,825.0
Cameroon,233,,6.0,,10.0,217,,9.0,0.2
Oman,231,21.0,1.0,,41.0,189,3.0,45.0,0.2
Vietnam,222,4.0,,,64.0,158,3.0,2.0,
Honduras,219,47.0,14.0,4.0,3.0,202,4.0,22.0,1.0
Cuba,212,,6.0,,12.0,194,3.0,19.0,0.5
Ghana,195,,5.0,,31.0,159,1.0,6.0,0.2
Ivory Coast,190,,1.0,,9.0,180,,7.0,0.04
Senegal,190,,1.0,,45.0,144,,11.0,0.06
Malta,188,,,,2.0,186,2.0,426.0,
Uzbekistan,187,6.0,2.0,,12.0,173,8.0,6.0,0.06
Faeroe Islands,177,4.0,,,81.0,96,1.0,3622.0,
Nigeria,174,,2.0,,9.0,163,,0.8,0.01
Channel Islands,172,,3.0,,,169,,989.0,17.0
Belarus,163,,2.0,,53.0,108,2.0,17.0,0.2
Mauritius,161,,7.0,1.0,,154,1.0,127.0,6.0
Sri Lanka,148,2.0,3.0,,21.0,124,5.0,7.0,0.1
Venezuela,144,,3.0,,43.0,98,6.0,5.0,0.1
Montenegro,140,17.0,2.0,,,138,4.0,223.0,3.0
Martinique,135,,3.0,,27.0,105,16.0,360.0,8.0
Palestine,134,,1.0,,18.0,115,,26.0,0.2
Brunei,131,,1.0,,52.0,78,3.0,299.0,2.0
Georgia,130,13.0,,,23.0,107,6.0,33.0,
Guadeloupe,125,,6.0,,24.0,95,14.0,312.0,15.0
DRC,123,14.0,11.0,2.0,3.0,109,,1.0,0.1
Bolivia,123,8.0,7.0,,1.0,115,3.0,11.0,0.6
Kyrgyzstan,116,5.0,,,5.0,111,5.0,18.0,
Cambodia,110,1.0,,,34.0,76,1.0,7.0,
Mayotte,101,,1.0,,10.0,90,3.0,370.0,4.0
Trinidad and Tobago,90,,5.0,,1.0,84,,64.0,4.0
Rwanda,82,,,,,82,,6.0,
Kenya,81,,1.0,,3.0,77,2.0,2.0,0.02
Gibraltar,81,,,,34.0,47,,2404.0,
Paraguay,77,8.0,3.0,,2.0,72,4.0,11.0,0.4
Niger,74,,5.0,,,69,,3.0,0.2
Liechtenstein,72,,,,,72,,1888.0,
Isle of Man,68,,1.0,,,67,,800.0,12.0
Madagascar,57,,,,,57,6.0,2.0,
Bangladesh,56,2.0,6.0,,25.0,25,1.0,0.3,0.04
Monaco,55,,1.0,,2.0,52,2.0,1402.0,25.0
Aruba,55,,,,1.0,54,,515.0,
French Guiana,51,,,,15.0,36,,171.0,
Guatemala,46,7.0,1.0,,12.0,33,1.0,3.0,0.06
Barbados,45,,,,,45,,157.0,
Jamaica,44,,3.0,,2.0,39,,15.0,1.0
Uganda,44,,,,,44,,1.0,
El Salvador,41,8.0,2.0,,,39,4.0,6.0,0.3
Macao,41,,,,10.0,31,,63.0,
French Polynesia,37,,,,,37,1.0,132.0,
Togo,36,,2.0,,10.0,24,,4.0,0.2
Zambia,36,,,,,36,,2.0,
Djibouti,33,,,,,33,,33.0,
Bermuda,32,,,,10.0,22,,514.0,
Mali,31,,3.0,,,28,,2.0,0.1
Guinea,30,,,,,30,,2.0,
Ethiopia,29,,,,2.0,27,2.0,0.3,
Congo,22,,2.0,,,20,,4.0,0.4
Cayman Islands,22,,1.0,,,21,,335.0,15.0
Saint Martin,22,,1.0,,2.0,19,,569.0,26.0
Bahamas,21,,1.0,,1.0,19,,53.0,3.0
Tanzania,20,,1.0,,1.0,18,,0.3,0.02
Guyana,19,,4.0,1.0,,15,,24.0,5.0
Maldives,19,,,,13.0,6,,35.0,
Gabon,18,,1.0,,,17,,8.0,0.4
Eritrea,18,3.0,,,,18,,5.0,
Myanmar,16,,1.0,,,15,,0.3,0.02
Sint Maarten,16,,1.0,,6.0,9,,373.0,23.0
Haiti,16,,,,1.0,15,,1.0,
New Caledonia,16,,,,1.0,15,,56.0,
Equatorial Guinea,15,,,,1.0,14,,11.0,
Mongolia,14,,,,2.0,12,,4.0,
Namibia,14,,,,2.0,12,,6.0,
Benin,13,,,,1.0,12,,1.0,
Saint Lucia,13,,,,1.0,12,,71.0,
Dominica,12,,,,,12,,167.0,
Curaçao,11,,1.0,,3.0,7,,67.0,6.0
Syria,10,,2.0,,,8,,0.6,0.1
Greenland,10,,,,2.0,8,,176.0,
Grenada,10,1.0,,,,10,,89.0,
Laos,10,,,,,10,,1.0,
Libya,10,,,,,10,,1.0,
Mozambique,10,,,,,10,,0.3,
Seychelles,10,,,,,10,,102.0,
Suriname,10,,,,,10,,17.0,
MS Zaandam,9,,2.0,,,7,,,
Guinea-Bissau,9,,,,,9,,5.0,
Eswatini,9,,,,,9,,8.0,
Angola,8,,2.0,,1.0,5,,0.2,0.06
Zimbabwe,8,,1.0,,,7,,0.5,0.07
Saint Kitts and Nevis,8,,,,,8,,150.0,
Sudan,7,,2.0,,2.0,3,,0.2,0.05
Antigua and Barbuda,7,,,,,7,,71.0,
Chad,7,,,,,7,,0.4,
Fiji,7,2.0,,,,7,,8.0,
Cabo Verde,6,,1.0,,,5,,11.0,2.0
Mauritania,6,,1.0,,2.0,3,,1.0,0.2
Vatican City,6,,,,,6,,7491.0,
Liberia,6,,,,,6,,1.0,
St. Barth,6,,,,1.0,5,,607.0,
Turks and Caicos,6,,,,,6,,155.0,
Nicaragua,5,,1.0,,,4,,0.8,0.2
Nepal,5,,,,1.0,4,,0.2,
Bhutan,5,1.0,,,1.0,4,,6.0,
Montserrat,5,,,,,5,,1002.0,
Somalia,5,,,,1.0,4,,0.3,
Botswana,4,,1.0,,,3,,2.0,0.4
Gambia,4,,1.0,,2.0,1,,2.0,0.4
Belize,3,,,,,3,,8.0,
British Virgin Islands,3,,,,,3,,99.0,
CAR,3,,,,,3,,0.6,
Anguilla,2,,,,,2,,133.0,
Burundi,2,,,,,2,,0.2,
Caribbean Netherlands,2,,,,,2,,76.0,
St. Vincent Grenadines,2,,,,1.0,1,,18.0,
Sierra Leone,2,,,,,2,,0.3,
Papua New Guinea,1,,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
China,81554,,3312.0,,76238.0,2004,466.0,57.0,2.0
Total:,937130,1933.0,47267.0,75.0,195143.0,694720,35772.0,120.2,6.1
