"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
China,80152,126.0,2945.0,33.0,29825,47382.0,6806.0
S. Korea,5186,851.0,28.0,,5124,34.0,27.0
Iran,2336,835.0,77.0,11.0,1968,291.0,
Italy,2036,,52.0,,1835,149.0,166.0
Diamond Princess,706,,7.0,,599,100.0,36.0
Japan,283,9.0,6.0,,234,43.0,23.0
France,191,,3.0,,176,12.0,8.0
Germany,165,,,,149,16.0,2.0
Spain,124,4.0,,,122,2.0,3.0
Singapore,108,,,,30,78.0,6.0
USA,103,3.0,6.0,,88,9.0,7.0
Hong Kong,100,,2.0,,62,36.0,6.0
Kuwait,56,,,,56,,
Bahrain,49,,,,49,,
Switzerland,45,15.0,,,44,1.0,
Thailand,43,,1.0,,12,30.0,1.0
Taiwan,41,,1.0,,28,12.0,1.0
U.K.,41,1.0,,,33,8.0,
Australia,39,6.0,1.0,,23,15.0,1.0
Malaysia,29,,,,7,22.0,
Canada,27,,,,20,7.0,
Iraq,26,,,,26,,
Norway,25,,,,25,,
U.A.E.,21,,,,16,5.0,2.0
Austria,18,,,,18,,
Netherlands,18,,,,18,,1.0
Vietnam,16,,,,0,16.0,
Sweden,15,,,,15,,
Lebanon,13,,,,13,,
Israel,12,,,,11,1.0,
Macao,10,,,,4,6.0,
Iceland,9,,,,9,,
San Marino,8,,1.0,,7,,1.0
Belgium,8,,,,7,1.0,
Croatia,8,,,,8,,
Ecuador,7,1.0,,,7,,1.0
Finland,7,,,,6,1.0,
Greece,7,,,,7,,
Qatar,7,,,,7,,
Denmark,6,2.0,,,6,,
India,6,,,,3,3.0,
Mexico,6,,,,5,1.0,
Oman,6,,,,4,2.0,
Algeria,5,,,,5,,
Czechia,5,1.0,,,5,,
Pakistan,5,1.0,,,5,,
Portugal,4,2.0,,,4,,
Philippines,3,,1.0,,0,2.0,
Azerbaijan,3,,,,3,,
Georgia,3,,,,3,,
Romania,3,,,,2,1.0,
Russia,3,,,,1,2.0,
Brazil,2,,,,2,,
Egypt,2,,,,1,1.0,
Indonesia,2,,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Belarus,1,,,,1,,
Cambodia,1,,,,0,1.0,
Dominican Republic,1,,,,1,,
Estonia,1,,,,1,,
Ireland,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Morocco,1,,,,1,,
Nepal,1,,,,0,1.0,
New Zealand,1,,,,1,,
Nigeria,1,,,,1,,
Saudi Arabia,1,,,,1,,
Senegal,1,,,,1,,
Sri Lanka,1,,,,0,1.0,
Tunisia,1,,,,1,,
Ukraine,1,1.0,,,1,,
Total:,92182,1858.0,3131.0,44.0,40759,48292.0,7098.0
