"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80860,16.0,3213.0,14.0,67758.0,9889,3226.0,56.2
Italy,24747,,1809.0,,2335.0,20603,1672.0,409.3
Iran,13938,,724.0,,4590.0,8624,,165.9
S. Korea,8236,74.0,75.0,,1137.0,7024,59.0,160.6
Spain,7948,,292.0,,517.0,7139,272.0,170.0
Germany,5813,,13.0,,46.0,5754,2.0,69.4
France,5423,,127.0,,12.0,5284,400.0,83.1
USA,3782,102.0,69.0,1.0,73.0,3640,10.0,11.4
Switzerland,2217,,14.0,,4.0,2199,,256.2
UK,1391,,35.0,,20.0,1336,20.0,20.5
Norway,1256,,3.0,,1.0,1252,27.0,231.7
Netherlands,1135,,20.0,,2.0,1113,45.0,66.2
Sweden,1040,,3.0,,1.0,1036,2.0,103.0
Belgium,886,,4.0,,1.0,881,33.0,76.4
Denmark,864,,2.0,,1.0,861,2.0,149.2
Austria,860,,1.0,,6.0,853,1.0,95.5
Japan,839,,24.0,,144.0,671,36.0,6.6
Diamond Princess,696,,7.0,,456.0,233,15.0,
Malaysia,428,,,,42.0,386,9.0,13.2
Qatar,401,,,,4.0,397,,139.2
Canada,341,,1.0,,11.0,329,1.0,9.0
Australia,337,37.0,5.0,,27.0,305,1.0,13.2
Greece,331,,4.0,,8.0,319,5.0,31.8
Czechia,293,,,,,293,2.0,27.4
Israel,250,37.0,,,4.0,246,4.0,28.9
Portugal,245,,,,3.0,242,9.0,24.0
Finland,244,,,,10.0,234,,44.0
Singapore,226,,,,105.0,121,11.0,38.6
Slovenia,219,,1.0,,,218,3.0,105.3
Bahrain,214,,,,77.0,137,2.0,125.8
Brazil,203,3.0,,,2.0,201,2.0,1.0
Iceland,180,,,,,180,1.0,
Estonia,171,,,,1.0,170,,128.9
Ireland,170,,2.0,,1.0,167,6.0,34.4
Hong Kong,149,,4.0,,81.0,64,4.0,19.9
Philippines,140,,12.0,,5.0,123,1.0,1.3
Romania,139,,,,9.0,130,1.0,7.2
Egypt,126,,2.0,,32.0,92,,1.2
Poland,125,,3.0,,13.0,109,3.0,3.3
Iraq,124,,10.0,,26.0,88,,3.1
Saudi Arabia,118,,,,3.0,115,,3.4
Indonesia,117,,5.0,,8.0,104,,0.4
India,114,,2.0,,13.0,99,,0.1
Thailand,114,,1.0,,35.0,78,1.0,1.6
Kuwait,112,,,,9.0,103,4.0,26.2
Lebanon,110,,3.0,,1.0,106,3.0,16.1
San Marino,109,,7.0,,4.0,98,11.0,
UAE,98,,,,23.0,75,2.0,9.9
Pakistan,94,41.0,,,2.0,92,,0.4
Luxembourg,77,,1.0,,,76,,
Chile,75,,,,,75,,3.9
Peru,71,,,,,71,,2.2
Russia,63,,,,8.0,55,,0.4
Slovakia,61,,,,,61,,11.2
South Africa,61,,,,,61,,1.0
Taiwan,59,,1.0,,20.0,38,,2.5
Vietnam,57,,,,16.0,41,,0.6
Argentina,56,,2.0,,3.0,51,1.0,1.2
Panama,55,,1.0,,,54,,12.7
Algeria,54,,4.0,,10.0,40,,1.2
Mexico,53,10.0,,,4.0,49,1.0,0.4
Bulgaria,51,,2.0,,,49,,7.3
Brunei,50,,,,,50,,
Croatia,49,,,,2.0,47,,11.9
Serbia,48,,,,1.0,47,1.0,5.5
Colombia,45,11.0,,,,45,,0.9
Albania,42,,1.0,,,41,2.0,14.6
Palestine,38,,,,,38,,7.4
Ecuador,37,,2.0,,,35,1.0,2.1
Costa Rica,35,,,,,35,3.0,6.9
Georgia,33,,,,1.0,32,1.0,8.3
Cyprus,33,,,,,33,1.0,27.3
Hungary,32,,1.0,,1.0,30,,3.3
Latvia,30,,,,1.0,29,,15.9
Morocco,28,,1.0,,1.0,26,1.0,0.8
Armenia,28,,,,,28,,9.4
Belarus,27,,,,3.0,24,,2.9
Senegal,24,,,,2.0,22,,1.4
Bosnia and Herzegovina,24,,,,,24,,7.3
Azerbaijan,23,,1.0,,6.0,16,,2.3
Moldova,23,,,,,23,,5.7
Oman,22,,,,9.0,13,,4.3
Afghanistan,21,5.0,,,1.0,20,,0.5
Malta,21,,,,2.0,19,,
Tunisia,20,,,,,20,2.0,1.7
North Macedonia,19,,,,1.0,18,,9.1
Sri Lanka,18,,,,1.0,17,,0.8
Turkey,18,,,,,18,,0.2
Venezuela,17,,,,,17,,0.6
Lithuania,14,,,,1.0,13,,5.1
Maldives,13,,,,,13,,
Cambodia,12,,,,1.0,11,,0.7
Jordan,12,,,,1.0,11,,1.2
Macao,11,,,,10.0,1,,
Dominican Republic,11,,,,,11,,1.0
Faeroe Islands,11,,,,,11,,
Bolivia,10,,,,,10,,0.9
Jamaica,10,,,,2.0,8,,3.4
Martinique,10,,,,,10,,
Kazakhstan,9,,,,,9,,0.5
New Zealand,8,,,,,8,,1.7
Paraguay,8,,,,,8,1.0,1.1
French Guiana,7,,,,,7,,
Liechtenstein,7,,,,,7,,
Réunion,7,,,,,7,,
Ghana,6,,,,,6,,0.2
Honduras,6,3.0,,,,6,,0.6
Uruguay,6,,,,,6,,1.7
Uzbekistan,6,2.0,,,,6,,0.2
Andorra,5,,,,,5,,
Bangladesh,5,,,,2.0,3,,
Guadeloupe,5,,,,,5,,
Puerto Rico,5,,,,,5,,1.7
Rwanda,5,,,,,5,,0.4
Guyana,4,,1.0,,,3,,
Cameroon,4,,,,,4,,0.2
Ivory Coast,4,,,,,4,,0.2
Cuba,4,,,,,4,,0.4
Ethiopia,4,,,,,4,,
Trinidad and Tobago,4,2.0,,,,4,,2.9
Ukraine,3,,1.0,,,2,,0.1
Burkina Faso,3,,,,,3,,0.1
Channel Islands,3,,,,,3,,
French Polynesia,3,,,,,3,,
Guam,3,,,,,3,,
Kenya,3,,,,,3,,0.1
Seychelles,3,,,,,3,,
Monaco,2,,,,,2,,
Nigeria,2,,,,1.0,1,,
Aruba,2,,,,,2,,
Curaçao,2,,,,,2,,
DRC,2,,,,,2,,
Namibia,2,,,,,2,,0.8
Saint Lucia,2,,,,,2,,
Saint Martin,2,,,,,2,,
Guatemala,1,,1.0,,,0,,0.1
Sudan,1,,1.0,,,0,,
Nepal,1,,,,1.0,0,,
Antigua and Barbuda,1,,,,,1,,
Bahamas,1,,,,,1,,
Bhutan,1,,,,,1,,
Cayman Islands,1,,,,,1,,
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Equatorial Guinea,1,,,,,1,,0.7
Gabon,1,,,,,1,,0.4
Gibraltar,1,,,,1.0,0,,
Guinea,1,,,,,1,,0.1
Vatican City,1,,,,,1,,
Mauritania,1,,,,,1,,0.2
Mayotte,1,,,,,1,,
Mongolia,1,,,,,1,,0.3
St. Barth,1,,,,,1,,
St. Vincent Grenadines,1,,,,,1,,
Suriname,1,,,,,1,,
Eswatini,1,,,,,1,,0.9
Togo,1,,,,,1,,0.1
U.S. Virgin Islands,1,,,,,1,,
Total:,169864,343.0,6518.0,15.0,77776.0,85570,5923.0,21.8
